Арҽхәаԥхьыӡқәа, жәҩантәылақәа рынцәахәы Аллаҳ иузкуп.	﻿Хвала Аллаху, Господу миров,
Ҳара акаамеҭ амш аҽны, аиашара акапангақәа ықәҳаргылоит, уинахыс дарбанзаалак иашамрак дақәшәаӡом. Иҟаҵоу аус, аба џьар арыц иаҟаразаргьы ицәыраҳгоит. Аҳасаб аилыргаразы ҳара ҳазхоит.	В День воскресения Мы установим справедливые Весы, и ни с кем не поступят несправедливо. Если найдется нечто весом с горчичное зернышко, Мы принесем его. Довольно того, что Мы ведем счет!
Аиашазы, ҳара, Мысеи Ҳаруни алашареи алабжьареи ирхыҵхырҭаны, зыгәқәа Аллаҳ ихаҵгыларала иҭәу рзы ашәҟәы раҳҭеит.	Мы даровали Мусе (Моисею) и Харуну (Аарону) различение (способность различать истину ото лжи), сияние (Таурат) и напоминание для богобоязненных,
Дара убарҭ, рыблала Анцәа дшырымбогьы ихаҵгыланы имҵахырхәоит, еиҭах убарҭ, акаамеҭ амшгьы иацәшәаны иқыџьқыџьуеит.	которые боятся своего Господа, не видя Его воочию, и трепещут перед Часом.
Абри Аҟәырҟангьы, ҳара илбааҳгаз абарақьаҭреи ахәарҭареи ирхыҵхырҭоу лабжьагоуп. Уажәы уи мап ацәышәкуама?	Это — благословенное Напоминание, которое Мы ниспослали. Неужели вы станете отрицать его?
Ҳара, Ибраҳимгьы ииашаны ахәыцра иаҭәаҳшьахьан. Ҳара уи, ибзиан даҳдыруан.	Еще раньше Мы даровали Ибрахиму (Аврааму) верное руководство, и Мы были осведомлены о нем.
Иара, иаби иуаажәлари рахь: «Абарҭ шәзымҵахырхәо абаҟақәа закәызеи?» ҳәа дразҵаахьан.	Вот он сказал своему отцу и народу: «Что это за изваяния, которым вы предаетесь?».
Урҭгьы: «Ҳабдуцәа абарҭ ишрымҵахырхәоз ҳбахьан» ҳәа аҭак ҟарҵеит.	Они сказали: «Мы видели, что наши отцы поклонялись им».
Ибраҳим: «Аиашазы, шәабдуцәа иаартыҵәҟьаны маҳагьарак ишалагылаз еиԥш, шәаргьы аҩызаҵәҟьа шәҭагылоуп» иҳәеит.	Он сказал: «Воистину, вы и ваши отцы пребываете в очевидном заблуждении».
«Абри иҳауҳәаз иашоума, мамзаргьы уҳалахәмаруама?» ҳәа иазҵааит.	Они сказали: «Ты принес нам истину, или же ты забавляешься?».
Ибраҳим абас аҭак ҟаиҵеит: «Мап, шәара шәынцәа ажәҩанқәеи адгьыли рынцәа иоуп, зегьы Иара иоуп изшаз, саргьы уи ашаҳаҭра азызуа соуп».	Он сказал: «О нет! Ваш Господь — Господь небес и земли, Который создал их. Я же являюсь одним из тех, кто свидетельствует об этом».
(Нас игәы иҭеиҳәеит): «Аллаҳиныс, шәара шәанцалак ашьҭахь, абри шәныхабаҟақәа (шәтотемқәа) срылахәмаруеит!»	Ибрахим подумал: «Клянусь Аллахом! Я непременно замыслю хитрость против ваших идолов, когда вы уйдете и отвернетесь».
(Дара анца ашьҭахь) Изымҵахырхәоз рныхабаҟақәа иԥыххаа иқәҵаны, иреиҳаз руак даламкьыскәа иаанижьит.	Затем он разнес на куски всех идолов, кроме главного из них, чтобы они могли обратиться к нему.
«Ҳанцәахәқәа абри аҩыза рзызуз дызусҭада? Хымԥада, уи агәымбылџьбаҩцәа иреиуоу аӡә иоуп» рҳәеит.	Они сказали: «Кто поступил так с нашими богами? Воистину, он является одним из беззаконников!».
(Урҭ рахьтә ԥыҭҩык:) «Арԥыск абарҭ дрыхцәажәо дыҟан. Ибраҳим захьӡыз!» рҳәеит.	Они сказали: «Мы слышали, как юноша по имени Ибрахим (Авраам) выступал против них».
Егьырҭгьы: «Ус анакәха, абыржәыҵәҟьа ажәлар рҿаԥхьа даажәг, иҟалап шаҳаҭра зуышагьы ҟалар» рҳәеит.	Они сказали: «Приведите же его пред людские очи, чтобы они могли принести свидетельство».
Ибраҳим данаарга: «Ҳанцәахәқәа абри аҩыза рзызуз уара уоума?» ҳәа иазҵааит.	Они сказали: «О Ибрахим (Авраам)! Ты ли поступил таким образом с нашими богами?».
Ибраҳим: «Абри иреиҳау иҟанаҵазар акәхап. Изцәажәозар, дара рхаҭақәа шәыразҵаа?»	Он сказал: «Нет! Это содеял их старший, вот этот. Спросите их самих, если они способны разговаривать».
Инеихәаԥшы-ааихәаԥшын: «Аиашаҵәҟьа иацәхьаҵыз шәара шәоуп, шәара!» рҳәеит.	Обратившись друг к другу, они сказали: «Воистину, вы сами являетесь беззаконниками!».
Аха, нас еиҭах уаанӡа еиԥш ихәыцуа иналагеит: «Арҭ ишзымцәажәо уара ибзиаӡаны иудыруеит» рҳәеит.	Затем они принялись за свое и сказали: «Ты же знаешь, что они не способны разговаривать».
Ибраҳимгьы: «Аллаҳ дааныжьны, ԥырхагак, мамзаргьы хәарҭарак шәыҭара злымшо роума анцәахәқәа ҳәа шәзымҵахырхәақәо?»	Он сказал: «Неужели вы поклоняетесь вместо Аллаха тому, что ничем не способно помочь или навредить вам?
«Шәхаҭақәагьы, Аллаҳ дааныжьны шәзымҵахырхәақәогьы шәаргьы лахь шәоуааит! Шәарҭ шәыхшыҩ аус шәзамыруӡои?» ҳәа аҭак риҭеит.	Тьфу на вас и на то, чему вы поклоняетесь вместо Аллаха! Неужели же вы не образумитесь?».
(Урҭ рахьтә ԥыҭҩык:) «Кыр ҟашәҵарц шәҭахызар, дшәыблы наҟ, абас ала, шәынцәахәқәагьы шәрыцхраап!» рҳәеит.	Они сказали: «Сожгите его и помогите вашим богам, если вы будете действовать!».
Ҳаргьы: «Уа амца! Ибраҳим изы ухьшәашәаны, уеиқәырхаганы уҟала!» ҳҳәеит.	Мы сказали: «О огонь! Стань для Ибрахима (Авраама) прохладой и спасением!».
Уи шьацҳәак даҿадырԥар рҭаххеит, аха ҳара урҭ еиҳа ацәыӡ роуратәы иҟаҳҵеит.	Они хотели навредить ему, но Мы сделали так, что они оказались в наибольшем убытке.
Ҳара, иаргьы, Лутгьы ргәаҟра иалганы, ауааԥсыра зегьы рзы ибарақьаҭраны иаԥаҳҵаз атәыла ашҟа инаҳгеит.	Мы спасли его и Лута (Лота) и привели их на землю, которую Мы сделали благословенной для миров.
Ибраҳим, Исҳак ишьҭахь, Иақәыԥгьы диаҭәаҳшьеит, рҩыџьагьы иуаацқьақәаны иҟаҳҵеит.	Мы даровали ему Исхака (Исаака), а вдобавок — Йакуба (Иакова), и сделали их всех праведниками.
Урҭ, ҳара ҳадҵа инақәыршәаны ауааԥсыра амҩа иаша дзырбо ԥызацәаны иҟалеит. Насгьы аус бзиақәа рынагӡареи, анамаз акреи, азеқьаҭ аҭиреи рыҵаҳҳәеит. Урҭ, еснагь ҳҳәатәы хазҵоз ракәын.	Мы сделали их вождями, которые по Нашему велению указывали на прямой путь. Мы внушили им вершить добрые дела, совершать намаз и выплачивать закят, и они поклонялись Нам.
Лутгьы ииашаны аӡбареи адырра ҷыдеи иаҳҭеит . Уи, агәымхара ҟазҵоз ақалақьуаа дрылаҳгеит. Ииашаҵәҟьаны, урҭ имҩахҟьаз жәлары бааԥсык ракәын.	Помяни также Лута (Лота), которому Мы даровали власть (мудрость или пророчество) и знание и которого Мы спасли от селения, жители которого совершали отвратительные поступки. Воистину, они были злодеями и нечестивцами.
Лут ҳалԥха дагәылаҳҵеит, избанзар уи дуаҩы бзиан.	Мы ввели его в Нашу милость, поскольку он был одним из праведников.
Ныҳәгьы дугәаларшәа, уигьы уаанӡа дҳаҳәахьан, ҳаргьы иҳәара ҳадкыланы иареи иҭынхацәеи агәаҟра ду иалаҳгахьан.	Помяни также Нуха (Ноя), который воззвал еще раньше. Мы ответили на его мольбу и спасли его и его семью от великой скорби.
Уи, ҳажәаԥҟарақәа мап рцәызкуа ажәлар дырцәаҳахьчахьан. Ииашаҵәҟьаны, урҭ уаа хәымгақәан, уи амшалагьы зегьы аӡы иҭаҳхәаҽит.	Мы помогли ему в борьбе против людей, которые считали ложью Наши знамения. Они были злодеями, и Мы потопили их всех.
Дауҭи Шәлимани угәаларшәа. Аамҭак азы аԥхасҭа зауз аҽаҩра аганахь ала уск рыӡбон. Жәларык руасақәа, ҵхыбжьон хылаԥшрада амхы иалаланы аҽаҩра аԥхасҭа арҭахьан. Ҳаргьы урҭ ирӡбаз шаҳаҭра азаҳуан.	Помяни также Давуда (Давида) и Сулеймана (Соломона), которые судили о ниве, потравленной ночью чужими овцами. Мы были Свидетелями их суда.
Шәлиман, аимак цқьа иеиликааратәы дҟаҳҵеит. Ҳара урҭ, рыцыԥхьаӡагьы аӡбара аҟазшьеи, адырреи раҭәаҳшьеит. Аԥсаатәи, ашьхақәеи Дауҭ идҵа иаҵаҳҵеит. Иеицны анцәа ихьӡ еиҭарҳәон. Абарҭқәа зегьы ҟазҵаз ҳара ҳауп.	Мы помогли Сулейману (Соломону) разобраться в этом и даровали им обоим власть (мудрость или пророчество) и знание. Мы подчинили горы и птиц для того, чтобы они славили Нас вместе с Давудом (Давидом). Мы это сделали.
Уи, шәара шәзы акәылӡы ачаԥашьа иҳарҵеит. Аибашьрақәа рҿы еиҳа шәихьчон. Уажәшьҭагьы иҭабуп ҳәа шәымҳәаӡои?	Мы научили его (Давуда) изготовлять для вас кольчуги, чтобы они предохраняли вас от причиняемого вами вреда. Но разве вы благодарны?
Шәлимангьы, абарақьаҭра агәылаҵаны иаҳшаз аԥша, иахьиҭаху иаирсратәы алшара иаҳҭеит. Ҳара зегьы ҳдыруеит.	Мы подчинили Сулейману (Соломону) сильный ветер, который дул по его повелению на землю, которую Мы благословили. Мы знаем о всякой вещи.
Аҩсҭаацәа рахьтәгьы иҟан, иара изы иеиуеиԥшым аусқәа назыгӡоз, аӡы иӡааҟәрылоз (аӡы аҵантәи абырлаш аҵхра зылшоз) ыҟан. Ҳара урҭ зегьы ҳалаԥш рхын.	Среди дьяволов были такие, которые ныряли для него и выполняли другие работы. Мы стерегли их.
Еиубгьы дугәаларшәа! Уи: «Гәаҟрак сақәшәеит, аха Уара арыцҳашьаҩцәа иреиҳаӡоу уоуп» ҳәа инцәа диҳәахьан.	Помяни также Айюба (Иова), который воззвал к своему Господу: «Воистину, меня коснулось зло, а ведь Ты — Милосерднейший из милосердных».
Абри амшала, ҳаргьы, ҳганахь ала лыԥхак акәны, насгьы иҳаихырхәо рзы иҿыԥшларц, иныҳәара ҳадаҳкылеит. Игәаҟреи ихьааи зегьы иԥыраҳгеит, аҭаацәара имазгьы, аҟара еизҳарҳеит.	Мы ответили на его мольбу, устранили постигшее его зло и даровали ему его семью и вдобавок еще столько же в качестве милости от Нас и в назидание тем, кто поклоняется.
Исмаили, Идриси, Зулқьифлеи угәаларшәа. Урҭ ачҳара аазрыԥшқәаз ракәын.	Помяни также Исмаила (Измаила), Идриса, Зулькифла. Все они были из числа терпеливых.
Урҭгьы ҳалԥха иагәылаҳҵеит, избанзар қәнагала иҟаз ауаа иреиуан.	Мы ввели их в Нашу милость, поскольку они были одними из праведников.
Иунусгьы дугәаларшәа! Уи, игәы ԥжәаны дцахьан, ҳара ҳамчра изхьымӡоз џьишьон. Аҵыхәтәаны алашьцара дахьхәыҵаз: «Уара уда нцәа дыҟам! Уара уалыскаауеит. Иҵабыргыҵәҟьаны, ицәгьаз аусқәа самхаҟаҵазаап!» ҳәа дҳаҳәеит.	Помяни также человека в рыбе (Иунуса), который ушел в гневе и подумал, что Мы не справимся с ним. Он воззвал из мрака: «Нет божества, кроме Тебя! Пречист Ты! Воистину, я был одним из беззаконников!».
Абриазы,  ҳаргьы  иҟаиҵаз  аҳәара  ҳадаҳкылан  игәаҟра  иԥыраҳгеит. Азхаҵаҩцәа абас ауп ишҿаҳхуа.	Мы ответили на его мольбу и спасли его от печали. Так Мы спасаем верующих.
Зеқьериагьы дугәаларшәа! Уи, инцәа абас диҳәахьан: «Сынцәа! Зегьы ззынхо Уара уоуп, сара схала (ҵәҩаншьапыда) саанумыжьын!» ҳәа.	Помяни также Закарию (Захарию), который воззвал к своему Господу: «Господи! Не оставляй меня одиноким, и Ты — Наилучший из наследников».
Ҳаргьы уи иныҳәара ҳадкыланы, Иаҳиа диаҳҭеит, иԥшәмаԥҳәысгьы абри лылшаратәы аҭагылазаашьа лзаԥаҳҵеит . Урҭ, аус бзиақәа рзы ихандеиуан, гәыӷрала, насгьы иҳацәшәаны иҳаҳәалон, урҭ ҳҿаԥхьа ахаҵгылара ӷәӷәа аадырԥшуан.	Мы ответили на его мольбу, даровали ему Йахью (Иоанна) и сделали его жену способной на это. Воистину, они спешили творить добро, взывали к Нам с чаянием и страхом и были смиренны перед Нами.
Зыламыс зыхьчас а ԥҳәысгьы (Мариам) дугәаларшәа! Уи, ҳаԥсы аҟынтә ҳлыҭәҳәеит, лареи, лԥеи жәҩантәылақәа зегьы рзы дыргас иҟаҳҵеит.	Помяни также ту, которая сохранила свое целомудрие (Марьям). Мы вдохнули в нее посредством Нашего духа (Джибрила) и сделали ее и ее сына (Ису) знамением для миров.
«Абас ала, шәара зегьы динк иаҵанакуа шәоуп, сара, шәара шәынцәа соуп. Ус анакәха, сара шәсымҵахырхәа».	Воистину, эта ваша религия — религия единая. Я же — ваш Господь. Поклоняйтесь же Мне!
Ауааԥ сыра рахьтә иҟаз аидгылара иԥыххаа иқәырҵеит, аха аҵыхәтәан зегьы ҳара ҳахь ауп иахьыхынҳәуа.	Они впали в противоречия, но все они вернутся к Нам.
Уи амшала, дарбанзаалак дазхаҵаҩханы, адунеии нарцәи рзы аус хәарҭақәа наигӡар, уи ҭакда дынхаӡом, ҳара урҭ ранҵара ҳаҿуп.	Устремления того, кто совершал праведные деяния, будучи верующим, не будут отвергнуты. Воистину, Мы записываем их для него.
Иқәӡаа иқәаҳҵаз тәылак азы акәзар, шьҭахьҟа ахынҳәра ҟалашьа змам усуп, урҭ шьҭахьҟа изыхынҳәӡом.	Запрет лежит на селениях, которые Мы погубили, и они не вернутся,
Аҵыхәтәан, Иеџьуџьи Меџьуџьи ргәашәқәа аатны, урҭ зегьы ахәқәа ирхыҵны ажәылара ианалага аамҭазы;	пока Йаджудж и Маджудж (Гог и Магог) не будут выпущены и не устремятся вниз с каждой возвышенности.
Ажәа анҵабыргхаша аамҭагьы анааигәахалак, мапкыҩцәа зегьы рыблақәа ҭҟьоит! «Лахь ҳамазааит ҳара! Ииашацәҟьаны, амдырра ҳҭагылазаарын , уимоу, агәымбылџьбарагьы ҳалаханы ҳаҟазаарын» ҳәа рхы иақәыӡбара иалагашт.	Приблизится истинное обещание, и тогда закатятся взоры неверующих. Они скажут: «О горе нам! Мы беспечно относились к этому. Более того, мы были беззаконниками».
Ҳәарада, шәаргьы, шәзымҵахырхәоз шәынцәахәқәагьы, џьаҳаным былтәыс шәамоуп, зегьы уахь шәҭалоит.	Вы и те, чему вы поклоняетесь вместо Аллаха, являетесь растопкой для Геенны, в которую вы войдете.
Урҭ, инцәахәқәандаз џьаҳаным ахь ицарымызт. Аха урҭ зегьы наунагӡа уа иҭанхараны иҟоуп.	Если бы они были богами, то не вошли бы туда. Но все они останутся там навечно.
Уаҟа аӷызра мацароуп ирыхәҭоу. Уи ада уаҳа бжьыкгьы раҳауам.	Там они будут стенать при выдохе, но ничего не услышат.
Уаанӡа ҳара ҳҟынтә, алҵшәа бзиа аганахь ала ажәа заухьаз ракәзар, урҭ џьаҳаным иацәыхароуп.	А те, кому Мы изначально определили наилучшее, будут отдалены от нее.
Урҭ, џьаҳаным абыжьгьы раҳаӡом, рыԥсы иаҭаху аразҟқәа рыбжьара наунагӡа иаанхоит.	Они не услышат даже малейшего ее звука и вечно пребудут среди того, что возжелали их души.
Иреиҳаӡоу агәыҭҟьарагьы урҭ аршәаӡом. Амаалықьцәа: «Абар шәара ажәаны ишәыҭаз амш!» ҳәа ирԥылоит.	Их не опечалит величайший испуг, а ангелы встретят их словами: «Вот ваш день, который был вам обещан!».
Уи игәыҭҟьагоу амш аҽны, ажәҩанқәа ақьаадқәа шеикәадырҳәуа еиԥшҵәҟьа иеикәаҳарҳәуеит . Ашара алагаанӡатәи аамҭахь иҳархынҳәуеит. Ҳажәа ажәоуп, ҳара абри хымԥада, инаҳагӡоит.	В тот день Мы свернем небо, как сворачивают свитки для книг. Мы воссоздадим творения подобно тому, как начали творить их в первый раз. Так было обещано Нами. Воистину, Мы сделаем это.
Иҵабыргыҵәҟьаны, Ҭора анаҩсгьы Зебур аҟынгьы: «Адгьылтәыла суаабзиақәа ирзынхоит» ҳәа анаҳҵахьан.	Мы уже записали в Писаниях после того, как это было записано в Напоминании (Хранимой скрижали), что землю унаследуют Мои праведные рабы.
Абри аҟны, Аллаҳ имҵахырхәо жәларык рзы иахәҭоу аҳәамҭа иҟоуп.	Воистину, в этом — послание для тех, кто поклоняется.
Насгьы уара, жәҩантәылақәа зегьы рзы лыԥхас унаҳашьҭит.	Мы отправили тебя только в качестве милости к мирам.
Убас ҳәа: «Шәынцәа даӡәуп ҳәа исыҵаҳәоуп, абыржәгьы аԥсылманра шәыдшәымкылаӡои?»	Скажи: «Мне внушено в откровении, что ваш Бог — Бог Единственный. Не станете ли вы мусульманами?».
Иузхьамԥшыргьы абас раҳәа: «Сара, шәара зегьы аҵабырг шәзеиҭасҳәеит. Уажәшьҭа, ишәыҭаз ажәа ааигәоума, ихароума, исыздыруам.	Если они отвернутся, то скажи: «Я предупреждаю всех вас в равной мере, и я не знаю, рано или поздно настанет то, что вам обещано.
Ҳәарада, Аллаҳ, иаартны ишәҳәогьы идыруеит, шәгәы иҭашәкуа амаӡагьы.	Воистину, Он ведает о словах, которые произносят вслух, и ведает о том, что вы утаиваете.
Исыздыруам, иҟалап уи агәаҟра аамҭа ахыгара, шәара шәԥышәаразы, мамзаргьы адунеи даҽа аамҭак аҟара шәалачаразы акәзар ҟалап.	Я не знаю, может быть, это — искушение для вас или же возможность пользоваться благами до определенного времени».
Аԥааимбар абас иҳәеит: «Сынцәа! (урҭ ирзку) уӡбараҿы уиашара аарԥшы. Ҳанцәа иаҳзылԥхауа иоуп. Аҳәынҵәа иаҳгәыдышәҵақәо рзы ҳхы зҵаҳкуагьы иара мацара иоуп.	Пророк сказал: «Господи! Рассуди по справедливости. У нашего Милостивого Господа надо просить помощи против того, что вы приписываете».
Уа ауааԥсыра! Шәынцәа шәицәшәа! Избанзар, акаамеҭ аныҟало аамҭазтәи адгьылҵысра, ииашаҵәҟьаны игәыҭҟьагоуп.	О люди! Бойтесь вашего Господа! Воистину, сотрясение Часа является ужасным событием.
Уи шәанахьӡа амш, зыхшара згәыҳәԥы иаҵо анацәа рыԥшқақәа рхашҭуеит , зцәа зтәымкәа иҟоу аҳәса ироураны иҟоу рыхшара рцәыӡуеит. Ауааԥсыра ракәзар, ишырымжәыцгьы, аҩы иашьызшәа, ршьапы изықәымгыло иубоит, избанзар Аллаҳ иргәаҟра кырӡа иџьбароуп.	В тот день, когда вы увидите его, каждая кормящая мать забудет того, кого она кормила, а каждая беременная женщина выкинет свой плод. Ты увидишь людей пьяными, но они не будут пьяны, зато мучения от Аллаха будут тяжки.
Ауаа рахьтә шьоукы, Аллаҳ изку дыррак рымамкәа ажәа еимазкуа ыҟоуп, урҭ аҩсҭаа ишьҭаныҟәоит.	Среди людей есть такие, которые спорят об Аллахе, не имея знаний, и следуют за всяким мятежным дьяволом.
Аҩсҭаа изкны абас ауп ишҩу: Дарбанзаалак, аҩсҭаа ҩызас дышьҭызхыз идыруазааит, аҩсҭаа убри ауаҩы дымҩахҟьаны џьаҳаным амца қьоуқьад ашҟа дыширҳәазо.	Ему было предписано, что любого, кто сочтет его своим покровителем и помощником, он введет в заблуждение и приведет к мучениям в Пламени.
Уа ауааԥсыра! Шәаныԥслак ашьҭахь даҽазнык шәы ԥсы шҭало азы гәыҩбарак шәымазар, ишәхашәмыршҭын; ҳара, шәарҭ раԥхьаӡа анышә, нас цәыкәбарк, нас ан лыӷра иадҷабло кәтаӷьк, насгьы бҩаркырала цқьа инагӡам ԥсы зхоу жьыхәҭахәыҷык шәалаҳхит. Абас алагьы, ҳамчра шәҳарбоит . Ҳара иззаҳҭаху, ҽҳәарак аҟынӡа, ан лыӷраҿы дааныжьны, нас дыԥшқаны дцәыраҳгоит, насгьы аизҳара дахьыҳагӡоит. Ԥыҭҩык заа рыԥсҭазаара иалҵуеит, даҽа ԥыҭҩык ирдыруа ргәаламшәо иажәны иҟалаанӡа, рымчқәа зынӡа икәадахаанӡа инаҳгоит. Иубоит, адгьыл аԥсы ахамкәа ишыҟогьы, аха, қәак анаҳарулак, иаразнак аԥсы ҭаланы, иеиуеиԥшым аҵиаақәа ахылҵуеит.	О люди! Если вы сомневаетесь в воскрешении, то ведь Мы сотворили вас из земли, потом — из капли, потом — из сгустка крови, потом — из разжеванного кусочка, сформировавшегося или не сформировавшегося. Так Мы разъясняем вам истину. Мы помещаем в утробах то, что желаем, до назначенного срока. Потом Мы выводим вас младенцами, чтобы вы могли достигнуть зрелого возраста. Одни из вас умирают, другие же возвращаются в жалкую старость и забывают все, что знали. Ты видишь безжизненную землю. Но стоит Нам ниспослать на нее воду, как она приходит в движение, набухает и порождает всякие прекрасные растения.
Избанзар, Аллаҳ аиашаҵәҟьа, ахаҭаԥсаҭа иоуп. Уи, аԥсцәа рыԥсы рхаиҵоит, насгьы зегьы имч рықәхоит.	Это происходит, потому что Аллах является Истиной, оживляет мертвых и способен на всякую вещь,
Акаамеҭ аамҭагьы, хымԥада, иааиуеит, насгьы Аллаҳ, зҳаҭгәынқәа рҿы ишьҭоу зегьы рыԥсы рхаҵаны иргылоит.	потому что Час, в котором нет сомнения, непременно наступит и потому что Аллах воскресит тех, кто в могилах.
Ауааԥсыра рыбжьара, дыррак, ршаҳаҭгак, мҩақәҵагак ыҟамкәа, рыгәқәа зырлашо шәҟәыкгьы рымамкәа, Аллаҳ изкны ажәа аимакра иаҿуп.	Среди людей есть такой, который спорит об Аллахе, не имея ни знаний, ни верного руководства, ни освещающего Писания.
Рҽырԥагьаны ауаа ажәа рымазкуа рхықәкы хада, ауааԥсыра Аллаҳ имҩа аҟынтә рымҩахҟьароуп. Убарҭ рҩызцәа ауаа адунеи аҟны ахьымӡӷ шыдҳарго еиԥш, нарцәгьы амцақьоуқьад аргәаҟра, агьама дҳарбараны ҳаҟоуп.	Он надменно поворачивает шею, чтобы сбить других с пути Аллаха. Ему уготован позор в этом мире, а в День воскресения Мы дадим ему вкусить мучения от обжигающего Огня.
«Абарҭқәа зегьы, адунеи аҟны ирҳаны, абрахь иааушьҭыз агәырԥсақәа ирылҵшәоуп. Мамзар, Аллаҳ зыуаажәлар зыргәаҟуа иакәӡам.	Ему будет сказано: «Это — за то, что приготовили твои руки, ведь Аллах не поступает несправедливо с рабами».
Ауааԥсыра рыбжьара ԥыҭҩык, акы иазыԥшны мацара ауп Аллаҳ ишимҵахырхәо. Арҭ ауаа, бзиарак иақәшәар, даара ргәы иахәоит, аха ԥышәарак аҵыхәала уадаҩрак ианақәшәалакгьы иаразнак ихьаҵуеит. Арҭ ауаа, рдунеигьы рынарцәгьы рцәыӡхьеит, абриоуп арыцҳараҵәҟьа.	Среди людей есть и такой, который поклоняется Аллаху, находясь на грани между верой и неверием. Если ему достается добро, то благодаря этому он чувствует себя уверенно; если же его постигает искушение, то он оборачивается вспять. Он теряет как этот мир, так и Последнюю жизнь. Это и есть очевидный убыток!
Аллаҳ дааныжьны, зхы иамыхәо, ахәарҭарагьы аԥ хасҭагьы злымшо ирыҳәоит. Ари, иреиҳаӡоу амаҳагьара ахаҭаԥсаҭа ауп.	Вместо Аллаха он взывает к тому, что не приносит ему ни вреда, ни пользы. Это и есть глубокое заблуждение!
Ахәарҭара аасҭа а ԥхасҭа иазааигәо абарҭ аԥшьгамҭақәа ирыҳәоит. Урҭ шаҟа цхырааҩы бааԥсқәоузеи, шаҟа иҩызацәгьақәоузеи!	Он взывает к тому, кто может быстрее навредить, чем принести пользу. Плох такой господин! Плох такой товарищ!
Аллаҳ, дазхаҵаны адунеии нарцәи рзы ихәарҭоу аусқәа ҟазҵаз, зыҵаҟа аӡиасқәа зҭысуа аџьанаҭқәа ирҭеиҵоит. Ҳәарада, Аллаҳ ишиҭаху иҟаиҵоит.	А тех, которые уверовали и совершали праведные деяния, Аллах введет в Райские сады, в которых текут реки. Воистину, Аллах поступает так, как пожелает.
Дарбанзаалак, Аллаҳ адунеии нарцәи рыҟны уи (иԥааимбар), ацхыраара ииҭарым ҳәа дхәыцуазар, шахак ԥшааны ажәҩанахь инароуны, илшозар, иоураны иҟоу ацхыраара ааникылааит. Насгьы, ииԥшааз амҩа днахәаԥшааит, игәы ззыԥжәоз изаанкылама?	Кто полагает, что Аллах не окажет ему (Мухаммаду) помощи в этом мире и в Последней жизни, пусть подвяжет веревку к небу (или потолку), а затем перережет ее и посмотрит, устранит ли его хитрость то, что вызывает его ярость.
Ҳара, Аҟәырҟан абас иаартыҵәҟьоу ажәаԥҟарақәаны илбааҳгеит. Ҳәарада, Аллаҳ, иззиҭаху амҩа иашахь дкылигоит.	Таким образом Мы ниспослали его (Коран) в виде ясных аятов, и Аллах ведет прямым путем того, кого пожелает.
Азхаҵаҩцәеи, ауриацәеи , асабииҭцәеи, ақьырсианцәеи, амца иамҵахырхо ауааи, аварҟәылаҩцәеи рзы Аллаҳ иӡбара акаамеҭ аҽны ааирԥшуеит. Ҳәарада, Аллаҳ, зегьы ишахәҭоу ала шаҳаҭра рзиуеит.	В День воскресения Аллах рассудит между верующими, исповедующими иудаизм, сабиями, христианами, огнепоклонниками и многобожниками. Воистину, Аллах является Свидетелем всякой вещи.
Иумбаӡои, ажәҩанқәеи адгьыли рыҟны иҟақәоу, амреи, амзеи, аеҵәақәеи, ашьхақәеи, аҵлақәеи, арахәқәеи, насгьы ауааԥсыра реиҳараҩык, еснагь уи имҵахырхәоит! Иагьаҩгьы агәаҟра рлахьынҵахахеит. Аллаҳ илаирҟәыз ауаҩы дҳаразкуа аӡәгьы дзыҟалом. Ҳәарада, Аллаҳ ишиҭаху иҟаиҵоит.	Неужели ты не видишь, что перед Аллахом падают ниц те, кто на небесах и на земле, солнце, луна, звезды, горы, деревья, животные и многие люди. А многие из них заслуживают мучений. Никто не окажет почтения тому, кого унизит Аллах. Воистину, Аллах поступает так, как пожелает.
Абарҭ аҩгәыԥк рынцәахәқәа рганахьала аимак зыбжьақәоу роуп. Арҭ рҟынтә мап зкуа рзы амца иалху ашәҵатәқәа мазеиуп, хыхьынтәгьы ахьаа рықәҭәахоит.	Вот две тяжущиеся группы, которые препирались по поводу своего Господа. Для тех, которые не уверовали, выкроят одеяния из Огня, а на головы им будут лить кипяток.
Абри ала рыҩныҵҟагьы, рцәеи-ржьгьы иӡыҭны ицоит.	От него будут плавиться их внутренности и кожа.
Урҭ ирызкны аиха иалху аҟамчқәагьы ыҟоуп.	Для них уготованы железные палицы.
Рхьаа ӷәӷәақәа рымшала, уахьынтәи аҭыҵра рҭаххацыԥхьаӡа шьҭахьҟа ирхынҳәны: «Агьама жәба шәзыргәаҟуа абылра!» ҳәа раҳәахоит.	Каждый раз, когда они захотят выбраться оттуда и избавиться от печали, их вернут обратно. Вкусите мучения от обжигающего Огня!
Иазхаҵаҩцәаханы адунеии нарцәи рзы ихәарҭоу аусқәа назыгӡазгьы, Аллаҳ, зыҵаҟа аӡиасқәа зҭысуа џьанаҭқәа иҭеиҵашт. Урҭ уаҟа, ахьтәы напхаҵақәеи абырлашқәеи рыла рыҽдырԥшӡашт. Уаҟа иршәырҵараны иҟогьы бырфын лыхуп.	А тех, которые уверовали и совершали праведные деяния, Аллах введет в Райские сады, в которых текут реки. Там они будут украшены золотыми браслетами и жемчугом, а их одеяния будут из шелка.
