Иахәаԥштәуп...	Просмотреть...
Аиҟәыҭхага хархәатәуп	Использовать разделитель
Ахҵараҿы ашәагаа хархәатәуп	Использовать размер в метке
Иҭаргылоу хархәатәуп	Использовать встроенное
Аҵшьра хархәатәуп	Использовать подчеркивание
Ахархәаҩ идырраҭарақәа	Пользовательские данные
Аҵакы аҟазаашьа	Расположение значения
Ахьӡынҵа аҟнытә аҵакы	Значение из списка
Аус ацашьа узырбо аиндикатор аҵакы	Значение индикатора хода процесса
Ахьаҵ аҵакы	Отступ значения
Ҵәҩанҵәыла аиҟаратәра	Выравнивание по вертикали
Анапхгара ахәҭа ҵҩанҵәыла аиҟаратәра	Вертикальное выравнивание элемента управления
Агәҵәала  аиҟаратәра	Вертикальное выравнивание
Ҵәҩанҵәылатәи ахьаҵ	Вертикальный отступ
Ҵәҩанҵәыла ахарҭәаара	Вертикальное дополнение
Ҵәҩанҵәылатәи ахыц аура	Длина вертикальной стрелки
Ҵәҩанҵәылатәи аиҭагага цәаҳәа	Вертикальная полоса прокрутки
Ҵәҩанҵәылатәи аиҟәыҭхага аҭбаара	Ширина вертикального разделителя
Агәылаҵа ҵәҩанҵәытәи аҳәаа	Вертикальная граница вкладки
Ҵәҩанҵәылатәи иашьашәало аҟаҵара	Подгонка по вертикали
Атекст авиджет иҵәҩанҵәылатәу аиҟаратәра	Вертикальное выравнивание текстового виджета
Агәҵәыла аиҟаратәра	Вертикальное выравнивание
Агәҵәылатәи аиҟаратәра иаҿыгоу ахәҭақәа рзы	Вертикальное выравнивание для дочерних элементов
Ҵәҩанҵәылатәи ахышәаракәа	Вертикальные параметры
Ҵҩанҵәыла ахарҭәаара	Вертикальное дополнение
Иааланы иҟоу иагәылоу ахәҭа уахьынӡанаӡо ақәыԥшылараҿы. 0.0 – хыхьтәи аҿацә ала иеиҟароуп, 1.0 – ҵаҟатәи аҿацә ала иеиҟароуп.	Вертикальное расположение вложенного элемента в доступном пространстве. 0.0 -- выровнен по верхнему краю, 1.0 -- выровнен по нижнему краю
Агәҵәылатәи амасштабыркра	Вертикальное масштабирование
Ҵҩанҵәылатәи абжьажь абларҭқәа рыбжьара. Еиҩшоу хыԥхьаӡаразароуп	Вертикальный пробел между ячейками. Должен быть четным числом
Алаԥшхгара ахархәаҩ инаҭоит еиҵагылацыԥхьаӡа аԥшаара интерактиву арежим ала.	Просмотр позволяет пользователю выполнять поиск по колонкам в интерактивном режиме
Аҵла аартра ахәҭақәа арбалатәуп	Показывать элементы раскрытия дерева
Арбага ахәҭақәа гәыԥла аиҭныԥсахлара ауеит	Элементы просмотра можно перегруппировывать
Абара	Видимость
Иубартә иҟоу 	Видимый
Иубарҭоу аԥенџьыр	Видимое окно
Ииаалан ианыҟоу иубарҭоуп	Видим при горизонтальном расположении
Ианҭцәоу иубарҭоуп	Видим при переполнении
Игәҵәыланы ианыҟоу иубарҭоуп	Видим при вертикальном расположении
URL авеб-сайт	URL веб-сайта
Авеб-саит акьамам	Ярлык веб-сайта
Ахинтра иарбан ҩаӡароу ихархәатәу; зынӡа акагьы (hintnone), иԥсыҽу (hintslight), игәыбжьанытәу (hintmedium) ма ирдуӡӡаны (hintfull)	Какой уровень хинтования использовать; никакого (hintnone), слабый (hintslight), средний (hintmedium) или полный (hintfull)
Ишьақәыргылазар, усҟан амениу иҭацәу апрокси ахәҭақәа ари аҟаҵаразы иҵәаххоит	Если установлено, то пустые прокси элементов меню для этого действия будут скрыты.
Ишьақәыргылазар, аиҭагага анҵәамҭа ахәҭақәа аҩганк рҿы иубарҭахоит еиԥшымкәа	Если установлено, детали окончаний на обоих сторонах прокрутки будут рисоваться по-разному
Ианышьақәыргылоу, аиҭаҵрақәа рыхҭысқәа ардырра ари аекран ахәҭақәа рахь инеиӡом	Когда установлено, события уведомления о перемещении не доставляются для элементов этого экрана
Ишьақәыргылазар, усҟан амениу апрокси ахәҭа ари аҟаҵаразы амениу хнҩоит амаругақәа рпанель аҟны.	Если установлено, то прокси элементов меню для этого действия будут перекрывать меню на панели инструментов
Анаскьагараан ахыцқәа рыҩбагь арбалатәуп	При прокрутке показывать обе стрелки.
Ииаалау аиҭагага цәаҳәа анубаалартә ианыҟало	Когда будет отображаться горизонтальная полоса прокрутки
Амеиу амениуеиҵаны ианыҟало, уи ықәгылоит ииаланы инаханы	Когда меню является подменю, оно располагается со смещением по горизонтали
Амеиу амениуеиҵаны ианыҟало, уи ықәгылоит ҵәҩанцәыла инаханы	Когда меню является подменю, оно располагается со смещением по вертикали
Ҵәҩанҵәылатәи аиҭагага цәаҳәа анубаалартә ианыҟало	Когда будет отображаться вертикальная полоса прокрутки
Аиҭагага ацәаҳәақәа инарықәыршәаны аҭыԥ рыҭатәума аҭаҵа. Ари аҷыдаҟазшьа аус ауеит ишьаёкщыргылазар "Аԥенџьыр аҭыԥ азыԥшаара".	Располагать ли содержимое в соответствии с полосами прокрутки. Это свойство имеет действие только если установлено "Размещение окна".
Аҭаҵа убас иҟаларц ахәҭәума аиҭагага ацәаҳәа ишарбо еиԥш, ма иара ахьыҟоуаԥенџьыр аиҭагага аҭагылазаашьала иунарбо.	Должно ли содержимое располагаться так, как задано полосами прокрутки, или его расположение задано положением окна прокрутки.
Ихархәатәума аҷыдаҟазшьа "Аԥенџьырқәа аҭыԥ азыԥшаара" аҭаҵа иахьыҟоу аилкааразы аиҭагага иазхьарԥшы	Использовать ли свойство "Размещение окна" для определения положения содержимого по отношению к полосам прокрутки
Иаднакылома иҭагалоу асимвол атабулиациа	Будет ли приниматься введённый символ табуляции
Иҟоу афаилқәа, адилог аиқәырхара афаилқәа ралхра арежим аҿы, иазҵаатәума реиҭанҵаразы	Спрашивать ли о перезаписи существующих файлов в режиме сохранения диалога выбора файлов.
Апалитра ахархуара амоума	Используется ли палитра
Аԥхьаӡага ашкала аегьи аҵыхәахь иасуама  аҵакыра аҳәаа анхартәаахалагь	Будет ли счетчик переходить к другому концу шкалы при достижении предельных значений
Иҭацәу аҵакы абри аҭыԥаҿ аҭагалара залшома	Может ли пустое значение быть введено в это поле
Афаилқәа аус рыдулара/раԥҵара рзы иарбахома апытҟәырқәа	Показываются ли кнопки для создания/обработки файлов
Ахархәара амоума иальтернативатәу апытҟәырқәа реиҿкаашьа адиалог аҿы	Используется ли альтернативный порядок кнопок в диалогах
Амаругақәа рпанель аҿы ишыҟоу ала иаанхома атекст мацара, атексти адыргаҷақәеи,адыргаҷақәа рымацара уб. иҵ.	Будет ли на панели инструментов по умолчанию только текст, текст и значки, только значки и т. д.
Иалшәо аелементқәа аиҟәҟьара цәаҳәа рымоума	Имеют ли выпадающие элементы линию разрыва
Иалшәо ахәҭақәа хьӡынҵас иҟоу, мениу ҵас акәымкәа.	Выглядят ли выпадающие элементы как списки, а не как меню
Иҟоу иҭагалахо атекст еиҭаннаҵома	Перезаписывает ли вводимый текст существующий
Иҟоума иҭаргало адыррақәа ахьӡынҵаҿы	Присутствуют ли вводимые значения в списке
Изымуа аҵакқәа автоматла иԥсаххома иааигәаӡоу аԥхьаӡага аҵакала	Будут ли недопустимые значения автоматически заменяться на ближайшее значение счетчика
Ицхыраагӡоу ақәыԥшылара  еизшахома, иҿыгоу ахуҭа иаҭоу, абри ахәҭа (fill) аҩнуҵҟа, мамзаргьы ахарҭәааразы (padding) ахархәара аҭатәу.	Распределяется ли дополнительное пространство, отданное дочернему элементу, внутри этого элемента (fill), или использовать его для дополнения (padding)
Аҵла акаҭа ацәаҳәақәа арбалатәуп	Показывать линии в сетке дерева
Афункциа gtk_widget_show_all() ари авиджет ианыруама	Будет ли функция gtkwidgetshowall() воздействовать на этот виждет
Асахьақәа амениу аҿы иунарбома	Показываются ли в меню изображения
Авиджет аҳәаақәа рҳәааҿ ацәаҳәақәа риагара ҟалома	Будет ли происходить перевод строк у границ виджета
Аелемт аԥшаараа ҳасаб азнауама анбанқәа ррегистр ахьӡынҵа	Учитывает ли поиск элемента в списке регистр букв
Амениу иласу арыд аԥсахра ауама, амениу ахәҭаҿы арыд иақәыӷәаны ианыҟоу	Можно ли изменить быструю клавишу меню при нажатии клавиши на элементе меню
Ицифратәым асимволқәа гәықәҭажьхома	Будут ли игнорироваться нецифровые символы
Аоперациа лыԥхала изалгоума	Может ли операция успешно завершиться
Адыргаҷа аҭагылазаашьа узырбо лацәҟәуама	Мигает ли значок состояния
Аҭагылазаашьа адыргаҷа анубаалома	Отображается ли значок состояния
Аԥштәы аҵәцара аҭатәума	Давать ли цвету значение прозрачности
Атектс зегьы бзацк аҿы аиқәырхара аҭахумашь	Следует ли сохранять весь текст в одном абзаце
Ацәахәақәа рҽеиҵырх лар ауама/рҽеиҵарцалар аума ахырхага рхаҿы ианиасуа	Должны ли строки расширяться/сжиматься при перемещении курсора над ними
Ахҵараҿы иарбалатәума иалху ашрифт астиль	Показывать ли в метке размер выбранного шрифта
Аиҟәыҭхагақәа аҭбаара рымоума нас акәакьиашақәа реиԥш ианубааломаацәаҳәақәа реиԥш акәымкәа	Имеют ли разделители ширину и отображаются ли они в виде прямоугольника, а не линии
Аиҟәыҭхагақәа иҵәҩанҵәылатәу цәаҳәахома ма баша иҭацәхома	Будут ли разделители вертикальными линиями или просто пустыми
Апытҟәырқәа рҿы иагәыларгылоу адыргақәаҷ аааԥшуама.	Показываются ли встроенные значки на кнопках
Агәылаҵақәа урбарҭоума	Показываются ли вкладки
Агәылаҵақәа иеиҟароу ашәаагақәа рымоума	Имеют ли вкладки одинаковый размер
Иаҿыгоу амениу амениҩ иацҵатәума	Следует ли добавлять отделённые меню к меню
Аҟаҵара агәыԥ аҿакума	Включена ли группа действия.
Аҟаҵаратә гәыԥ  убарҭоума	Видима ли группа действия.
Ари аҟаҵара акырзҵазкуаны иҟоума. Ишьақәыргылазар, усҟан прокси ахуҭа апанель абри аҟаҵарақәа рзы ишәнарбалоит атекст арежим GTK_TOOLBAR_BOTH_HORIZ аҟны.	Предполагается ли данное действие важным. Если установлено, то прокси элементов панели для этого действия будут показывать текст в режиме GTKTOOLBARBOTHHORIZ.
Аҟаҵара аҿакума	Включено ли действие 
Аҟаҵара убартә иҟоума	Видимо ли действие
Аԥшьы ицхыраауа авиджет ақәырԥшы унарбома	Показывается ли поддерживаемый приложением виджет образца.
Аԥшьы ишиашоу авиджет аҟны асахьа аннаҵома	Будет ли приложение рисовать напрямую в виджете
Аҭыԥрбага напхгара азызуа арыдқәа ныҟәалома ахәҭақәа рыхьӡынҵала	Будут ли клавиши управления курсором перемещать по списку элементов
Ацәаҳәа агылара зегь аҿы ма асимвол агылара атегла иалкаау аҿынӡоуп афон аԥштәы ахархәара ахьамоу	Будет ли цвет фона применен на высоту всей строки или только на высоту символов, отмеченных тегами
Ахәҭа аҳәаа анубаалартә иҟалома	Будет ли отображаться граница элемента
Текстк алкааума абуфер аҿы	Выделен ли некоторый текст в буфере
Иааннакылома апытҟәыр аҭагалара афокус ахәынаԥла иара ианахыкәласуа.	Захватывает ли кнопка фокус ввода при щелчке мышью по ней
Аҭаҵа ахәҭақәа зегьы рыҽдырҭбаауама изхылҵыз ахәҭа ашәагаа анеицыҵуа	Расширяются ли все вложенные элементы при увеличении размера родительского элемента
Иаҿыгоу ахәҭақәа агәылаҵақәа ханарҭәаауама аҵакыра зегьы	Заполняют ли вкладки дочернего элемента всю область
child_displacement_x/_y аҷыдаҟазшьа аныруама, акәакьиаша афокус ашҟагьы	Влияют ли свойства childdisplacementx/y также и на прямоугольник фокуса
Аҭаҵа ахәҭақәа зегьы ирымоума иеиҟароу ашәагақәа	Имеют ли все вложенные элементы одинаковый размер
Иалнаршома аԥштәы алхра адиалог аҵәцара анапхгара	Позволяет ли диалог выбора цвета управление прозрачностью
Аиҵаргыла даҽаџьара аиагара ауама	Может ли столбец быть перемещен в другое место
Иалшәо амениу адаԥа амоума иаҿыгоу аелемент иахыкәшо	Имеет ли выпадающее меню рамку вокруг дочернего элемента
Иалшәо амениу афокус иааннакылома аҳәынаԥ ахыкәласраан	Перехватывает ли выпадающее меню фокус при щелчке мышью
Иарбахома иалшәо ахьӡынҵа	Будет ли показываться выпадающий список
Автоматла ирзеиԥшу иаԥсахуам	Подставляется ли автоматически общий
Автохыркәшара авариантқәа анубаалома иалшәо аԥенџьыр аҟны	Отображаются ли варианты автозавершения в выпадающем окне
Аҭагалашьа аԥсахра аметод азы, аконтекстә мениу аҭагаламҭа атыԥқәеи атексттәҭыԥи амениуеиҵа раиура	Должно ли контекстное меню полей ввода и текстовых полей содержать подменю для изменения методов ввода
Анапхгара ҟазҵо асимволқәа рыбжьаргыларазы, аконтекстә мениу аҭагаламҭаатыԥқәеи атексттә ҭыԥи амениуҵа раиура	Должно ли контекстное меню полей ввода и текстовых полей содержать подменю для вставки управляющих символов
Уажәтәи аҵакы анубаалома цәаҳәаҵас аҳәаза аганаҽ	Будет ли текущее значение отображаться в виде строки рядом с ползунком
Илацәҟәуама ахырхага	Мигает ли курсор
Аҭакыра аҭаҵа аԥсахра залшома	Может ли содержимое поля ввода быть изменено
Аҟалара аҵакыра убарҭоума иумбо иаҿаргыло, аҟаларақәа иаԥыҩланы аанкыларазыахархәара амоуп	Является ли область событий видимой в противовес невидимости, используется только для перехвата событий.
Аҟалара иаԥыҩланы аанкылара аԥенџьыр, иаҿыгоу ахәҭақәа аԥенџьыр ахаҿы иҟоума мазаргьы уи аҿагыланы ҵаҟа иҟоу	Располагается ли окно перехвата событий над окном с дочерним элементом в противовес расположению снизу.
Иаарту арҭбаага аԥшаара залшома иаҿыгоу ахәҭақәа	Может ли открытый расширитель обнаруживать дочерний элемент
Ахы ақәыӷәӷәараан ианыруама	Чувствителен ли заголовок к нажатиям
Иубарҭоума ицәаху афаилқәеи аҭаӡқәеи	Показываются ли скрытые файлы и папки
Адыргаҷа ашәагаа аҷыдаҟазшьа шьақәыргылоума	Установлено ли свойство размера значка
Аҭагалара афокус абри GtkWindow  аҟны иҟоума	Находится ли фокус ввода в данном GtkWindow
Агомогентә хәҭақәа зегьы иеиҟароу ашәагаа рымоума	Имеют ли все гомогенные элементы одинаковый размер
Амаругақәа рпанель ашәагаа ардураан рҽеиҵырхуама ахәҭақәагьы	Расширяются ли элементы при увеличении размера панели инструментов
Иарбатәума ахәҭақәа, уахьзымнаӡо аресурсқәа узырбо	Показывать ли элементы, указывающие на недоступные ресурсы
Ахәҭақәеиа аномерқәа ирыцны иарбалатәума	Показывать ли элементы вместе с номером
Ахҵараҿы ихархәатәума иалху ашрифт	Использовать ли в метке выбранный шрифт
Адыргаҿ ихархәатәума иалху ашәагаа	Использовать ли в метке выбранный размер
Акьамам цәаҳәак арежим аҿы иҟоума	Находится ли ярлык в режиме одной строки
Ахҵара атекст ахәынаԥ ала алкаара ауама	Может ли текст метки быть выделен с помощью мыши
Амениу ахәҭа абираҟ амаума	Имеет ли элемент меню флажок
Амениу ахәҭа арадио-ахәҭаны иҟалоума	Будет ли элемент меню радио-элементом
Акартбоуф (pixbuf) альфа-цышьҭа амоума	Имеет ли картобуф (pixbuf) альфа-канал
Ахсаала агәаҭара авиджет иаҵанакру иазшоу ақәыԥшылара зегьы	Будет ли виджет просмотра образца занимать всё отведенное ему пространство
Иарбатәум имаӡақәоу рыхәҭакәа	Показывать ли конфиденциальные элементы
Апроцесс амҩаԥгара шымҩаԥысуа анубааларатә иҟалоума атекст асахьа аҭаны	Будет ли ход выполнения процесса отображаться в виде текста
Арадио-апрокси еиԥш иҟалома ари аҟаҵара апрокси.	Будет ли прокси для этого действия выглядеть так же, как радио-прокси
Ишәызароума арастеризациа змоу pixbuf аҭагылазаашьа инақәыршәаны	Окрашен ли быть растеризованный pixbuf в соответствии с состоянием
Алакалтә фальқәа мацароума иалххо	Будут ли выбранные файлы только локальными
Ахҵараҿы иарбалатәума иалху ашрифт астиль	Показывать ли в метке стиль выбранного шрифта
Аҭыԥантәи аресурс file: асхема змоу заҵәык алкаатәума	Ограничивать ли доступные для выделения ресурсы только локальными файлами со схемой file:
Арбага ашьҭахь иашьҭоума алкаара	Следует ли выделение за указателем
Аиҟәшагақәа рсахьа ҭыххома ма иҭаҵәны иаанхома	Будут ли разделители нарисованы или будут пустыми
Аԥхьаӡага аҽарҿыцлароума есқьынагь ма аҵакы анауа акәу	Должен ли счетчик обновляться всегда или только если значение является допустимым
аҭагылазаашьа ацәаҳәа иамоума акәакь аԥенџьыр ашәагаа аԥсахраз	имеет ли строка состояния уголок изменения размера окна
Агәылаҵа амухыр ауама	Можно ли отделить вкладку
Ахархәаҩ еиҭеигар ҟалома агәылаҵакәа	Может ли пользователь переставлять вкладки
Атекст ахархәаҩ иԥсахыр алшома	Может ли текст быть изменён пользователем
Амаругақәа рпанель акыр иԥсоуп ҳәа иԥхьӡоума. Ишьақәыргылазар, апытҟәырқәаиудырбот атекст арежим_TOOLBAR_BOTH_HORIZ  аҿы.	Считается ли элемент панели инструментов важным. Если установлено, кнопки будут показывать текст в режиме GTKTOOLBARBOTHHORIZ
Амаругақәа рпанель ахәҭа ииаланы ианыҟо иубаратәы иҟалоумаамаругақәа рпанель.	Будет ли элемент панели инструментов видим при горизонтальном расположении панели инструментов.
Будет ли элемент панели инструментов видим при вертикально расположении панели инструментов.Амаругақәа рпанель ахәҭа  убарҭахару  игәҵәыланы ианыҟоу амаругақәа рпанель.	Будет ли элемент панели инструментов видим при вертикально расположении панели инструментов.
Ари аԥенџьыр активума	Является ли окно активным
Авиджет аҭагарала афокус шьҭнахуама	Будет ли виджет принимать фокус ввода
Анапхгара ахәҭа "ишыҟоу еиԥш ихәҭаны" изыҟалома	Может ли элемент управления быть "элементом по умолчанию"
Авиджет аҭагалара афокус амоума	Имеет ли виджет фокус ввода
Авиджет иеилоу анапхгара ахәҭас иҟоума	Является ли виджет частью составного элемента управления
Авиджет "ихалагаратәу виджетны" иҟоума.	Является ли виджет "исходным виджетом"
Анапхгара ахәҭа афокус аиуратә иҟоума	Является ли элемент управления получающим фокус
Авиджет убаратәы иҟалома	Будет ли виджет видимым
Аввиджет аҭагала ахы ианархәома	Будет ли виждет использовать ввод
Аԥенџьыр адаԥа аркыга апытҟәыр амоума	Имеет ли рамка окна кнопку закрытия
Аԥенџьырқәа рменеджер аҿы апенџьыр адаԥа асахь анубаалома	Отрисовывается ли рамка окна менеджером окон
Ихыло аҵаҳәарақәа ахәҭақәа зегь рзы арбара	Показывать для каждого элемента всплывающую подсказку
Адыргаҷа ахәҭа аган аҿы анырԥшра	Отображать значок рядом с элементом
Ари атег афон агылара ианыруама	Влияет ли этот тег на высоту фона
Ари атег ахьаҵ анырра анаҭома	Влияет ли этот тег на отступ
Ари атег ацәаҳәақәа риагара арежим ианыруама	Влияет ли этот тег на режим переноса строк
Ари атег абзацқәа реиҟаратәраан анырра ҟанаҵома	Влияет ли этот тег на выравнивание абзацев
Ари атег аҵәаӷәара ианыруама	Влияет ли этот тег на перечёркивание
Ари атег атабулиациа ианыруама	Влияет ли этот тег на табуляцию
Ари атег атекст аредакциаҟаҵара анырра азнауама	Влияет ли этот тег на редактируемость текста
Ари атег атекст арбара ианыруама	Влияет ли этот тег на видимость текста
Абри атег аԥштәы афон ианыруама.	Влияет ли этот тег на цвет фона
Ари атег афон аџьоуҳарра анырра анаҭома	Влияет ли этот тег на узор фона
Абларҭа аԥштәы афон ари атег ахь анырра ҟанаҵома	Влияет ли этот тег на цвет фона ячейки
Ари атег аеллиптизациа арежим ианыруама	Влияет ли этот тег на режим эллиптизации
Ари атег ашрифтқәа рҭаацәара анырра азнауама	Влияет ли этот тэг на семейство шрифта
Ари атег ашрифт ашәагаа ианыруама	Влияет ли этот тэг на размер шрифта
Ари атег ашрифт араӷара ианыруома	Влияет ли этот тэг на разрядку шрифта
Ари атег ашрифт астиль ианыруама	Влияет ли этот тэг на стиль шрифта
Ари атег ашрифт авариант ианыруама	Влияет ли этот тэг на вариант шрифта
Ари атег ашрифт ылгара ианыруама	Влияет ли этот тэг на насыщенность шрифта
Ари атег аԥхьатәи аплан аԥштәы азнауама	Влияет ли этот тег на цвет переднего плана
Ари атег аԥхьатәи аплан асахьа ианыруама	Влияет ли этот тег на узор переднего плана
Ари атег аҭыхратә бызшәа атекст ианыруама	Влияет ли этот тег на язык отрисовки текста
Ари атег армарахьтәи аҭакыра анырра азнауама	Влияет ли этот тег на левое поле
Ари атег ацәаҳәақәа рхыхь апиксельқәа рхыԥхьаӡара анырра анаҭома	Влияет ли этот тег на количество пикселей над строками
Ари атег анырра ҟанаҵома ииагоу ацәаҳәақәа ирыбжьаӡо апиксельқәа рхыԥхьаӡара	Влияет ли этот тег на количество пикселей между перенесенными строками
Ари атег апараграф афон аԥштәы ианыруама	Влияет ли этот тег на цвет фона параграфа
Ари атег арӷьатәи аҭакыра ианыруама	Влияет ли этот тег на правое поле
Ари атег анахара ианыруама	Влияет ли этот тег на смещение
Ари атег аҵшьра ианыруама.	Влияет ли этот тег на подчёркивание
Ари атег аашрифт ашәагаа масштабркраа ауама коефицентла	Масштабирует ли этот тег размер шрифта на коэффициент
Ари атекст ҵәахтәума	Скрыт ли этот текст
Анапхгара ахәҭа  активра азутәума ишыҟоу еиԥш (иаҳҳәап, апытҟәыр,ишыҟоу еиԥш адиалог аҿы ахархәара змоу) арыд " Аҭагалара" иагәҭасны иҟазар.	Активизировать ли элемент управления по умолчанию (например, кнопку, используемую по умолчанию в диалоге), если нажата клавиша "Ввод".
Фаилқәак иаразнак ралкаара ҟалома	Допускать ли выделение нескольких файлов
Ахәҭақәа реицлкаара азин ҟаҵатәума	Позволять ли выделять несколько элементов
Ашрифтқәа хьарршшаатәума Xft ала; 0=мап, 1=ааи, -1=ахалагаратә ҵакы	Сглаживать ли шрифты через Xft; 0=нет, 1=да, -1=исходное значение
Ихархәатәума иҭаргылоу ахҵара иубо афаил ахьыӡ иадкыланы	Использовать ли встроенную метку с именем показываемого файла.
Аҭагылазаашьа арбатәума "ацәаныррадара"	Отображать ли состояние "нечувствительности"
Аиҵаргыла анубаалартә иҟаҵатәума	Отображать ли столбец
Анапхгара ахәҭа аҩныҵҟа аҭагалара афокус аиндикатор асахьа ҭыхтәума	Рисовать ли индикатор фокуса ввода внутри элементов управления
Алакар аиҭагага аура зегь ала иҭыхтәума ма апытҟәырқәеи абжьара аҟәыхтәума	Рисовать ли желобок во всю длину прокрутки или исключать кнопки и промежутки
Аҳәынаԥ ахырхага аныҟәараан хәҭақәак реицалкаара ауама	Допускать ли выделение нескольких элементов при движении указателя мыши
Иахьаблак иаҿактәума анимациа	Включить ли повсюду анимацию.
Рыҽдырҭбаауама иаҿыгоу ахәҭа агәылаҵа	Расширяются ли вкладки дочернего элемента
Xft ала ихинттәума ашрифтқәа; 0=мап, 1=ааи, -1=ахалагаратә ҵакы	Хинтовать ли шрифты через Xft; 0=нет, 1=да, -1=исходное значение
Ацҳамҭа адиалогатә тексти апытҟәырқәеи рыбжьара ибжьаргылатәума аиҟәыҭхага	Помещать ли разделитель между текстом и кнопками диалога сообщений
Ахҵара аҵакыра алкаатәума, афокус аиураан алкаа иацхраауа	Выделять ли содержимое метки, поддерживающей выделение при получении фокуса
Аҭагаларатә ҭыԥ афокус анаиуа иалкаахома аҭагаларатә ҭыԥ аҵакы.	Будет ли содержимое поля ввода выделяться когда поле ввода получает фокус
Аилыԥшаара аиндикатор арбалатәума	Показывать ли индикатор сортировки
Атекст иахьшьхома	Будет ли текст перечеркнут
Ибжьаргылоу ацәаҳәараца змоу атекст цәаҳәак аҟынӡа иҿахҵәатәума	Обрезать ли вставленный многострочный текст до одной строки.
snap_edge аҵакы аҟынтәи аҷыдаҟазшьа хархәатәума (" Аҿацәқәа еиҟаратәтәуп") маhandle_position аҟынтә инхаз аҵакы ("Аиҿкаага ахьықәгылоу")	Использовать ли значение из свойства snapedge ("Выравнивать края") или значение, унаследованное от handleposition ("Позиция регулятора")
Ацәаҳәақәа ахаангьы ииагатәӡам, ажәа аҳәаа ала ма асимвол ала ииагатәхома	Никогда не переносить строки, переносить ли по границам слов или по символам
Алицензиа атекст ииагатәума	Переносить ли текст лицензии
Ацәаҳәақәа аҵлаҿы ианубаалоума	Будут ли отображаться линии в дереве
Иеилаԥсоу, армарахьынтә арӷьарах нас иаарҳәны атекст аҟны ианубааломаҩ-хырхагак	Будут ли отображаться два курсора для смешанного справа-налево и слева-направо текста
Ажәақәа риагара ҟалома авиджет аҳәаақәа рааигәара	Будет ли делаться перенос слов на границах виджета
Аблакнот иарбан гану агәылаҵақәа ахьыҟоу	На какой стороне блокнота помещаются вкладки
Иҭбаау аикәыҭхагақәа	Широкие разделители
Авиджет	Виджет
Апытҟәырла аиҵаргыла ахы аԥсахразы анапхгара ахәҭа	Элемент управления для замены заголовка столбца кнопкой
Авиджет ахҵара ахәҭа ҳасабла  ахархәараз	Виджет для использования в качестве метки элемента
Асимволқәа рҿы аҭбаара	Ширина в символах
Хәҭацыԥхьаӡа азы авиджет	Виджет для каждого элемента
Асимволқәа рыҟны аҭбаара	Ширина в символах
Ахьаҵ аҭбаара апытҟәыр иаакәыршаны аҵаҟа адиалог аҿы	Ширина отступа вокруг кнопки снизу в диалоге
Асахьа адиалог ардырраҿи ахьаҵ аҭбаареи ахҵара иаарыкәыршаны	Ширина отступа вокруг метки и изображения в диалоге сообщения
Аҳәаақәа аҭбаара ихадоу адиалог акәша-мыкәша	Ширина границы вокруг области основного диалога
Ахәҭа аҭбаара	Ширина элемента
Анаскьагага ацәаҳәа аҭбаара ма амасштаб арбага	Ширина полосы прокрутки или указателя масштаба
Агәылаца ахҵара иаакәыршаны ахьацра аҭбаара	Ширина отступа вокруг меток вкладки
Ииаало аҳәаа аҭбаара агәылаҵа ахҵара	Ширина горизонтальной границы меток вкладки
Армарахьи ала ахьаҵра аҭбаара арастр акәаԥқәа рыла	Ширина отступа слева в точках растра
Арыӷьарахь ала ахьаҵ аҭбаара пиксельла	Ширина отступа справа в пикселях
Ҵҩанҵәытәи аҳәаа аҭбаара агәылаҵа ахҵара	Ширина вертикальной границы меток вкладки
Аҭбаара ашьакәыргылараз адҵаалара	Запрос на установку ширины
Аҭагалара афокус аиндикатори авиджет 'адаԥеи' ирыбжьаӡо пиксельла.	Расстояние между индикатором фокуса ввода и 'рамкой' виджета, в пикселях
Аҭагалара афокус ацәаҳәа-аиндикатор аҭбаара арастр акәаԥқәа рҿы	Ширина линии-индикатора фокуса вода, в точках растра
Акаҭаа ахәҭақәа еиҟызҭхо ацәҳәа пиксельла аҭбаара	Ширина в пикселях линии, разделяющей элементы сетки
Ацәаҳәақәа еиҟәызҭхо аҵәаӷәа пиксельла аҭбаара 	Ширина в пикселях линии, разделяющей строки
Аԥенџьырқәа аҭыԥ азыԥшаара	Размещение окна
Ишьақәыргылоуп аԥенџьыр аҭыԥ азыԥшаара	Установлено размещение окна
Аԥенџьыр апозициа	Позиция окна
Аԥенџьыр ароль	Роль окна
Ишьақәыргылазар, ааиҭагага активтә ҭагылазаашьа ианҭагылоу сахьаҵасианубаалоит ахархәараан аагага ацны	Если установлено, прокрутка будет отрисовываться в активном состоянии с тенью во время использования
Ажәақәа риагара	Перенос слов
Аиагара арежим	Режим переноса
Алицензиа аиагара	Перенос лицензии
Аиагара аҭбаара	Ширина переноса
Ахәҭақәа акаҭа рҭагалараз аҭбаара	Ширина размещения элементов в сетке
Аиҵаргыла ахы аҟны атекст аиҟаратәра ма анапхгара ахәҭа ииааланы	Выравнивание текста или элемента управления в заголовке столбца по горизонтали
Х ала аиҟаратәра	Выравнивание по X
Иагәылаҵоу ахәҭа агәҵәы Х ала аиҟаратәра	Выравнивание вложенного элемента по оси X
Ииааланы ахарҭәаара	Заполнение по горизонтали
Х ала апозициа	Позиция по X
