source,target
Searching for attributes is available in the Find & Replace dialog for text documents.,Searching for attributes is available in the Find  Replace dialog for text documents.
"The address book data is read-only in %PRODUCTNAME Base. It is not possible to add, edit, or delete address data from within Base.","The address book data is read-only in %PRODUCTNAME Base. It is not possible to add, edit, or delete address data from within Base."
Address Data Source Wizard,Мастера источников данных адресов
Description:,Описание:
"<image id=""img_id3145609"" src=""res/helpimg/swh00177.png"" width=""0.2228inch"" height=""0.2228inch""><alt id=""alt_id3145609"">Icon</alt></image>","<image id=""img_id3145609"" src=""res/helpimg/swh00177.png"" width=""5.66mm"" height=""5.66mm""><alt id=""alt_id3145609"">значок</alt></image>"
"<image id=""img_id3150541"" src=""res/helpimg/swh00178.png"" width=""0.2228inch"" height=""0.2228inch""><alt id=""alt_id3150541"">Icon</alt></image>","<image id=""img_id3150541"" src=""res/helpimg/swh00178.png"" width=""5.66mm"" height=""5.66mm""><alt id=""alt_id3150541"">значок</alt></image>"
"<image id=""img_id3153192"" src=""res/helpimg/swh00179.png"" width=""0.2228inch"" height=""0.2228inch""><alt id=""alt_id3153192"">Icon</alt></image>","<image id=""img_id3153192"" src=""res/helpimg/swh00179.png"" width=""5.66mm"" height=""5.66mm""><alt id=""alt_id3153192"">значок</alt></image>"
"<image id=""img_id3149560"" src=""res/helpimg/swh00180.png"" width=""0.2228inch"" height=""0.2228inch""><alt id=""alt_id3149560"">Icon</alt></image>","<image id=""img_id3149560"" src=""res/helpimg/swh00180.png"" width=""5.66mm"" height=""5.66mm""><alt id=""alt_id3149560"">значок</alt></image>"
Recording Changes,Аԥсахрақәа ранҵара
Select the line and arrow color in the <emph>Line Color</emph> box.,В поле <emph>Цвет линии</emph> выберите цвет линии и стрелки.
<bookmark_value>Format Paintbrush</bookmark_value><bookmark_value>formatting;copying</bookmark_value><bookmark_value>copying;formatting</bookmark_value>,<bookmark_value>Формат по образцу</bookmark_value><bookmark_value>форматирование; копирование</bookmark_value><bookmark_value>копирование; форматирование</bookmark_value>
The cursor changes to a paint bucket.,Курсор примет вид инструмента заливки.
Text is selected,Выделен фрагмент текста
Frame is selected,Выделена рамка
Changing the Color of Text,Изменение цвета текста
"<variable id=""text_color""><link href=""text/shared/guide/text_color.xhp"" name=""Changing the Color of Text"">Changing the Color of Text</link></variable>","<variable id=""text_color""><link href=""text/shared/guide/text_color.xhp"" name=""Изменение цвета текста"">Изменение цвета текста</link></variable>"
"<image id=""img_id3159233"" src=""res/commandimagelist/sc_color.png"" width=""5.64mm"" height=""5.64mm""><alt id=""alt_id3159233"">Icon</alt></image>","<image id=""img_id3159233"" src=""res/commandimagelist/sc_color.png"" width=""5.64mm"" height=""5.64mm""><alt id=""alt_id3159233"">Значок</alt></image>"
"<image id=""img_id3150503"" src=""res/commandimagelist/sc_fillstyle.png"" width=""5.64mm"" height=""5.64mm""><alt id=""alt_id3150503"">Icon</alt></image>","<image id=""img_id3150503"" src=""res/commandimagelist/sc_fillstyle.png"" width=""5.64mm"" height=""5.64mm""><alt id=""alt_id3150503"">Значок</alt></image>"
<bookmark_value>paint can symbol</bookmark_value>,<bookmark_value>символ инструмента заливки</bookmark_value>
"<embedvar href=""text/shared/guide/paintbrush.xhp#formatpaintbrush""/>","<embedvar href=""text/shared/guide/paintbrush.xhp#formatpaintbrush""/>"
"<link href=""text/shared/01/05020100.xhp"" name=""Font color"">Font color</link>","<link href=""text/shared/01/05020100.xhp"" name=""Цвет шрифта"">Цвет шрифта</link>"
Showing Navigation Pane of the Help,Отображение области переходов в справке
<bookmark_value>Help; navigation pane showing/hiding</bookmark_value><bookmark_value>hiding;navigation pane in Help window</bookmark_value><bookmark_value>indexes;showing/hiding Help index tab</bookmark_value>,<bookmark_value>справка; отображение/скрытие области переходов</bookmark_value><bookmark_value>скрытие;область переходов в окне справки</bookmark_value><bookmark_value>указатели;отображение/скрытие индекса перехода справки</bookmark_value>
"<variable id=""navpane_on""><link href=""text/shared/guide/navpane_on.xhp"" name=""Showing Navigation Pane of the Help"">Showing Navigation Pane of the Help</link></variable>","<variable id=""navpane_on""><link href=""text/shared/guide/navpane_on.xhp"" name=""Отображение области переходов в справке"">Отображение области переходов в справке</link></variable>"
"In the Help window, you can show or hide the navigation pane as needed.",По мере необходимости в окне справки можно показывать или скрывать область переходов.
"<image id=""img_id3153345"" src=""sfx2/res/indexon_small.png"" width=""5.64mm"" height=""5.64mm""><alt id=""alt_id3153345"">Icon</alt></image>","<image id=""img_id3153345"" src=""sfx2/res/indexon_small.png"" width=""5.64mm"" height=""5.64mm""><alt id=""alt_id3153345"">Значок</alt></image>"
Using the Filter Navigator,Использование навигатора фильтров
"<variable id=""filternavigator""><link href=""text/shared/guide/filternavigator.xhp"">Using the Filter Navigator</link></variable>","<variable id=""filternavigator""><link href=""text/shared/guide/filternavigator.xhp"">Использование навигатора фильтров</link></variable>"
Table Design,Конструктор таблиц
"<variable id=""data_tabledefine""><link href=""text/shared/guide/data_tabledefine.xhp"" name=""Table Design"">Table Design</link></variable>","<variable id=""data_tabledefine""><link href=""text/shared/guide/data_tabledefine.xhp"" name=""Конструктор таблиц"">Конструктор таблиц</link></variable>"
"For the <emph>Length</emph> box, a combo box may be shown that provides the available choices.",В поле <emph>Длина</emph> можно открыть список с вариантами выбора.
Editing Hyperlinks,Редактирование гиперссылок
<bookmark_value>hyperlinks; editing</bookmark_value><bookmark_value>links; editing hyperlinks</bookmark_value><bookmark_value>editing; hyperlinks</bookmark_value><bookmark_value>changing;hyperlink text/formats/URLs</bookmark_value><bookmark_value>text attributes; hyperlinks</bookmark_value><bookmark_value>buttons;editing hyperlink buttons</bookmark_value><bookmark_value>URL;changing hyperlink URLs</bookmark_value>,<bookmark_value>гиперссылки; редактирование</bookmark_value><bookmark_value>ссылки; редактирование гиперссылок</bookmark_value><bookmark_value>редактирование; гиперссылки</bookmark_value><bookmark_value>изменение;текст/формат/адреса URL гиперссылки</bookmark_value><bookmark_value>атрибуты текста; гиперссылки</bookmark_value><bookmark_value>кнопки;редактирование кнопок гиперссылки</bookmark_value><bookmark_value>адрес URL;изменение адресов URL гиперссылки</bookmark_value>
"<variable id=""hyperlink_edit""><link href=""text/shared/guide/hyperlink_edit.xhp"" name=""Editing Hyperlinks"">Editing Hyperlinks</link></variable>","<variable id=""hyperlink_edit""><link href=""text/shared/guide/hyperlink_edit.xhp"" name=""Редактирование гиперссылок"">Редактирование гиперссылок</link></variable>"
Change the attribute of all hyperlinks,Изменение атрибутов всех гиперссылок
"In the dialog, select the new attributes, and click <emph>OK</emph>.",В диалоговом окне выберите новые атрибуты и нажмите <emph>ОК</emph>.
Edit a hyperlink button,Изменение кнопки гиперссылки
About Converting Microsoft Office Documents,О преобразовании документов Microsoft Office
"<variable id=""about""><link href=""text/shared/guide/ms_import_export_limitations.xhp"" name=""About Converting Microsoft Office Documents"">About Converting Microsoft Office Documents</link></variable>","<variable id=""about""><link href=""text/shared/guide/ms_import_export_limitations.xhp"" name=""О преобразовании документов Microsoft Office"">О преобразовании документов Microsoft Office</link></variable>"
Microsoft Word,Microsoft Word
AutoShapes,Автофигуры
"Tables, frames, and multi-column formatting","Форматирование таблиц, рамок и колонок"
Hyperlinks and bookmarks,Гиперссылки и закладки
Microsoft Excel,Microsoft Excel
Pivot tables,Сводные таблицы
New chart types,Новые типы диаграмм
Conditional formatting,Ахьыԥшратә формаркра
Some functions/formulas,Некоторые функции/формулы
Microsoft PowerPoint,Microsoft PowerPoint
Master background graphics,Основные фоновые рисунки
<bookmark_value>text; overwriting or inserting</bookmark_value><bookmark_value>overwrite mode</bookmark_value><bookmark_value>insert mode for entering text</bookmark_value>,<bookmark_value>текст; замена или вставка</bookmark_value><bookmark_value>режим замены</bookmark_value><bookmark_value>режим вставки при вводе текста</bookmark_value>
<emph>INSRT</emph>,<emph>ВСТ</emph>
<emph>OVER</emph>,<emph>ЗАМ</emph>
"<link href=""text/shared/04/01010000.xhp"" name=""Keyboard commands"">Keyboard commands</link>","<link href=""text/shared/04/01010000.xhp"" name=""Команды клавиатуры"">Команды клавиатуры</link>"
<bookmark_value>documents; contents as lists</bookmark_value><bookmark_value>Navigator; contents as lists</bookmark_value>,<bookmark_value>документы; содержимое в виде списков</bookmark_value><bookmark_value>навигатор; содержимое в виде списков</bookmark_value>
"To specify the length of the line as a percentage of the line width, select <emph>Fit to line width</emph>.","Чтобы указать длину линии в процентах относительно ее ширины, установите флажок <emph>По ширине линии</emph>."
Click <emph>Close</emph> to close the dialog.,"Нажмите кнопку <emph>Закрыть</emph>, чтобы закрыть диалоговое окно."
Select a theme.,Выберите тему.
Defining Background Colors or Background Graphics,Определение цвета или рисунка фона
"<variable id=""background""><link href=""text/shared/guide/background.xhp"" name=""Defining Background Colors or Background Graphics"">Defining Background Colors or Background Graphics</link></variable>","<variable id=""background""><link href=""text/shared/guide/background.xhp"" name=""Определение цвета или рисунка фона"">Определение цвета или рисунка фона</link></variable>"
Applying a Background To Text Characters,Применение фона к символам текста
Select the characters.,Выделите символы.
Applying a Background To a Paragraph,Применение фона к абзацу
Place the cursor in the paragraph or select several paragraphs.,Установите курсор в абзаце или выделите несколько абзацев.
Place the cursor in the table in your text document.,В текстовом документе установите курсор в таблице.
Select the graphic and click <emph>Open</emph>.,Выберите рисунок и нажмите кнопку <emph>Открыть</emph>.
"<switchinline select=""appl""><caseinline select=""IMPRESS"">See <embedvar href=""text/simpress/guide/background.xhp#background""/>. </caseinline></switchinline>","<switchinline select=""appl""><caseinline select=""IMPRESS"">См. <embedvar href=""text/simpress/guide/background.xhp#background""/>. </caseinline></switchinline>"
"<link href=""text/shared/02/02160000.xhp"">Highlighting icon</link>","<link href=""text/shared/02/02160000.xhp"">Значок ""Выделение цветом""</link>"
"<link href=""text/shared/01/05030600.xhp"" name=""Background tab page""><emph>Background</emph> tab page</link>","<link href=""text/shared/01/05030600.xhp"" name=""Вкладка ''Фон''""> вкладка <emph>Фон</emph></link>"
"<link href=""text/shared/01/01130000.xhp"" name=""Printing"">Printing</link>","<link href=""text/shared/01/01130000.xhp"" name=""Печать"">Печать</link>"
Editing Chart Legends,Изменение легенд диаграмм
<bookmark_value>charts; editing legends</bookmark_value><bookmark_value>legends; charts</bookmark_value><bookmark_value>editing; chart legends</bookmark_value><bookmark_value>formatting; chart legends</bookmark_value>,<bookmark_value>диаграммы; изменение легенд</bookmark_value><bookmark_value>легенды; в диаграммах</bookmark_value><bookmark_value>редактирование; легенды диаграмм</bookmark_value><bookmark_value>форматирование; легенды диаграмм</bookmark_value>
"<variable id=""chart_legend""><link href=""text/shared/guide/chart_legend.xhp"" name=""Editing Chart Legends"">Editing Chart Legends</link></variable>","<variable id=""chart_legend""><link href=""text/shared/guide/chart_legend.xhp"" name=""Изменение легенд диаграмм"">Изменение легенд диаграмм</link></variable>"
To edit a chart legend:,Изменение легенды диаграммы
Opening Documents,Открытие документов
"<variable id=""doc_open""><link href=""text/shared/guide/doc_open.xhp"" name=""Opening Documents"">Opening Documents</link></variable>","<variable id=""doc_open""><link href=""text/shared/guide/doc_open.xhp"" name=""Открытие документов"">Открытие документов</link></variable>"
"Press <item type=""keycode"">Ctrl+O</item>","Нажмите <item type=""keycode"">Ctrl+O</item>"
Cursor Position,Положение курсора
One exception appears when the author of a Writer text document saves and reopens a document: the cursor will be at the same position where it has been when the document was saved. This only works when the author has entered his name in <emph>Tools - Options - %PRODUCTNAME - User Data</emph>.,One exception appears when the author of a Writer text document saves and reopens a document: the cursor will be at the same position where it has been when the document was saved. This only works when the author has entered his name in <emph>Tools - Options - %PRODUCTNAME - User Data</emph>.
Opening an Empty Document,Открытие пустого документа
Saving Documents,Сохранение документов
"<variable id=""doc_save""><link href=""text/shared/guide/doc_save.xhp"" name=""Saving Documents"">Saving Documents</link></variable>","<variable id=""doc_save""><link href=""text/shared/guide/doc_save.xhp"" name=""Сохранение документов"">Сохранение документов</link></variable>"
Context of Toolbars,Context of Toolbars
"Some toolbars open automatically depending on the context. For example, when you click inside a table in a text document, the Table toolbar opens. When you click inside a numbered paragraph, the Bullets and Numbering toolbar opens.","Some toolbars open automatically depending on the context. For example, when you click inside a table in a text document, the Table toolbar opens. When you click inside a numbered paragraph, the Bullets and Numbering toolbar opens."
To Close a Toolbar Temporarily,To Close a Toolbar Temporarily
"Click the icon in the toolbar's title bar, or choose <emph>Close Toolbar</emph> from the context menu. The toolbar will be shown automatically again when the context becomes active again.","Click the icon in the toolbar's title bar, or choose <emph>Close Toolbar</emph> from the context menu. The toolbar will be shown automatically again when the context becomes active again."
To Close a Toolbar Permanently,To Close a Toolbar Permanently
Choose <emph>View - Toolbars</emph> and click the name of a toolbar to remove the check mark.,Choose <emph>View - Toolbars</emph> and click the name of a toolbar to remove the check mark.
"Choose <emph>View - Toolbars - Reset</emph> to reset the toolbars to their default context sensitive behavior. Now some toolbars will be shown automatically, dependent on the context.","Choose <emph>View - Toolbars - Reset</emph> to reset the toolbars to their default context sensitive behavior. Now some toolbars will be shown automatically, dependent on the context."
"To reattach a floating window, drag-and-drop the window's title bar to an edge of the document window. The mouse pointer should be very close to the document window's edge when you release the mouse button.","To reattach a floating window, drag-and-drop the window's title bar to an edge of the document window. The mouse pointer should be very close to the document window's edge when you release the mouse button."
"Depending on your system's window manager settings, you may also double-click an empty place on the toolbar or window, while holding down the Ctrl key. Or double-click the title bar of the floating toolbar or window.","Depending on your system's window manager settings, you may also double-click an empty place on the toolbar or window, while holding down the Ctrl key. Or double-click the title bar of the floating toolbar or window."
"<embedvar href=""text/shared/guide/autohide.xhp#autohide""/>","<embedvar href=""text/shared/guide/autohide.xhp#autohide""/>"
Sending a Fax Through the Print Dialog,Отправка факса через диалоговое окно печати
Click <emph>Add Commands</emph>.,Нажмите кнопку <emph>Добавить команды</emph>.
Click <emph>Add</emph> and then <emph>Close</emph>.,"Нажмите кнопку <emph>Добавить</emph>, а затем кнопку <emph>Закрыть</emph>."
Working with Queries,Работа с запросами
"<variable id=""data_queries""><link href=""text/shared/guide/data_queries.xhp"">Working with Queries</link></variable>","<variable id=""data_queries""><link href=""text/shared/guide/data_queries.xhp"">Работа с запросами</link></variable>"
Creating a New Query With the Design View,Создание нового запроса в режиме конструктора
"You see the <link href=""text/shared/explorer/database/02010100.xhp"">Query Design window</link>.","Будет открыто окно <link href=""text/shared/explorer/database/02010100.xhp"">Конструктор запросов</link>."
Assistive Tools in $[officename],Вспомогательные средства в $[officename]
"<variable id=""assistive""><link href=""text/shared/guide/assistive.xhp"" name=""Assistive Tools in $[officename]"">Assistive Tools in $[officename]</link></variable>","<variable id=""assistive""><link href=""text/shared/guide/assistive.xhp"" name=""Вспомогательные средства в $[officename]"">Вспомогательные средства в $[officename]</link></variable>"
Supported Assistive Tools,Поддерживаемые вспомогательные средства
"<link href=""text/shared/optionen/01010800.xhp"" name=""Tools - Options - $[officename] - View"">Tools - Options - $[officename] - View</link>","<link href=""text/shared/optionen/01010800.xhp"" name=""Сервис - Параметры - $[officename] - Вид"">Сервис - Параметры - $[officename] - Вид</link>"
"<link href=""text/shared/optionen/01013000.xhp"" name=""Tools - Options - $[officename] - Accessibility"">Tools - Options - $[officename] - Accessibility</link>","<link href=""text/shared/optionen/01013000.xhp"" name=""Сервис - Параметры - $[officename] - Специальные возможности"">Сервис - Параметры - $[officename] - Специальные возможности</link>"
<bookmark_value>form filters</bookmark_value><bookmark_value>databases;form filters</bookmark_value><bookmark_value>searching; form filters</bookmark_value><bookmark_value>removing;form filters</bookmark_value><bookmark_value>filtering; data in forms</bookmark_value><bookmark_value>data;filtering in forms</bookmark_value><bookmark_value>forms; filtering data</bookmark_value>,<bookmark_value>фильтры форм</bookmark_value><bookmark_value>базы данных;фильтры форм</bookmark_value><bookmark_value>поиск; фильтры форм</bookmark_value><bookmark_value>формы;фильтры форм</bookmark_value><bookmark_value>удаление;фильтры форм</bookmark_value>
"<ahelp hid="".uno:FormFilterExit"">If you click on the <emph>Close</emph> button on the <emph>Form Filter</emph> toolbar, the form is displayed without a filter.</ahelp>","<ahelp hid="".uno:FormFilterExit"">Если на панели инструментов <emph>Фильтр форм</emph> нажать кнопку <emph>Закрыть</emph>, форма будет отображена без фильтра.</ahelp>"
"Choose <link href=""text/shared/optionen/01160200.xhp"">Tools - Options - %PRODUCTNAME Base - Databases</link>.","Выберите команду <link href=""text/shared/optionen/01160200.xhp"">Сервис - Параметры - %PRODUCTNAME Database - Базы данных</link>."
"Choose <link href=""text/shared/optionen/01160200.xhp"">Tools - Options - %PRODUCTNAME Base - Databases</link>.","Выберите команду <link href=""text/shared/optionen/01160200.xhp"">Сервис - Параметры - База данных %PRODUCTNAME - Базы данных</link>."
Creating Reports ,Работа с отчетами
<bookmark_value>databases;creating reports</bookmark_value><bookmark_value>reports;creating</bookmark_value><bookmark_value>wizards;reports</bookmark_value>,<bookmark_value>базы данных; создание отчетов</bookmark_value><bookmark_value>отчеты;создание</bookmark_value><bookmark_value>мастера;отчеты</bookmark_value>
"<variable id=""data_reports""><link href=""text/shared/guide/data_reports.xhp"">Creating Reports</link></variable>","<variable id=""data_reports""><link href=""text/shared/guide/data_reports.xhp"">Работа с отчетами</link></variable>"
The following list gives you some information to decide which method to use for your data:,The following list gives you some information to decide which method to use for your data:
Report Builder,Report Builder
Report Wizard,Report Wizard
"Started by ""Create Report in Design View"" command.","Started by ""Create Report in Design View"" command."
"Started by ""Use Wizard to Create Report"" command.","Started by ""Use Wizard to Create Report"" command."
"Full flexibility to use report headers and footers, page headers and footers, multi-column reports.","Full flexibility to use report headers and footers, page headers and footers, multi-column reports."
Uses a Writer template to generate a report document.,Uses a Writer template to generate a report document.
Use drag-and-drop to position the record fields or other design elements like pictures or lines.,Use drag-and-drop to position the record fields or other design elements like pictures or lines.
Select from several given choices to arrange the data records.,Select from several given choices to arrange the data records.
"Generates a one-time snapshot of the data. To see an updated report, execute the same report again to create a Writer document with the updated data.","Generates a one-time snapshot of the data. To see an updated report, execute the same report again to create a Writer document with the updated data."
"You can choose to generate a one-time snapshot with fixed data, or a ""live"" report with links to the current data at the time when you open the Base file.","You can choose to generate a one-time snapshot with fixed data, or a ""live"" report with links to the current data at the time when you open the Base file."
Saves the report as a Writer text document. Stores the information how to create the report inside the Base file.,Saves the report as a Writer text document. Stores the information how to create the report inside the Base file.
Saves the report and the information how to create the report inside the Base file.,Saves the report and the information how to create the report inside the Base file.
Choose Open in the context menu or double-click the report name to create a new report with the current data.,Choose Open in the context menu or double-click the report name to create a new report with the current data.
"Choose Open in the context menu or double-click the report name to either see again the static snapshot of the data from first creation time, or to create a new report with the current data. This depends on your choice on the last page of the wizard.","Choose Open in the context menu or double-click the report name to either see again the static snapshot of the data from first creation time, or to create a new report with the current data. This depends on your choice on the last page of the wizard."
"Choose Edit in the context menu of a report name to open the Report Builder window, with the report's information loaded.","Choose Edit in the context menu of a report name to open the Report Builder window, with the report's information loaded."
Choose Edit in the context menu of a report name to edit the Writer template file that was used to create the report.,Choose Edit in the context menu of a report name to edit the Writer template file that was used to create the report.
Creating a New Report Manually In Design View,Creating a New Report Manually In Design View
Open the database file where you want to create the new report.,Open the database file where you want to create the new report.
"In the left pane of the database window, click the <emph>Reports</emph> icon.","In the left pane of the database window, click the <emph>Reports</emph> icon."
Click <emph>Create Report in Design View</emph>.,Click <emph>Create Report in Design View</emph>.
"Follow the instructions in the <link href=""text/shared/explorer/database/rep_main.xhp"">Report Builder</link> guide.","Follow the instructions in the <link href=""text/shared/explorer/database/rep_main.xhp"">Report Builder</link> guide."
"Follow the steps of the <link href=""text/shared/autopi/01100000.xhp"">Report Wizard</link> to create the report.","Follow the steps of the <link href=""text/shared/autopi/01100000.xhp"">Report Wizard</link> to create the report."
"<embedvar href=""text/shared/guide/data_report.xhp#data_report""/>","<embedvar href=""text/shared/guide/data_report.xhp#data_report""/>"
Comparing Microsoft Office and $[officename] Terms,Сравнение терминов Microsoft Office и $[officename]
<bookmark_value>Microsoft Office;feature comparisons</bookmark_value>,<bookmark_value>Microsoft Office; сравнение компонентов</bookmark_value>
"<variable id=""microsoft_terms""><link href=""text/shared/guide/microsoft_terms.xhp"" name=""Comparing Microsoft Office and $[officename] Terms"">Comparing Microsoft Office and $[officename] Terms</link></variable>","<variable id=""microsoft_terms""><link href=""text/shared/guide/microsoft_terms.xhp"" name=""Сравнение терминов Microsoft Office и $[officename]"">Сравнение терминов Microsoft Office и $[officename]</link></variable>"
Microsoft Office XP,Microsoft Office XP
<bookmark_value>AutoShapes feature in Microsoft Office</bookmark_value>,<bookmark_value>Автофигуры (AutoShapes) в Microsoft Office</bookmark_value>
<bookmark_value>Change Case feature in Microsoft Office</bookmark_value>,<bookmark_value>Изменение регистра (Change Case) в Microsoft Office</bookmark_value>
"<link href=""text/shared/01/05050000.xhp"" name=""Case/Characters"">Case/Characters</link>","<link href=""text/shared/01/05050000.xhp"" name=""Регистр/символы (Case/Characters)"">Регистр/символы (Case/Characters)</link>"
<bookmark_value>comments feature in Microsoft Office</bookmark_value>,<bookmark_value>заметки (comments) в Microsoft Office</bookmark_value>
Comments,Азгәаҭақәа
"<link href=""text/shared/guide/redlining_doccompare.xhp"" name=""Compare"">Compare</link>","<link href=""text/shared/guide/redlining_doccompare.xhp"" name=""Сравнить (Compare)"">Сравнить (Compare)</link>"
<bookmark_value>Document Map feature in Microsoft Office</bookmark_value>,<bookmark_value>Схема документа (Document Map) в Microsoft Office</bookmark_value>
Document Map,Схема документа
"<link href=""text/shared/guide/navigator_setcursor.xhp"" name=""Navigator"">Navigator</link>","<link href=""text/shared/guide/navigator_setcursor.xhp"" name=""Навигатор (Navigator)"">Навигатор (Navigator)</link>"
<bookmark_value>Formula Auditing feature in Microsoft Office</bookmark_value>,<bookmark_value>Режим проверки формул (Formula Auditing) в Microsoft Office</bookmark_value>
Formula Auditing,Проверка формул
"<link href=""text/scalc/01/06030000.xhp"" name=""Detective"">Detective</link>","<link href=""text/scalc/01/06030000.xhp"" name=""Агент (Detective)"">Агент (Detective)</link>"
<bookmark_value>Lines and Page Breaks feature in Microsoft Office</bookmark_value>,<bookmark_value>Вставка разрывов строк и страниц (Lines and Page Breaks) в Microsoft Office</bookmark_value>
Lines and Page Breaks,Разрывы строк и страниц
"<link href=""text/swriter/guide/form_letters_main.xhp"" name=""Form Letter"">Form Letter</link>","<link href=""text/swriter/guide/form_letters_main.xhp"" name=""Стандартное письмо"">Стандартное письмо</link>"
Markup,Рецензирование
<bookmark_value>Phonetic Guide feature in Microsoft Office</bookmark_value>,<bookmark_value>Фонетическое руководство в Microsoft Office</bookmark_value>
Phonetic Guide,Фонетическое руководство
<bookmark_value>Pivot tables feature in Microsoft Office</bookmark_value>,<bookmark_value>Сводные таблицы в Microsoft Office</bookmark_value>
PivotTable,Еизаку аҭаӡҩыра
<bookmark_value>Refresh Data feature in Microsoft Office</bookmark_value>,<bookmark_value>Обновление данных в Microsoft Office</bookmark_value>
Refresh Data,Обновить данные
<bookmark_value>Replace text as you type feature in Microsoft Office</bookmark_value>,<bookmark_value>Замена текста при вводе в Microsoft Office</bookmark_value>
"<link href=""text/shared/optionen/01010400.xhp"" name=""AutoCorrect"">AutoCorrect</link>","<link href=""text/shared/optionen/01010400.xhp"" name=""Автозамена"">Автозамена</link>"
<bookmark_value>Show/Hide feature in Microsoft Office</bookmark_value>,<bookmark_value>Отображение/скрытие в Microsoft Office</bookmark_value>
Show/Hide,Показать/скрыть
"<link href=""text/swriter/01/03100000.xhp"" name=""Nonprinting Characters"">Nonprinting Characters</link>, <link href=""text/swriter/01/03140000.xhp"" name=""Hidden Paragraphs"">Hidden Paragraphs</link>","<link href=""text/swriter/01/03100000.xhp"" name=""Непечатаемые символы"">Непечатаемые символы</link>, <link href=""text/swriter/01/03140000.xhp"" name=""Скрытые абзацы"">Скрытые абзацы</link>"
Spelling and Grammar,Проверка орфографии и грамматики
Track changes,Аԥсахрақәа ранҵара
<bookmark_value>Validation feature in Microsoft Office</bookmark_value>,<bookmark_value>Проверка данных в Microsoft Office</bookmark_value>
Validation,Агәаҭара...
"<link href=""text/scalc/01/12120000.xhp"" name=""Validity"">Validity</link>","<link href=""text/scalc/01/12120000.xhp"" name=""Проверка"">Проверка</link>"
<bookmark_value>Workbook feature in Microsoft Office</bookmark_value>,<bookmark_value>Книга в Microsoft Office</bookmark_value>
Workbook,Книга
<bookmark_value>Worksheet feature in Microsoft Office</bookmark_value>,<bookmark_value>Лист в Microsoft Office</bookmark_value>
Worksheet,Абӷьыц
"<link href=""text/scalc/01/04050000.xhp"" name=""Sheet"">Sheet</link>","<link href=""text/scalc/01/04050000.xhp"" name=""Лист"">Лист</link>"
Using Custom Templates,Использование пользовательских шаблонов
Templates in the Template Folder,"Шаблоны в папке ""Шаблоны"""
Dragging and Dropping Within a $[officename] Document,Перетаскивание в документе $[officename]
"<variable id=""dragdrop""><link href=""text/shared/guide/dragdrop.xhp"" name=""Dragging and Dropping Within a $[officename] Document"">Dragging and Dropping Within a $[officename] Document</link></variable>","<variable id=""dragdrop""><link href=""text/shared/guide/dragdrop.xhp"" name=""Перетаскивание в документе $[officename]"">Перетаскивание в документе $[officename]</link></variable>"
Mouse Pointer,Указатель мыши
"<image id=""img_id3149233"" src=""res/helpimg/copydata.png"" width=""8.47mm"" height=""8.47mm""><alt id=""alt_id3149233"">Mouse pointer copying data</alt></image>","<image id=""img_id3149233"" src=""res/helpimg/copydata.png"" width=""8.47mm"" height=""8.47mm""><alt id=""alt_id3149233"">Указатель мыши при копировании данных</alt></image>"
Copying,Акопи ҟаҵара
"<image id=""img_id3159413"" src=""res/helpimg/linkdata.png"" width=""8.47mm"" height=""8.47mm""><alt id=""alt_id3159413"">Mouse pointer inserting link</alt></image>","<image id=""img_id3159413"" src=""res/helpimg/linkdata.png"" width=""8.47mm"" height=""8.47mm""><alt id=""alt_id3159413"">Указатель мыши при вставке ссылки</alt></image>"
Creating a link,Создание ссылки
"<image id=""img_id3158407"" src=""sw/imglst/sc20238.png"" width=""5.64mm"" height=""5.64mm""><alt id=""alt_id3158407"">Icon</alt></image>","<image id=""img_id3158407"" src=""sw/imglst/sc20238.png"" width=""5.64mm"" height=""5.64mm""><alt id=""alt_id3158407"">Значок</alt></image>"
Inserting and Editing Buttons,Вставка и изменение кнопок
To Add a Button to a Document ,Добавление кнопки к документу 
Creating Round Corners,Создание закругленных углов
"<variable id=""round_corner""><link href=""text/shared/guide/round_corner.xhp"" name=""Creating Round Corners"">Creating Round Corners</link></variable>","<variable id=""round_corner""><link href=""text/shared/guide/round_corner.xhp"" name=""Создание закругленных углов"">Создание закругленных углов</link></variable>"
"<image id=""img_id3150774"" src=""res/helpimg/hand01.png"" width=""0.3335inch"" height=""0.3335inch""><alt id=""alt_id3150774"">Mouse pointer as hand</alt></image>","<image id=""img_id3150774"" src=""res/helpimg/hand01.png"" width=""8.47mm"" height=""8.47mm""><alt id=""alt_id3150774"">Указатель мыши в форме руки</alt></image>"
The toolbars may be freely configured.,Панели инструментов также легко можно настраивать.
Versions and Build Numbers,Номера версии и сборки
<bookmark_value>versions; $[officename]</bookmark_value><bookmark_value>build numbers of $[officename]</bookmark_value><bookmark_value>copyright for $[officename]</bookmark_value>,<bookmark_value>версии; $[officename]</bookmark_value><bookmark_value>номера сборок $[officename]</bookmark_value><bookmark_value>авторские права на $[officename]</bookmark_value>
"<variable id=""version_number""><link href=""text/shared/guide/version_number.xhp"" name=""Versions and Build Numbers"">Versions and Build Numbers</link></variable>","<variable id=""version_number""><link href=""text/shared/guide/version_number.xhp"" name=""Номера версии и сборки"">Номера версии и сборки</link></variable>"
