Аԥсны аҳәынҭқарра ашьаустә закәанеидкыла	Уголовный кодекс республики абхазия
шьауӷас ирзыԥҵәоуп ахараԥса шәагаала ҩажәи жәаба нызқь инадыркны хынҩажәа нызқь мааҭ рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала ҩышықәса рҟынӡа.	наказываются штрафом в размере от тридцати тысяч до шестидесяти тысяч рублей, либо лишением свободы на срок до двух лет.
Абри ахәҭаҷ аҩбатәи ахәҭа аҟны иарбоу аумҭақәа ҟаҵазар:	Деяния, предусмотренные частью второй настоящей статьи, если они совершены:
а) гәыԥҩык ауаатәыҩса заа еибыҳәаны, мамзаргьы еиҿкаау агәыԥ ала;	а) группой лиц по предварительному сговору или организованной группой;
б) ҷыдала идуу шәагаала;	б) в особо крупном размере;
в) змаҵураҭыԥ аҭагылазаара зхы иазырхәаз ила, –	в) лицом с использованием своего служебного положения, -
шьауӷас ирзыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала ҩышықәса инаркны фышықәсанӡа, ахараԥсагьы шәи ҩынҩажәи жәаба нызқь мааҭ рыҟнӡа.	наказываются лишением свободы на срок от двух до шести лет со штрафом до ста пятидесяти тысяч рублей.
Азгәаҭа. Абри ахәҭаҷ аҿы иазԥхьагәаҭоу аумҭа шәагаа дула иҟаҵоуп ҳәа иԥхьаӡоуп арҿиаратә усумҭа аекземплиарқәа, мамзаргьы офонограмма рыхәқәа, мамзаргьы автортә зини азеиԥштә зинқәеи робиектқәа рхархәара ҩажәи хәба нызқь мааҭ раҵкыс иреиҳазар, ҷыдала идуу ашәагаа ҳәа иԥхьаӡоуп уи ахәԥса шә-нызқь иреиҳазар.	Примечание. Деяния, предусмотренные настоящей статьей, признаются совершенными в крупном размере, если стоимость экземпляров произведений или фонограмм либо стоимость прав на использование объектов авторского права и смежных прав превышают двадцать пять тысяч рублей, а в особо крупном размере – сто тысяч рублей.
Аҿыцԥҵаратә зинқәеи апатенттә зинқәеи аԥырхага рыҭара	Нарушение изобретательских и патентных прав
Аҿыцԥҵара, хәарҭара злоу амодель, мамзаргьы ааглыхратә хкы закәандарала ахархәара рзура; аҿыцԥҵара, хәарҭара злоу амодель, мамзаргьы ааглыхратә хкы автор, мамзаргьы ацәыргаҩ рымеида ыҟамкәа, урҭ рыхьӡ официалла акьыԥхь иаҳәаанӡа авторра ахатәтәра, мамзаргьы аицавторра мчыла арура, уи аумҭа ахарџь ӷәӷәа ахылҿиаазар, –	Незаконное использование изобретения, полезной модели или промышленного образца, разглашение без согласия автора или заявителя сущности изобретения, полезной модели или промышленного образца до официальной публикации сведений о них, присвоение авторства или принуждение к соавторству, если эти деяния причинили крупный ущерб, -
шьауӷас ирзыԥҵәоуп ахараԥса шәагаала ҩажәи жәаба нызқь инадыркны хынҩажәа нызқь мааҭ рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала ҩышықәса рҟынӡа.	наказываются штрафом в размере от тридцати тысяч до шестидесяти тысяч рублей либо лишением свободы на срок до двух лет.
Уи аумҭа заа еибыҳәаны гәыԥҩык ауаатәыҩса еицыҟарҵар, мамзаргьы еиҿкаау агәыԥ иҟанаҵар, –	Те же деяния, совершенные группой лиц по предварительному сговору или организованной группой, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала ҩажәи жәаба нызқь инадыркны шә-нызқь мааҭ рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала ҩышықәса инадыркны хәышықәса рҟынӡа.	наказываются штрафом в размере от тридцати тысяч до ста тысяч рублей либо лишением свободы на срок от двух до пяти лет.
Ахақәиҭра, аламысра, адинхаҵара рзы ауаҩытәыҩса изинқәа рԥынгылара	Воспрепятствование осуществлению права на свободу совести и вероисповеданий
Адинхаҵаратә еиҿкаарақәа русура, мамзаргьы адинхаҵаратә қьабзқәа рынагӡара закәандарала аԥынгылара, –	Незаконное воспрепятствование деятельности религиозных организаций или совершению религиозных обрядов, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала жәа-нызқь инадыркны ҩажәа нызқь мааҭ рҟынӡа, мамзаргьы ириашаны ашьақәыргыларатә усурақәа ҿҳәарала шықәсык аҟынӡа.	наказывается штрафом в размере от десяти тысяч до двадцати пяти тысяч рублей либо исправительными работами на срок до одного года.
Аизарақәа, амитингқәа, адемонстрациақәа, аныҟәарақәа, апикетҟаҵарақәа рымҩаԥгара, мамзаргьы урҭ рылахәра аԥынгылара	Воспрепятствование проведению собрания, митинга, демонстрации, шествия, пикетирования или участию в них
Аизарақәа, амитингқәа, адемонстрациақәа, аныҟәарақәа, апикетҟаҵарақәа рымҩаԥгара, мамзаргьы урҭ рылахәра аԥынгылара, мамзаргьы урҭ рылахәра аҟынӡа мчыла анагара, уи аумҭа ҟаиҵазар имаҵуратә ҭагылазаара ихы иархәаны амаҵарауаҩ, мамзаргьы амч ахархәарала, мамзаргьы амч ахархәаразы қәмақаррала, –	Незаконное воспрепятствование проведению собрания, митинга, демонстрации, шествия, пикетирования или участию в них либо принуждение к участию в них, если эти деяния совершены должностным лицом с использованием своего служебного положения либо с применением насилия или с угрозой его применения, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала ҩажәи жәаба нызқь инардыркны шә-нызқь мааҭ рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала хышықәса рҟынӡа, уи инацҵаны маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра ҿҳәарала хышықәса рҟынӡа, мамзаргьы уи ада.	наказываются штрафом в размере от тридцати тысяч до ста тысяч рублей, либо лишением свободы сроком до трех лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового.
20-тәи ахы. АҬААЦӘАРЕИ ЗЫҚӘРАНАМӠАЦИ ИРԥЫНГЫЛО АЦӘГЬАУРАҚӘА	Глава 20. Преступления против семьи и несовершеннолетних
Зықәранамӡац ацәгьаура ралагалара	Вовлечение несовершеннолетнего в совершение преступления
Зықәра намӡац джьаны, акы дақәыргәыӷны, мамзаргьы қәмақаррала, мамзаргьы даҽакала ацәгьаура иалагалара уи аумҭа ҟазҵаз жәаа шықәса ихыҵхьазар, –	Вовлечение несовершеннолетнего в совершение преступления путем обещаний, обмана, угроз или иным способом, совершенное лицом, достигшим восемнадцатилетнего возраста, -
шьауӷас иазыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала ҩышықәса инадыркны хәышықәса рҟынӡа.	наказывается лишением свободы на срок от двух до пяти лет.
Урҭ аумҭақәа ҟарҵазар ани аби, арҵаҩы, мамзаргьы зықәра намӡац иааӡаразы ауалԥшьа закәанла изду ауаатәыҩса, –	То же деяние, совершенное родителем, педагогом либо иным лицом, на которое законом возложены обязанности по воспитанию несовершеннолетнего, -
шьауӷас иазыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала хышықәса инадыркны фышықәса рҟынӡа, уи инацҵаны маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра, ҿҳәарала хышықәса рҟынӡа, мамзаргьы уи ада.	наказывается лишением свободы на срок от трех до шести лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового.
Абри ахәҭаҷ актәи, мамзаргьы аҩбатәи ахәҭақәа рыла иазԥхьагәаҭоу аумҭа ҟаҵазар амч ахархәарала, мамзаргьы уи азы қәмақаррала, –	Деяния, предусмотренные частями первой или второй настоящей статьи, совершенные с применением насилия или с угрозой его применения, -
шьауӷас иазыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала ԥшьышықәса инадыркны быжьшықәса рҟынӡа.	наказываются лишением свободы на срок от четырех до семи лет.
Абри ахәҭаҷ актәи, аҩбатәи, мамзаргьы ахԥатәи ахәҭақәа рыла иазԥхьагәаҭоу аумҭақәа зықәра намӡац ацәгьаура иалагалара ацәгьауратә гәыԥ иадҳәалазар, мамзаргьы ихьанҭоу, мамзаргьы ҷыдала ихьанҭоу ацәгьаура иадҳәалазар, –	Деяния, предусмотренные частями первой, второй или третьей настоящей статьи, связанные с вовлечением несовершеннолетнего в преступную группу либо в совершение тяжкого или особо тяжкого преступления, -
шьауӷас иазыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала хәышықәса инадыркны аашықәса рҟынӡа.	наказываются лишением свободы на срок от пяти до восьми лет.
Зықәра намӡац ауаҩытәыҩса ауаажәларра иаҿагыло аусқәа рыҟаҵара иалагалара	Вовлечение несовершеннолетнего в совершение антиобщественных действий
Зықәра намӡац ауаҩытәыҩса иааԥымҵәаӡакәа арыжәтә ажәра, ахшыҩеилаԥсагатә маҭәашьарқәа рыдкылара, ақьазоура, аҳәаркьира жәаа шықәса зхыҵхьоу ила иалагалара, –	Вовлечение несовершеннолетнего в систематическое употребление спиртных напитков, одурманивающих веществ, бродяжничеством или попрошайничеством, совершенное лицом, достигшим восемнадцатилетнего возраста, -
шьауӷас иазыԥҵәоуп ириашаны ашьақәыргыларатә усурақәа ҿҳәарала шықәсык инаркны ҩышықәса рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала хышықәса рҟынӡа.	наказывается исправительными работами на срок от одного года до двух лет либо лишением свободы на срок до трех лет.
Урҭ аумҭақәа ҟарҵазар ани аби, арҵаҩы, мамзаргьы зықәра намӡац иааӡаразы ауалԥшьа закәанла изду ауаатәыҩса, –	То же деяние, совершенное родителем, педагогом либо иным лицом, на которое законом возложены обязанности по воспитанию несовершеннолетнего, -
шьауӷас иазыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала ҩышықәса инадыркны хәышықәса рҟынӡа, уи инацҵаны маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра, мамзаргьы уи ада.	наказывается лишением свободы на срок от двух до пяти лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового.
Абри ахәҭаҷ актәи, мамзаргьы аҩбатәи ахәҭақәа рыла иазԥхьагәаҭоу аумҭақәа ҟаҵазар амч ахархәарала, мамзаргьы уи азы қәмақаррала, –	Деяния, предусмотренные частями первой или второй настоящей статьи, совершенные с применением насилия или с угрозой его применения, -
шьауӷас иазыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала хышықәса инадыркны фышықәса рҟынӡа.	наказываются лишением свободы на срок от трех до шести лет.
Азгәаҭа. Абри ахәҭаҷ амчха иаҵанакӡом ани аби рхәыҷы ақьазоура даларгалазар рҭагылазаашьа бааԥс иахҟьаны – ахныҟәгага аагарҭа, мамзаргьы анхарҭаҭыԥ амамзаара иахҟьаны.	Примечание. Действие настоящей статьи не распространяется на случаи вовлечения несовершеннолетнего в занятие бродяжничеством, если это деяние совершено родителем вследствие стечения тяжелых жизненных обстоятельств, вызванных утратой источника средств существования или отсутствием места жительства.
Аӡҟы иҵаԥсахра	Подмена ребенка
Аԥсы қымқымра ҵаҵӷәыс измоу, мамзаргьы аҵмыҳәҳәарах хәыцра иахҟьаз аӡҟы иҵаԥсахра, –	Подмена ребенка, совершенная из корыстных или иных низменных побуждений, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала ҩажәи жәаба нызқь инадыркны хынҩажәа нызқь мааҭ рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала ҩышықәса инадыркны хәышықәса рҟынӡа.	наказывается штрафом в размере от тридцати тысяч до шестидесяти тысяч рублей либо лишением свободы на срок от двух до пяти лет.
Ахәыҷы закәандарала ааӡара игара	Незаконное усыновление (удочерение)
Закәандарала, акырынтә, мамзаргьы акры аҭныхразы ахәыҷқәа ааӡара рыҭира, абикәынра (ахахәылхра) рыҭара, –	Незаконные действия по усыновлению (удочерению) детей, передаче их под опеку (попечительство), на воспитание в приемные семьи, совершенные неоднократно или из корыстных побуждений, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала хә-нызқь инадыркны жәохә нызқь мааҭ рҟынӡа, мамзаргьы ириашаны ашьақәыргыларатә усурақәа ҿҳәарала шықәсык аҟынӡа.	наказываются штрафом в размере пяти тысяч рублей до пятнадцати тысяч рублей либо исправительными работами на срок до одного года.
Ахәыҷы ааӡара игара амаӡа араргамара	Разглашение тайны усыновления (удочерения)
Амаҵуратәи, мамзаргьы апрофессионалтәи рымаӡақәа реиԥш ахәыҷы ааӡара игара амаӡа ҵәахтәыс изуалԥшьоу ауаҩытәыҩса ааӡара дызгаз имеида имамкәаны ираргамар, мамзаргьы акры аҭныхра, мамзаргьы ҵмыҳәҳәарах зхәыцрала уи амаӡа даҽаӡәы ираргамар,–	Разглашение тайны усыновления (удочерения) вопреки воле усыновителя, совершенное лицом, обязанным хранить факт усыновления (удочерения) как служебную или профессиональную тайну либо иным лицом из корыстных или иных низменных побуждений, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала жәа-нызқь инадыркны ҩажәи хәба нызқь мааҭ рҟынӡа, мамзаргьы ириашаны ашьақәыргыларатә усурақәа ҿҳәарала шықәсык аҟынӡа, мамзаргьы маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра, ҿҳәарала хышықәса рҟынӡа.	наказывается штрафом в размере от десяти тысяч до двадцати пяти тысяч рублей, либо исправительными работами на срок до одного года, либо лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех.
Зықәра намӡац иааӡаразы ауалԥшьақәа рынамыгӡара	Неисполнение обязанностей по воспитанию несовершеннолетнего
Ан ма аб, мамзаргьы зықәра намӡац иааӡара знапы иану даҽаӡәы, иара убас, арҵаҩы, мамзаргьы аҵараиурҭатә, ааӡарҭатә, ахәшәтәырҭатә усуцәа, мамзаргьы зықәра намӡац ихылаԥшра зыхәҭоу даҽаӡәы зықәра намӡац иааӡаразы ирыду руалԥшьақәа рынамыгӡара, мамзаргьы ишахәҭоу рынамыгӡара уи аумҭа гәымбылла иџьбараны зықәра намӡац изныҟәара иадҳәалазар, –	Неисполнение или ненадлежащее исполнение обязанностей по воспитанию несовершеннолетнего родителем или иным лицом, на которое возложены эти обязанности, а равно педагогом или другим работником образовательного, воспитательного, лечебного либо иного учреждения, обязанного осуществлять надзор за несовершеннолетним, если это деяние соединено с жестоким обращением с несовершеннолетним, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала жәа-нызқь инадыркны жәохә нызқь мааҭ рҟынӡа, мамзаргьы маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра, ҿҳәарала хышықәса рҟынӡа, мамзаргьы ириашаны ашьақәыргыларатә усурақәа, ҿҳәарала шықәсык аҟныӡа.	наказывается штрафом в размере от десяти тысяч до пятнадцати тысяч рублей, либо лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет, либо исправительными работами сроком до одного года.
Ахәыҷқәа рааӡаԥсеи зхы изамыхәо ани аби рбареи ирзыԥҵәоу ааӡаԥса ашәара цәгьахәыцрала аҽацәыԥхьакра	Злостное уклонение от уплаты средств на содержание детей или нетрудоспособных родителей
Ан ма аб аӡбара азыӡба ала зшәара рықәу зықәра намӡац рхәыҷқәа рааӡаԥса, иара убас, жәаа шықәса зхыҵхьоу, аха зхы изамыхәо рхәыҷқәа рныҟәгаԥса ашәара цәгьахәыцрала аҽацәыԥхьакра, –	Злостное уклонение родителя от уплаты по решению суда средств на содержание несовершеннолетних детей, а равно нетрудоспособных детей, достигших восемнадцатилетнего возраста, -
шьауӷас иазыԥҵәоуп ириашаны ашьақәыргыларатә усурақәа ҿҳәарала шықәсык аҟынӡа.	наказывается исправительными работами на срок до одного года.
Аусура зылшо жәаа шықәса зхыҵхьоу ахшара ила аусура злымшо ани аби рзы аӡбара ишьақәнаргылаз азыӡба ала иду аныҟәгаԥса ашәара цәгьахәыцрала аҽацәыԥхьакра, –	Злостное уклонение совершеннолетних трудоспособных детей от уплаты по решению суда средств на содержание нетрудоспособных родителей -
шьауӷас иазыԥҵәоуп ириашаны ашьақәыргыларатә усурақәа ҿҳәарала шықәсык аҟынӡа.	наказывается исправительными работами на срок до одного года.
VIII аҟәша. Аекономика асфераҿы ацәгьаурақәа	РАЗДЕЛ VIII. Преступления в сфере экономики
21-тәи ахы. Ахатәра иаԥынгыло ацәгьаурақәа	Глава 21. Преступления против собственности
Аӷьычра	Кража
Аӷьычра, д.и., атәым мазара маӡала агара, –	Кража, то есть тайное хищение чужого имущества, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала жәа-нызқь инадыркны ҩажәи хәба нызқь мааҭ рҟынӡа, мамзаргьы ириашаны ашьақәыргыларатә усурақәа фымз инадыркны шықәсык аҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала хышықәса рҟынӡа.	наказывается штрафом в размере от десяти тысяч до двадцати пяти тысяч рублей, либо исправительными работами от шести месяцев до одного года, либо лишением свободы на срок до трех лет.
Аӷьычра, иҟаҵоу:	Кража, совершенная:
а) заа еибыҳәаны гәыԥҩык рыла;	а) группой лиц по предварительному сговору;
б) инхарҭам аԥхьакырҭа, мамзаргьы даҽа ҵәахырҭак аҩныҵҟантәи закәанда агарала;	б) с незаконным проникновением в помещение либо иное хранилище;
в) ааха змоу атәылауаҩ акыр харџь иҭарала;	в) с причинением значительного ущерба гражданину;
г) ааха змоу иааигәа иҟаз имаҭәа аџьыба аҟынтәи, имышәкәан аҟынтәи, мамзаргьы даҽакала инапы аҿы иҟаз имазара имырбакәа агарала, –	г) из одежды, сумки или другой ручной клади, находившихся при потерпевшем, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала ҩажәи жәаба нызқь инадыркны хынҩажәа нызқь мааҭ рҟынӡа, мамзаргьы ириашаны ашьақәыргыларатә усурақәа ҿҳәарала шықәсык инаркны ҩышықәса рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала ҩышықәса инадыркны хәышықәса рҟынӡа.	наказывается штрафом в размере от тридцати тысяч до шестидесяти тысяч рублей, либо исправительными работами на срок от года до двух лет, либо лишением свободы от двух до пяти лет.
Закәанда анхарҭа (аҩны) аҩналарала, мамзаргьы шәагаала акыр иҟоу аӷьычра, –	Кража, совершенная с незаконным проникновением в жилище либо в крупном размере,-
шьауӷас иазыԥҵәоуп ахараԥса шәагаала ҩынҩажәи жәаба нызқь инадыркны шәи ҩынҩажәи жәаба нызқь мааҭ рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра, ҿҳәарала хәышықәса инадыркны жәашықәса рҟынӡа, уи инацҵаны ахараԥса шәагаала ҩажәи жәаба нызқь инадыркны хынҩажәа нызқь мааҭ рҟынӡа, мамзаргьы уи ада.	Наказывается штрафом в размере от пятидесяти тысяч до ста пятидесяти тысяч рублей либо лишением свободы на срок от пяти до десяти лет со штрафом в размере от тридцати тысяч до шестидесяти тысяч рублей или без такового.
Аӷьычра, иҟаҵоу:	Кража, совершенная:
а) еиҿкаау агәыԥ ала;	а) организованной группой;
б) ҷыдала идуу шәагаала, –	б) в особо крупном размере, -
шьауӷас иазыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала фышықәса инадыркны жәаҩа шықәса рҟынӡа амазара амхра нацҵаны.	наказывается лишением свободы на срок от шести до двенадцати лет с конфискацией имущества.
Азгәаҭақәа:	Примечания.
Абри Азакәанеидкыла ахәҭаҷқәа рҿы аӡара (ацәӡара) иаанагоит атәым мазара зинда, ргьежьрада ахара зду ихатәрахьы, мамзаргьы даҽаӡәы ихатәрахьы, уи зтәыз, мамзаргьы измаз аԥхасҭа злаиоуз, аиагара.	Под хищением в статьях настоящего Кодекса понимаются совершенные с корыстной целью противоправные безвозмездное изъятие и (или) обращение чужого имущества в пользу виновного или других лиц, причинившие ущерб собственнику или иному владельцу этого имущества.
Агәраргаралатәи ацәгьаура, атәым ахатәтәра, аимҵәара, ауаатәыҩса иртәу аламкәа, ацәӡаразы ашьаустә ҭакԥхықәра цәырҵуеит иӡоу амазара ахә хышә мааҭ ианреиҳаха нахыс.	Уголовная ответственность за хищение путем кражи, кроме имущества граждан, мошенничества, присвоения и растраты наступает при сумме похищенного, превышающей триста рублей.
Ауаҩытәыҩса иоуз аԥхасҭа акыр шыҟоу шьақәыргылазароуп имазаратә ҭагылазаара зеиԥшроу ала, аха аԥхасҭа ахә аашә мааҭ еиҵамзароуп.	Значительный ущерб гражданину в статьях настоящей главы определяется с учетом его имущественного положения, но не может составлять менее восьмисот рублей.
Аԥхьакырҭа ҳәа абри ахы иаҵанакуа ахәҭаҷқәа рҿы иԥхьаӡоуп аргыларақәа, аҟаҵарақәа урҭ зхатәызаалакгьы, аамҭала ауаа, мамзаргьы хәы змоу ааглыхратә маҭәахәқәеи егьырҭ амаҵуратә маҭәахәқәеи рыҟазаара ахьалшо ахыбрақәа.	Под помещением в статьях настоящей главы понимаются строения и сооружения независимо от форм собственности, предназначенные для временного нахождения людей или размещения материальных ценностей в производственных или иных служебных целях.
Аҵәахырҭа ҳәа абри ахы иаҵанакуа ахәҭаҷқәа рҿы иԥхьаӡоуп анхара-нҵыратә ргыларақәа, анхарҭатә ҩынқәа инарҟәыҭханы хазы иҟоу аҵакырадгьылқәа, амагистралтә трубамҩангагақәа, убас егьырҭгьы ахатәра зҵазкуазаалакгьы иҭахкаау, мамзаргьы даҽакала ихьчоу, аамҭакьаҿла, мамзаргьы ҭышәынтәаларала хәы змоу амаҭәахәқәа ҵәахырҭас иахьалху.	Под хранилищем в статьях настоящей главы понимаются хозяйственные помещения, обособленные от жилых построек, участки территории, магистральные трубопроводы, иные сооружения независимо от форм собственности, которые оборудованы ограждением либо техническими средствами или обеспечены иной охраной и предназначены для постоянного или временного хранения материальных ценностей.
Хыԥхьаӡарала ирацәоу, мамзаргьы шәагаала идуу ҳәа абри ахы иаҵанакуа ахәҭаҷқәа рҿы иԥхьаӡоуп амазара ахә ҩынҩажәи жәаба нызқь мааҭ ианреиҳаха инаркны, ҷыдала ирацәаӡоу ҳәа иԥхьаӡоуп амазара ахә шәи ҩынҩажәи жәаба нызқь мааҭ ианреиҳаха нахыс.	Крупным размером в статьях настоящей главы признается стоимость имущества, превышающая пятьдесят тысяч, а особо крупным – свыше ста пятидесяти тысяч рублей.
Агьангьашра	Мошенничество
Мыцҳәарала, мамзаргьы агәрагара ахархәарала атәым мазара ацәӡара, мамзаргьы ақәиҭхара, д.и., агьангьашра, –	Мошенничество, то есть хищение чужого имущества или приобретение права на чужое имущество путем обмана или злоупотребления доверием, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала жәа-нызқь мааҭ инадыркны ҩынҩажәа нызқь мааҭ рҟынӡа, мамзаргьы ириашаны ашьақәыргыларатә усурақәа ҿҳәарала фымз инадыркны шықәсык аҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала ҩышықәса аҟынӡа.	наказывается штрафом в размере от десяти тысяч до сорока тысяч рублей, либо исправительными работами от шести месяцев до одного года, либо лишением свободы на срок до двух лет.
Заа еибыҳәаны гәыԥҩык ауаатәыҩса рыла, мамзаргьы атәылауаҩ акыр ԥхасҭа изҭаз агьангьашра, –	Мошенничество, совершенное группой лиц по предварительному сговору, а равно с причинением значительного ущерба гражданину, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала ҩажәи жәаба нызқь мааҭ инадыркны шә-нызқь мааҭ рҟынӡа, мамзаргьы ириашаны ашьақәыргыларатә усурақәа ҿҳәарала шықәсык инаркны ҩышықәса рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала ҩышықәса инадыркны хәышықәса рҟынӡа.	наказывается штрафом от тридцати тысяч до ста тысяч рублей, либо исправительными работами на срок от одного года до двух лет, либо лишением свободы на срок от двух до пяти лет.
Атәылауаҩ имоу амаҵуратә ҭагылазаара ихы иархәаны, мамзаргьы ааха змоу аԥхасҭа рацәа изҭаз агьангьашра, –	Мошенничество, совершенное лицом с использованием своего служебного положения, а равно в крупном размере, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала ҩынҩажәи жәаба нызқь мааҭ инадыркны шәи ҩынҩажәи жәаба нызқь мааҭ рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала хышықәса инадыркны быжьшықәса рҟынӡа, уи инацҵаны маҵураҭыԥқәаки усурҭаҭыԥқәаки рҿы аҭыԥ анкылара ақәиҭымра ҿҳәарала хышықәса рҟынӡа, мамзаргьы уи ада.	наказывается штрафом от пятидесяти тысяч до ста пятидесяти тысяч рублей либо лишением свободы на срок от трех до семи с лишением права занимать определенные должности или заниматься определенной деятельностью до трех лет или без такового.
Еиҿкаау агәыԥ ала иҟаҵоу, мамзаргьы ҷыдала зшәагаа дуу аԥхасҭа зхылҿиааз агьангьашра, –	Мошенничество, совершенное организованной группой либо в особо крупном размере,-
шьауӷас иазыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала фышықәса инадыркны жәаҩа шықәса рҟынӡа, уи инацҵаны амазара амхра.	наказывается лишением свободы на срок от шести до двенадцати лет с конфискацией имущества.
Ахатәтәра, мамзаргьы аимҵәара	Присвоение или растрата
Ахара зду имадаз амазара ахатәтәра, мамзаргьы аимҵәара, –	Присвоение или растрата, то есть хищение чужого имущества, вверенного виновному,-
шьауӷас иазыԥҵәоуп ахараԥса шәагаала жәа-нызқь инадыркны ҩынҩажәа нызқь мааҭ рҟынӡа, мамзаргьы ириашаны ашьақәыргыларатә усурақәа ҿҳәарала фымз рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала хышықәса рҟынӡа.	наказываются штрафом в размере от десяти тысяч до сорока тысяч рублей, либо исправительными работами на срок до шести месяцев, либо лишением свободы на срок до трех лет.
Урҭ аумҭақәа заа еибыҳәаны гәыԥҩык рыла, мамзаргьы ааха змоу акыр ԥхасҭа злаиоуз ала аҟаҵара, –	Те же деяния, совершенные группой лиц по предварительному сговору, а равно с причинением значительного ущерба гражданину, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала ҩажәи жәаба нызқь инадыркны шә-нызқь мааҭ рҟынӡа, мамзаргьы ириашаны ашьақәыргыларатә усурақәа ҿҳәарала шықәсык инаркны ҩышықәса рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала ҩышықәса инадыркны хәышықәса рҟынӡа.	наказываются штрафом в размере от тридцати тысяч до ста тысяч рублей, либо исправительными работами на срок до одного года до двух лет, либо лишением свободы на срок от двух до пяти лет.
Урҭ аумҭақәа амаҵуратә ҭагылазаара ахархәарала аҟаҵара, мамзаргьы шәагаа дула аҟаҵара, –	Те же деяния, совершенные лицом с использованием своего служебного положения, а равно в крупном размере, -
шьауӷас иазыԥҵәоуп ахараԥса шәагаала ҩынҩажәи жәаба нызқь инардыркны шәи ҩынҩажәи жәаба нызқь мааҭ рҟынӡа, мамзаргьы ахақәиҭра алхәдатәра ҿҳәарала хышықәса инадыркны быжьшықәса рҟынӡа, уи инацҵаны маҵураҭыԥқәаки усурҭақәаки рҿы аҭыԥ анкылара ақәиҭымра, мамзаргьы уи ада.	наказываются штрафом в размере от пятидесяти тысяч до ста пятидесяти тысяч рублей либо лишением свободы на срок от трех до семи лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового.
Абри ахәҭаҷ актәи, аҩбатәи, ахԥатәи ахәҭақәа рҿы иазԥхьагәаҭоу аумҭақәа еиҿкаау агәыԥ ала иҟаҵазар, мамзаргьы ааха змоу иҷыдоу аԥхасҭа ду уи ала иоузар, –	 4. Деяния, предусмотренные частями первой, второй или третьей настоящей статьи, совершенные организованной группой либо в особо крупном размере, -
шьауӷас ирзыԥҵәоуп ахақәиҭра алхәдатәра ҿҳәарала фышықәса инадыркны жәаҩа шықәса рҟынӡа, амазара амхра нацҵаны.	наказываются лишением свободы на срок от шести до двенадцати лет с конфискацией имущества.
