аҿатә уасиаҭ	новый завет
Иашала, иаша-ҵабыргла иуасҳәоит: уара уанқәыԥшыз умаҟа ухала иумӷауҵауан, иахьуҭахызгьы уцон, уанажәлакь, унапқәа еиҵухуеит, умаҟа даҽаӡәы иумӷаиҵоит, иахьуҭахымгьы уигоит.	Истинно, истинно говорю тебе: когда ты был молод, то препоясывался сам и ходил, куда хотел, а когда состаришься, то прострешь руки твои, и другой препояшет тебя, и поведет, куда не хочешь.
Ари иҳәеит Иара ԥсышьас Анцәа дызлаҳараикуаз Пиотр ихшыҩ азишьҭразы. Абри ашьҭахь иеиҳәоит: уаала усышьҭаланы.	Сказал же это, давая разуметь, какою смертью Петр прославит Бога. И, сказав сие, говорит ему: иди за Мною.
Пиотр иакәзар, данаахьаҳә ибоит ауаххьаан Иара игәы иҽадҵаны, Иҳақәиҭу! Уара узнаԥхауа дарбану ҳәа иҵааз, Иисус бзиа иибауаз аҵаҩы дрышьҭаланы дшаауаз.	Петр же, обратившись, видит идущего за ним ученика, которого любил Иисус и который на вечери, приклонившись к груди Его, сказал: Господи! кто предаст Тебя?
Абри даниба, Пиотр Иисус иеиҳәоит: Иҳақәиҭу! ани?	Его увидев, Петр говорит Иисусу: Господи! а он что?
Иисус уи иеиҳәоит: Сара саанӡа иара дыҟазаарацы сҭахызар, уара иузалои? уара Сара усхьыԥшы.	Иисус говорит ему: если Я хочу, чтобы он пребыл, пока приду, что тебе до того? ты иди за Мною.
Абринахыс аишьцәа уи аҵаҩы дыԥсуам ҳәа ажәаны ирылаҩит. Аха Иисус уи дыԥсуам ҳәа имҳәеит, Сара саанӡа иара дыҟазаарацы сҭахызар уара иузалои? ҳәа ауп ишиеиҳәаз.	И пронеслось это слово между братиями, что ученик тот не умрет. Но Иисус не сказал ему, что не умрет, но: если Я хочу, чтобы он пребыл, пока приду, что тебе до того?
Уи аҵаҩы иоуп абри шаҳаҭра азызуа, иагьызҩыз, ҳара иаадыруеит уи ишаҳаҭра шҵабыргу.	Сей ученик и свидетельствует о сем, и написал сие, и знаем, что истинно свидетельство его.
Абри адагьы ирацәоуп Иисус иҟаиҵаз: урҭ зегьы ртәы ак бжьамыжькәа инарҭбааны ианҵазар, уи аҟара шәҟәы аԥсабарагьы иазкрым ҳәа сгәы иаанагоит. Амин.	Многое и другое сотворил Иисус, но, если бы писать о том подробно, то, думаю, и самому миру не вместить бы написанных книг. Аминь.
Апостол цқьацәа русқәа	Деяние святых апостолов
Раԥхьатәи сышәҟә аҿы, Феофил, иузызҩит Иисус иҟаиҵоз, идирҵоз зегьы ртәы,	Первую книгу написал я к тебе, Феофил, о всем, что Иисус делал и чему учил от начала
Идҵақәа Аԥсы Цқьа ила Апостолцәас иалихыз ирыдҵаны ажәҩан ахь данхалоз аҽнынӡатә.	до того дня, в который Он вознесся, дав Святым Духом повеления Апостолам, которых Он избрал,
Иааӡабқәа рышьҭахь Уи абарҭ ауаа дырҭаауан, даргьы, ииашаҵәҟьаны, иԥсы шҭаз агәра ргартә аиԥш зегь рыла ирбарҭан, урҭ даҽа мыш ҩынҩеижәа дрызцәырҵуан, Анцәа Иаҳра аӡбахә рзеиҭаҳәо,	которым и явил Себя живым, по страдании Своем, со многими верными доказательствами, в продолжение сорока дней являясь им и говоря о Царствии Божием.
Зны, дара ааизганы, абри аҩыза адҵа риҭоит: Иерусалим шәаԥырымҵын, Ҳаб шәзықәиргәыӷыз, зыӡбахә шәасҳәоз иаара шәазыԥшыз,	И, собрав их, Он повелел им: не отлучайтесь из Иерусалима, но ждите обещанного от Отца, о чем вы слышали от Меня,
Иоанн шәарҭ аӡаҿы шәиԥшьеит-шәӡааихит, уажәшьҭа, даҽа мышқәак рышьҭахь, Аԥсы Цқьа шәиԥшьараны-шәӡааихраны шәыҟоуп.	ибо Иоанн крестил водою, а вы, через несколько дней после сего, будете крещены Духом Святым.
Иҵаҩцәа еинианы, рҽеидкыланы иазҵааит: Иҳақәиҭу, абри аамҭазы акәӡами Израилтәи аҳра еиҭанышьақәургыло?	Посему они, сойдясь, спрашивали Его, говоря: не в сие ли время, Господи, восстановляешь Ты царство Израилю?
Иара ус реиҳәоит: Аб имчхарала иалху аамҭеи амши рыҽҳәара адырра шәара ишәусу акы акәым,	Он же сказал им: не ваше дело знать времена или сроки, которые Отец положил в Своей власти,
Амала Аԥсы Цқьа данышәҭаалакь, илшара аншәоулакь, шәарҭ Иерусалим аҿы, Иудеиа зегьы аҿы, Самариаҿ, убас адгьыл зегьы аҟны шаҳаҭцәас шәысзыҟалоит.	но вы примете силу, когда сойдет на вас Дух Святый, и будете Мне свидетелями в Иерусалиме и во всей Иудее и Самарии и даже до края земли.
Абри аниҳәа ашьҭахь, дара ишырбоз дышьҭыҵны ажәҩан ахь дхалоит, аԥсҭҳәа даҵәахуеит.	Сказав сие, Он поднялся в глазах их, и облако взяло Его из вида их.
Рылаԥш еихмырсыӷь уи ихалара ишазыԥшыз, абар, маҭәа шкәакәала иеилаҳәаз ҩыџьа ахацәа аарыдгылт,	И когда они смотрели на небо, во время восхождения Его, вдруг предстали им два мужа в белой одежде
Абасгьы ҿаарҭит: шәарҭ, Галилеиаа! шәызгылоузеи абра, ажәҩан шәаҵаԥшуа? Шәара шәахьтә, абрантә, ажәҩан ахь ихалаз Иисус уажәы абраҟа ицара шәшалаԥшуа аиԥшҵәҟьа деиҭахынҳәуеит.	и сказали: мужи Галилейские! что вы стоите и смотрите на небо? Сей Иисус, вознесшийся от вас на небо, придет таким же образом, как вы видели Его восходящим на небо.
Абри ашьҭахь урҭ Елеонтәи ашьхантә илбааны Иерусалимҟа игьежьит, ари ашьхеи Иерусалими сабшатә ныҟәарак аҟара рыбжьан.	Тогда они возвратились в Иерусалим с горы, называемой Елеон, которая находится близ Иерусалима, в расстоянии субботнего пути.
Ианыхынҳә, уада ҭбаа-ҭыцәк аҿы иеизеит, уаҟа иҟан Пиотри, Иакови Иоанни, Андреии, Филиппи Фомаи, Варфоломеии Матфеии, Иаков, Алфеи иԥа, Симон Зилот, иара убас Иуда, Иаков иашьа,	И, придя, взошли в горницу, где и пребывали, Петр и Иаков, Иоанн и Андрей, Филипп и Фома, Варфоломей и Матфей, Иаков Алфеев и Симон Зилот, и Иуда, брат Иакова.
Урҭ еснагь аныҳәа-ныԥхьаразы иеиқәшәон, ирыцын аҳәсагьы ԥыҭҩык, иара убас Иисус Иан Мариеи Иара иашьцәеи.	Все они единодушно пребывали в молитве и молении, с некоторыми женами и Мариею, Материю Иисуса, и с братьями Его.
Убарҭ амшқәа раан Пиотр, иҵаҩцәа рыгәҭа дҩагыланы иҳәеит,	И в те дни Петр, став посреди учеников, сказал
Еизаны иҟан шәиҩеижәаҩык рҟынӡа: аишьцәа-хацәа! Иисус дызҭиз рԥыза Иуда изкны Давид иҿала абас ҟалараны иҟоуп ҳәа Аҩыраҿ Аԥсы Цқьа иҳәаақәиҵахьаз наӡар акәын,	было же собрание человек около ста двадцати: мужи братия! Надлежало исполниться тому, что в Писании предрек Дух Святый устами Давида об Иуде, бывшем вожде тех, которые взяли Иисуса,
Уи ҳара иҳалахәыз уаҩын, иаргьы ҳара ҳазҿыз даҿын, амаҵура мҩаԥигон,	он был сопричислен к нам и получил жребий служения сего,
Иҟаиҵаз ацәгьоура иаҭнихыз аԥарала адгьыл ааихәахьан, ҿыцха данлеи иара убраҟа дҟәыбаса дцеит, имгәа ԥжәаны, иқьамса ҭырбганы.	но приобрел землю неправедною мздою, и когда низринулся, расселось чрево его, и выпали все внутренности его,
Иерусалим абри атәы зегьы ирдыруан, уи ахьыҟалаз аҭыԥгьы уа инхоз рыбызшәала Акелдам, мамзаргьы ашьаарҵәыратә дгьыл ҳәа азырҳәеит.	и это сделалось известно всем жителям Иерусалима, так что земля та на отечественном их наречии названа Акелдама, то есть земля крови.
Аханатә Аԥсалтыр-шәҟәы иануп: абри аҭыԥ ҭацәааит, уаҟа нхарҭа-нҵырҭаны иҟамлааит, насгьы: амаҵуранагаӡараҿ иара иҭыԥ даҽаӡәы иааникылааит.	В книге же Псалмов написано: да будет двор его пуст, и да не будет живущего в нем, и: достоинство его да приимет другой.
Убри аҟнытә иара ицынхәрас Иҳақәиҭу Иисус еснагь ицныҟәоз рыбжьарахьтә аӡәы далхтәуп	Итак надобно, чтобы один из тех, которые находились с нами во все время, когда пребывал и обращался с нами Господь Иисус,
Иоанн имҩаԥигоз аӡӡаахра аамҭақәа инадыркны Уи ҳара данҳаҟәгаз амш аҽнынӡа ицыз аӡәы, абри ауаҩ ҳара ҳаиԥш иаргьы Уи ибзахара иԥсҭалара иазышаҳаҭу уаҩԥсызароуп.	начиная от крещения Иоаннова до того дня, в который Он вознесся от нас, был вместе с нами свидетелем воскресения Его.
Аҵәҭаԥсаразы рыӡбахә рҳәеит ҩыџьа: Варсава, мамзаргьы Иуст ҳәа изышьҭаз Иосифи Матфии.	И поставили двоих: Иосифа, называемого Варсавою, который прозван Иустом, и Матфия,
Иагьныҳәеит, иагьырҳәеит: Иҳақәиҭу, Уара доусы игәы-иԥсы иҭоу здыруа, иҳаилыркаа абарҭ аҩыџьа рахьтә	и помолились и сказали: Ты, Господи, Сердцеведец всех, покажи из сих двоих одного, которого Ты избрал
Апостолтә маҵура заҭәоушьаз, зықәнага иақәшәараны иҟаз, иахьахәҭоу ицаз Иуда ицынхәрас иалухуа.	принять жребий сего служения и Апостольства, от которого отпал Иуда, чтобы идти в свое место.
Нас аҵәы ҭарыԥсеит, аҵәы Матфи иқәшәеит, абри ала уи жәеизаҩык Апостолцәа дырхыԥхьаӡалахеит-дрыцлеит.	И бросили о них жребий, и выпал жребий Матфию, и он сопричислен к одиннадцати Апостолам.
Игылт Аҩынҩажәеижәаба мшы, иҵаҩцәа зегьы еизыразны џьарак иеиқәшәеит.	При наступлении дня Пятидесятницы все они были единодушно вместе.
Ус, ажәҩан ахьтә, аурҭ бааԥс абжьы угәалазыршәо бжьык аагеит, аҩны зегьы ҩнырҭәааны,	И внезапно сделался шум с неба, как бы от несущегося сильного ветра, и наполнил весь дом, где они находились.
Аҵаҩцәа ирбеит ихха-ххаӡа зҽеиҩызшоз, мцабз лашараҵас доусы хаз-хазы ирхаԥхоз ашәахәабызқәа.	И явились им разделяющиеся языки, как бы огненные, и почили по одному на каждом из них.
Дара зегьы убасҟан Ԥсы Цқьа доуҳала рхы-ргәы ҭәит, еиуеиԥшым абызшәақәа рыла ацәажәара иалагеит: Аԥсы Цқьа убри аҩыза алшара риҭеит.	И исполнились все Духа Святаго, и начали говорить на иных языках, как Дух давал им провещевать.
Абри аамҭазы Иерусалим иеиуеиԥшым атәылақәа рахьтә еизаны иҟан анцәахаҵара злаз Иудеиаа.	В Иерусалиме же находились Иудеи, люди набожные, из всякого народа под небом.
Ажәлар неит ари ашьҭыбжь ахьгоз, урҭ ирзымбатәбарахеит доусы рыбызшәақәа рыла иахьцәажәоз.	Когда сделался этот шум, собрался народ, и пришел в смятение, ибо каждый слышал их говорящих его наречием.
Излаԥшуаз иалырҳәаара рзымдыруа иҵаауан: абарҭ ауаа зегьы Галилеитәқәаӡами-мшәан?	И все изумлялись и дивились, говоря между собою: сии говорящие не все ли Галилеяне?
Ишԥаҟалеи, ҳарҭ зегьы хаз-хазы ҳхатәы бызшәақәа рыла урҭ ирҳәо ҳаҳауаны?	Как же мы слышим каждый собственное наречие, в котором родились.
Ҳара ҳабжьара иҟоуп Парфианаа, Мидианаа, Еламитаа, Месопотамиатәи ауааԥсыра, Иудеиа, Каппадокиа, Понт, Асиа,	Парфяне, и Мидяне, и Еламиты, и жители Месопотамии, Иудеи и Каппадокии, Понта и Асии,
Фригиа, Памфилиа, Мысра ирықәынхо, Ливиатәи Киринеи акалҭқәа рахьтә иааз, Римаа, Иудеиааи ааигәа аиудеира здызкылази,	Фригии и Памфилии, Египта и частей Ливии, прилежащих к Киринее, и пришедшие из Рима, Иудеи и прозелиты,
Критынтәи иааз, иара убас Арабцәа, арахь уԥшыр, урҭ зегьы ҳхатәы бызшәақәа рыла Анцәа иус дуқәа ишрылацәажәо ҳаҳауеит?	критяне и аравитяне, слышим их нашими языками говорящих о великих делах Божиих?
Ишанханы, ирҳәо иақәымшәо дара дара еизҵаауан: иаанагоузеи-мшәан ари зегьы?	И изумлялись все и, недоумевая, говорили друг другу: что это значит?
Шьоукых алаф ахь ииаргон: урҭ амыцхә аҩы хаа, амаҷар рамхажәцәазар ҟалап.	А иные, насмехаясь, говорили: они напились сладкого вина.
Ус, Пиотр, иҩагылаз егьырҭ ажәеизаҩык дыруаӡәкны, ажәлар рышҟа ихы ҩарханы, бжьы ӷәӷәала ҿааиҭит: Иудеиааи Иерусалим иаланхо ауааԥсыра зегьи! абри атәы жәдыруазааит, сажәақәа шәырзыӡырҩ:	Петр же, став с одиннадцатью, возвысил голос свой и возгласил им: мужи Иудейские, и все живущие в Иерусалиме! сие да будет вам известно, и внимайте словам моим:
Шәара шәгәы ишаанаго аиԥш арҭ ауаа аҩы иашьым, насгьы макьана амш асааҭ хԥа роуп иҟоу,	они не пьяны, как вы думаете, ибо теперь третий час дня,
Ари иаанаго аԥааимбар Иоил ииҳәаз аҟалара ауп:	но это есть предреченное пророком Иоилем:
Аҵыхәтәантәи амшқәа рзы, иҳәоит Анцәа, Сара Сдоуҳа ауаа зегьы ирызкасыршуеит, шәарҭ шәыҷкәынцәеи шәыӡӷабцәеи заа иҟалаша алацәажәара иалагоит, аҿар аџьашьатәқәа рзаатып, зықәрахь инеихьоу ракәзар иҟалашақәа иреиԥхыӡлашт,	И будет в последние дни, говорит Бог, излию от Духа Моего на всякую плоть, и будут пророчествовать сыны ваши и дочери ваши, и юноши ваши будут видеть видения, и старцы ваши сновидениями вразумляемы будут.
Сара смаҵуҩцәа, стәы-ҳәсақәа Сдоуҳа рызкасырҵәоит, даргьы иҟалаша алацәажәара рызгәышьырҭахоит,	И на рабов Моих и на рабынь Моих в те дни излию от Духа Моего, и будут пророчествовать.
Хыхь, ажәҩан аҿы, иара убас адгьыл аҟны, ишәбарҭахоит адыргақәа ашьа, амца, аԥсҭҳәа еилачыра аиԥш иҩагыло алҩа:	И покажу чудеса на небе вверху и знамения на земле внизу, кровь и огонь и курение дыма.
Ишәықәиҭу хьӡи-ԥшеи згым имш ду, имш лаша гылараны ианыҟоу аҿаԥхьа, амра лашьцаҳаҳарахоит, амза шьаарҵәырахоит,	Солнце превратится во тьму, и луна в кровь, прежде нежели наступит день Господень, великий и славный.
Иҟалоит убас: Ишәықәиҭу ихьӡ иашьапкуа дарбанзаалакь деиқәхоит.	И будет: всякий, кто призовет имя Господне, спасется.
Израил жәлар! шәырзыӡырҩ абарҭ ажәақәа: Назареи Иисус, Ахаҵа, дшынцәахылҵшьҭроу атәы Анцәа ишьақәирӷәӷәеит, ишыжәдыруа, шәшалаԥшыз аиԥш, инаигӡаз аус ӷәӷәақәеи узыршанхо ахҭысқәеи адыргақәеи рыла,	Мужи Израильские! выслушайте слова сии: Иисуса Назорея, Мужа, засвидетельствованного вам от Бога силами и чудесами и знамениями, которые Бог сотворил через Него среди вас, как и сами знаете,
Анцәа заа ишҳәаақәиҵахьаз, ишибарҭахахьаз ала, Уи шәарҭ шәнапы даниҵеит, дшәымаидеит, аха шәара, закәан змам рнапала дышәшьит, аџьар даншәырҟацалт,	Сего, по определенному совету и предведению Божию преданного, вы взяли и, пригвоздив руками беззаконных, убили,
Аха Уи Анцәа дыбзеитәит, диргылт, аԥсра дампыҵихт, аԥсра дааннакылартә аиԥш мчра амоуит.	но Бог воскресил Его, расторгнув узы смерти, потому что ей невозможно было удержать Его.
Аханатә Уи изы Давид иҳәон: сара ианакәзаалакь сҿаԥхьа Иҳақәиҭу дызбон, Уи сарӷьараҿ дыҟан, сара џьара акала сымлакҩакразы,	Ибо Давид говорит о Нем: видел я пред собою Господа всегда, ибо Он одесную меня, дабы я не поколебался.
Сгәы ҭгәырӷьаауеит, сыбыз еснагь Уара убзырӡы атәы аҳәоит, сцәеижьгьы гәыӷрала иҭәуп,	Оттого возрадовалось сердце мое и возвеселился язык мой, даже и плоть моя упокоится в уповании,
Избан акәзар Уара са сыԥсы џьаҳаным иамоудом, Уара иуԥшьаз ауаҩы дурбаауам,	ибо Ты не оставишь души моей в аде и не дашь святому Твоему увидеть тления.
Уара аԥсҭазааратә мҩа сурбеит, Уҿаԥхьа гәырӷьарала сыҟоуп.	Ты дал мне познать путь жизни, Ты исполнишь меня радостью пред лицем Твоим.
Аишьцәа-хацәа! агәра шәсыргоит ҳабацәа раб Давид, ҳашьҭракҩы, дшыԥсхьоу, анышә дшамардахьоу, уи инышәынҭра иахьа уажәраанӡагьы иҟоуп,	Мужи братия! да будет позволено с дерзновением сказать вам о праотце Давиде, что он и умер и погребен, и гроб его у нас до сего дня.
Уи дԥааимбарын, ишьҭрахьтә, ихылҵыз иреиуаз Христос аҳра ҭыԥ аҟны атәара шиаҭәашьахо ала Анцәа иахьтә иоухьаз ауасиаҭ ажәа ҳасаб азуа,	Будучи же пророком и зная, что Бог с клятвою обещал ему от плода чресл его воздвигнуть Христа во плоти и посадить на престоле его,
Ԥхьаҟа иҟалашаз атәы, Христос игыларатә далацәажәон, иҳәон Уи иԥсы џьаҳаным ишнымхо, ицәеижь баараны ишыҟам.	Он прежде сказал о воскресении Христа, что не оставлена душа Его в аде, и плоть Его не видела тления.
Абар, уажәы, Анцәа Иисус диргылт, ҳарҭ зегьы абри шаҳаҭцәас ҳамоуп.	Сего Иисуса Бог воскресил, чему все мы свидетели.
Уи Анцәа имчхара ду ала, инапала дҳареикит, Иисус Иаб дзықәиргәыӷхьаз Аԥсы Цқьа иаҭәахеит, Анцәа уажәы шәызлаԥшуа, ишәаҳауа зегьы ҳәаақәиҵеит.	Итак Он, быв вознесен десницею Божиею и приняв от Отца обетование Святаго Духа, излил то, что вы ныне видите и слышите.
Давид ажәҩан ахь дхамлацызт, аха иҳәахьан: Иҳақәиҭу сара Исықәиҭу иеиҳәеит: сарӷьараҿ утәаз,	Ибо Давид не восшел на небеса, но сам говорит: сказал Господь Господу моему: седи одесную Меня,
Уаӷацәа уҿаԥхьа асаара ишьамхнышгылартә иҟасҵаанӡа.	доколе положу врагов Твоих в подножие ног Твоих.
Убри аҟнытә Израилаа рыҩны зегьы, агәра ганы уҟаз, иџьарурҟацаз Иҳақәиҭу иакәны, Христос иакәны дҟазҵаз Анцәа шиакәу, Анцәа иахьтә дшааз.	Итак твердо знай, весь дом Израилев, что Бог соделал Господом и Христом Сего Иисуса, Которого вы распяли.
Ауаа абри анраҳа, рыгәқәа ԥсаҳәеит, урҭ Пиотри егьырҭ Апостолцәеи иразҵаауа иалагеит: аишьцәа-хацәа, иҳашәҳәа, иҟаҳҵарызеи?	Услышав это, они умилились сердцем и сказали Петру и прочим Апостолам: что нам делать, мужи братия?
Пиотр ус раҭеикит: шәарҭ шәахьтә дарбанзаалакь имоу агәнаҳарақәа дрыхьхәааит, иҽӡааихааит, Иисус Христос ихьӡала игәнаҳарақәа ихихразы убасҟан Аԥсы Цқьа иахьтә аҳамҭа шәоуеит,	Петр же сказал им: покайтесь, и да крестится каждый из вас во имя Иисуса Христа для прощения грехов, и получите дар Святаго Духа.
Ари аҭамзаара, шәыгәнаҳа шәанажьра, шәаргьы шәхәыҷқәагьы ақәыргәыӷуеижьҭеи акрааҵуеит, уимоу уи рзыԥшуп Иҳақәиҭу Ҳанцәа дзыԥхьо шәара ишәцәыхараны иҟоугьы,	Ибо вам принадлежит обетование и детям вашим и всем дальним, кого ни призовет Господь Бог наш.
Пиотр урҭ ргәырҽаниҵон, дагьрыҳәон: шәҽацәышәыхьча ауаҩытәыҩса икаҳара, иҽнымкылара.	И другими многими словами он свидетельствовал и увещевал, говоря: спасайтесь от рода сего развращенного.
Уи идҵа иҵаражәа гәаҳәарала издызкылоз рыҽӡаархуан, абри амш аҽны ахаҵара зауз рхыԥхьаӡара хнызқьҩык рыла иазҳаит,	Итак охотно принявшие слово его крестились, и присоединилось в тот день душ около трех тысяч.
Ахаҵара зауз зегьы гәацԥыҳәарала Апостолцәа рмаҵура, рыҿцаара, ачамхра, аныҳәарақәа рымҩаԥгара ирылахәын.	И они постоянно пребывали в учении Апостолов, в общении и преломлении хлеба и в молитвах.
Дара зегьы Анцәа иҿаԥхьа ишәа-ӡыӡон, Апостолцәа Иерусалим иџьоушьашаз акыр ҟарҵон, иҟалашаз рдыргақәа ухшыҩ рзырышьҭуан.	Был же страх на всякой душе, и много чудес и знамений совершилось через Апостолов в Иерусалиме.
Ахаҵара змаз зегьы еицыҟан, ирымазгьы еицырзеиԥшын, еицеиҩыршон,	Все же верующие были вместе и имели все общее.
Иртәыз-ирыҵакыз рынхарҭа дгьылқәа, рмал рҭиуан, зегьы ирзыршон, доусы иҭагылазаашьа зеиԥшраз ала,	И продавали имения и всякую собственность, и разделяли всем, смотря по нужде каждого.
Ес-иаашар аныҳәарҭаҿ, рыҩнқәа рҿы еизон, уаҟа гәаҳәарала, гәаартыла еиԥылон, ача ԥырҽуан, иеиқәгәырӷьо акрырфон,	И каждый день единодушно пребывали в храме и, преломляя по домам хлеб, принимали пищу в веселии и простоте сердца,
Анцәа иҽхәаԥхьыӡ ҳәауа, жәлары зегьы рыбзиабара рыманы. Иҳақәиҭу ес-иаашар ихаҵара зауаз, иеиқәирхоз рхыԥхьаӡара иазирҳауан, Руахәама аилазаара ирҭбаауан.	хваля Бога и находясь в любви у всего народа. Господь же ежедневно прилагал спасаемых к Церкви.
Зны Пиотри Иоанни еицны аныҳәарҭахь ицон хәылԥазтәи аныҳәара аамҭазы, асааҭ жәба рзы.	Петр и Иоанн шли вместе в храм в час молитвы девятый.
Иара убасҟан, убра, аныҳәарҭа Ашә Ԥшӡақәа ҳәа изышьҭаз рҿы, дааргеит даниз аахыс грала адәы иқәыз ацыркь-хымхәа. Уи еснагь абри аҭыԥ аҟны дааганы дынрыжьуан, аныҳәарҭа иааҩныҵуаз дрыҳәон,	И был человек, хромой от чрева матери его, которого носили и сажали каждый день при дверях храма, называемых Красными, просить милостыни у входящих в храм.
Аныҳәарҭа аҩналарҭаҿ Пиотри Иоанни аниба, урҭгьы дрыҳәо далагеит.	Он, увидев Петра и Иоанна перед входом в храм, просил у них милостыни.
Пиотри Иоанни уи акыр изыԥшуан, нас Пиотр иҳәоит: арахь уҳахәаԥш.	Петр с Иоанном, всмотревшись в него, сказали: взгляни на нас.
Ахымхәа иблақәа ҭырхаха урҭ дырҿаԥшуан, џьара ак сырҭозар ҳәа дгәыӷны.	И он пристально смотрел на них, надеясь получить от них что-нибудь.
Пиотр ус иҳәоит: ахьи араӡни сымам, аха исылшараны иҟоу удысҵоит, Назареи Иисус Христос ихьӡала уҩагыланы уҿынаха.	Но Петр сказал: серебра и золота нет у меня, а что имею, то даю тебе: во имя Иисуса Христа Назорея встань и ходи.
Пиотр уи иарӷьамахәар ааникылт, дангылоз дицхрааразы, абри аамҭазы ахымхәа ишьаргәыҵеи ишьамх ҟәартәрақәеи ааӷәӷәахеит,	И, взяв его за правую руку, поднял, и вдруг укрепились его ступни и колени,
Иаргьы, ашырҳәа ишьапы дҩықәгылан, аныҟәара дналагеит, дрыцны аныҳәарҭахь иҿынеихеит, атрым-трым дышьҭыԥо, Анцәа дырҽхәауа.	и вскочив, стал, и начал ходить, и вошел с ними в храм, ходя и скача, и хваля Бога.
Уа иԥшыз зегьы ирбеит уи дышьҭхысаа дышныҟәоз, Анцәа ибзырӡы ҳәауа.	И весь народ видел его ходящим и хвалящим Бога,
Урҭ ари ауаҩ аныҳәарҭа Ашә Ԥшӡақәа ирылатәаны ауаа ирыҳәоз шиакәыз рдыруан, иҟалаз рзымбатәбаран, иџьаршьон.	и узнали его, что это был тот, который сидел у Красных дверей храма для милостыни, и исполнились ужаса и изумления от случившегося с ним.
Ацыркь-хымхәа Пиотри Иоанни дырԥыршәомызт, ажәларгьы, Соломон ибарҵа ҳәа изышьҭаз аҿы ирыкәша игылан.	И как исцеленный хромой не отходил от Петра и Иоанна, то весь народ в изумлении сбежался к ним в притвор, называемый Соломонов.
Убасҟан Пиотр иҳәоит: Израил жәлар! уамашәақәа изыжәбоузеи абри ахҭыс, ҳара ҳамч-ҳалшарақәа рыла, ҳгәаҳәарала абри ауаҩ аныҟәара илшартә дҟаҳҵазшәа шәгәы изаанагоузеи?	Увидев это, Петр сказал народу: мужи Израильские! что дивитесь сему, или что смотрите на нас, как будто бы мы своею силою или благочестием сделали то, что он ходит?
Авраами, Исааки, Иакови Рынцәа, ҳабацәа Рынцәа хьӡи-ԥшеи ииҭеит Иара Иԥа Иисус, шәара Уи ишьра шәазыразны шәныҟәеит, Пилат иҿаԥхьа ицәа ԥышәҽит, Пилат Уи иоушьҭра дшазыразызгьы,	Бог Авраама и Исаака и Иакова, Бог отцов наших, прославил Сына Своего Иисуса, Которого вы предали и от Которого отреклись перед лицом Пилата, когда он полагал освободить Его.
Шәарҭ Иԥшьаз, Ииашаз ицәа ԥҽны, ауаҩшьҩы ихы дақәиҭтәны дшәырҭаратәы шәныҟәеит,	Но вы от Святого и Праведного отреклись, и просили даровать вам человека убийцу,
Шәара Аԥсҭазаарахылаԥшҩы дышәшьит, аха Анцәа Уи иԥсы ҭеиҵеит, диргылт, ҳара уи шаҳаҭцәас ҳамоуп.	а Начальника жизни убили. Сего Бог воскресил из мертвых, чему мы свидетели.
Уи Ихьӡ абри ауаҩ дарӷәӷәеит, мчы инаҭеит, избан акәзар уи абри Ахьӡ агәра игеит, ихеиҵеит, Иара иахьтә иаауа абри агәрагара, ахаҵара шәарҭ зегьы ишыжәбоз абри ахымхәа рыцҳа дахәышәтәит, ишьапы дықәнаргылт.	И ради веры во имя Его, имя Его укрепило сего, которого вы видите и знаете, и вера, которая от Него, даровала ему исцеление сие перед всеми вами.
Сашьцәа, еилыскаауеит, шәаргьы шәхылаԥшцәагьы ари дырны ишыҟашәымҵаз,	Впрочем я знаю, братия, что вы, как и начальники ваши, сделали это по неведению,
Анцәа иԥааимбарцәа рыла Христос абас еиԥш иҟоу агәаҟра изыԥшуп ҳәа иаԥхьазгәеиҭахьаз наӡеит ауп.	Бог же, как предвозвестил устами всех Своих пророков пострадать Христу, так и исполнил.
Шәыҽшәырҭынч, шәныҳәа, шәызҵоу агәнаҳарақәа шәанаижьразы,	Итак покайтесь и обратитесь, чтобы загладились грехи ваши,
Убасҟан Иҳақәиҭу даҽа аамҭа гәырӷьахәк шәаҭәеишьоит дышәзылбааишьҭуеит ишәзикыз, ишәзалихыз Иисус Христос.	да придут времена отрады от лица Господа, и да пошлет Он предназначенного вам Иисуса Христа,
Аха Анцәа зегьы алиршараны ианыҟоу амшазы, иԥааимбар ԥшьацәа рыла зыӡбахә иҳәахьоу аамҭа ааиаанӡа, Уи ажәҩан аҿы дшыҟоу даанхоит.	Которого небо должно было принять до времен совершения всего, что говорил Бог устами всех святых Своих пророков от века.
Моисеи ҳабацәа абас реиҳәахьан: Ишәықәиҭу Шәынцәа шәара шәыбжьара, сара сшалиххьаз аиԥш, Ԥааимбарк далихуеит, зегьы рыла Убри иааиҳәо шәазыӡырҩла, шәацныҟәала,	Моисей сказал отцам: Господь Бог ваш воздвигнет вам из братьев ваших Пророка, как меня, слушайтесь Его во всем, что Он ни будет говорить вам,
Убри Аԥааимбар изымӡырҩуа дарбанзаалакь жәлары дрылыцҟьаахоит.	и будет, что всякая душа, которая не послушает Пророка того, истребится из народа.
Самуил инаиркны, убас иара ишьҭахь иаагылоз аԥааимбарцәа зегьы рҿы ааихыхны ажәак рҳәацыԥхьаӡа абарҭ амшқәа шгыло атәы иалацәажәон.	И все пророки, от Самуила и после него, сколько их ни говорили, также предвозвестили дни сии.
