Агәымшәа 	﻿Храброе сердце 
исиҭом ар, 	что не может одолжить мне войска. 
аха аҩадатәи Англиа иаарыԥхьоит ацхыраарахь. 	И каждый город в северной Англии молит о помощи. 
Иара джәылоит. 	Он наступает. 
- Иарбану қалақьу? - Арахь шәхацкы. 	- На какой город? - На этот, мой господин. 
Днага аҩнуҵҟа, акрал ҩбашәтә, агәашәқәа ашәыркы, шәласы. 	Все припасы и пищу внутрь, удвоить стражу на стенах, 
агәашәқәа ашәыркы. 	закрыть ворота, живо! 
Шәласы, шәласы. 	Быстро! Заносите провизию. 
Шәхаҵкы! Ҳара араантә шәалҳгар ҟалоит, 	Сэр, мы можем вывести вас, но только сейчас. 
сара изысцҳароуп саб иашьа изысцәыӡыз иреиҳаӡоу ақалақь аҩадатәи Англиа. 	Я не смогу сказать дяде, что потерял самый великий город северной Англии. 
ԥхьаҟа! 	Вперед! 
Амҩа ишәҭ акрал! 	Дорогу королю! 
Ари уара иухараӡам. 	Это не ваша вина. 
- Иҳәа уара угәаанагара. - сара исҳәоит сгәаанагара иҵегьы иацҵаны. 	- Выйдите к нему. - Я выйду к нему. 
Ажәабжьыс иҟоузеи? 	Какие новости из севера? 
Акагьы, 	Ничего нового, Ваше Величество. 
ҳара иаҳшьҭит аҽыҩцәа иааргарц ажәабжь ҽыцқәа. 	Мы послали гонцов, чтобы донести все известия. 
Сара исаҳаит, Франциа, 	Я слышал известие во Франции, 
Сахықәԥози иахьеиҳастәози уара уаԥхьатәи уԥеиԥш иумпыҵаку адгьыл. 	где я сражался за расширение твоего будущего королевства. 
Сара исаҳаит сыҷқәын, аха ҳара зегьы аҩадатәи ҳар иҟәыбаса еилажьуп, 	И мне сообщили, сын мой, что вся наша северная армия уничтожена. 
нас уара акгьы узыҟамҵаӡеит. 	И ты ничего не сделал. 
Сара иазгеит асолдаҭ гуԥҩык дара иеиқәшәоуп аибашьрахь ацара. 	Я объявил воинский призыв, сэр. Новобранцы собраны и готовы. 
Саҭамзааит шәхаҵкы! Ирццакны ашьҭра Иоркантә. 	Простите, сир, но из Йорка срочное донесение. 
Уааи ара. 	Давай. 
- Ҳааныжь ҳара. - Ааи шәхацкы. 	- Ступай. - Благодарю, сир. 
- Уалас иицҟьеит Иорк. - Изакәи? 	- Уоллес взял Йорк. - Что? 
Уалас иицҟьеит Иорк. 	Уоллес взял Йорк. 
Шәхацкы! Шәара шәаҳәшьаԥа. 	Сир, это ваш племянник. 
агыгшәыг иҟаиҵазеи? 	Какой зверь мог это сделать? 
Иара Иорк импыҵеихалазар, 	Если он может взять Йорк, 
днеир ҟалоит агаҽатәи Англианӡа. 	он может вторгнуться в нижнюю Англию. 
иара ҳара даанаҳкалоит. 	Мы остановим его. 
Дарбан ари ауаҩ изҳәо сара исҭахәшәа иара ицхыраара алабжьараҿы? 	Кто это говорит мне, будто я нуждаюсь в его совете? 
Сара Фелеп дахасыргылт ихадоу бжьгаҩыс. 	Я назначил Филиппа моим высоким советником. 
Иара имч азхо? 	Он сведущ в этом? 
Сара адырра сымоуп аибашьраҟны. 	Я знаю искусство войны, военную тактику, сир. 
Ииашаны? 	Правда? 
Нас исаҳәа … 	Тогда скажи... 
иарбан абжьгарас исуҭоу, Уажәы аҭагылазаашьа? 	Какой совет ты дашь в нынешней ситуации? 
Сара иабжьазгоит аинаалара, 	Я предложу мир 
насгьы даасхоит. 	и куплю его. 
Ицода иара иахь? Сара сакәӡам. 	Но кто поедет к нему? Не я. 
Иара иаҳәа саҽашәар, 	Если я паду от меча этого убийцы, 
схы акалаҭ иҭаҳар ҟалап. 	то в ведре окажется моя голова. 
Сара сыҷкәын ԥшқа иакәӡам. 	И не мой благородный сын. 
Иԥшра заҵә инаҭоит агәахәара иаӷа икра атәыла зегьы аҟны. 	Один вид его лишь вдохновит врага захватить всю страну. 
Нас исшьҭода? 	Так кого мне послать? 
Исшьҭода? 	Кого мне послать? 
Ари ԥхыӡума? 	Это сон. 
Ааи ԥхыӡуп. 	Да, сон. 
Уааԥшыроуп уажәшьҭа. 	Но ты должен проснуться. 
Ааԥшра сҭахӡам. 	Я не хочу просыпаться. 
Исҭахуп ара сбыцзар. 	Я хочу остаться здесь, с тобой. 
Сара уара суцзар. 	А я с тобой. 
Аха уара уааԥшыроуп. 	Но ты должен проснуться. 
Уааԥшы Уилиам. 	Вставай, Уильям. 
Уааԥшы. 	Проснись. 
Уилиам Уааԥшы. Уааԥшы.. 	Уильям, проснись. 
Уилиам иааит акрал ишьҭымҭацәа. 	Уильям, едет королевская свита 
Еинзраало абираҟала, 	под знаменем переговоров 
насгьы ашьапҩзы идыргала. 	и под штандартами самого Длинноногого. 
Сара Уелз аҳқәажә. 	Я принцесса У эльская. 
Сааит акрал идҵаҟаҵарала. 	Я прибыла, как слуга короля и от его власти. 
Иауазеи? 	Зачем? 
Иҳаӡбырц акрал идҵаҟаҵамҭа. 	Чтобы обсудить предложение короля. 
Шәарҭ аԥҳәыс шәлацәажәома? 	Вы будете говорить с женщиной? 
Сара иахьынӡаздыруа шәара уажәыааигәа ишәырҭеит ахьыӡ аамсҭа. 	Я так понимаю, вам недавно дали звание рыцаря. 
Сара акгьы сыримҭаӡеит. 	Мне ничего не давали. 
Анцәа ду иоуп. Иҟазҵо абас ауаа дара ишыҟоу еиԥшны. 	Бог сотворяет людей, как они есть. 
Ари анцәа ду иоума уҟазҵаз еиларбга ҳәа аҭынч қалақьқәа? 	Бог сделал вас разорителем мирных городов? 
Акрал иаҳәшьаԥа ашьапҩзы, схаҵа иаҳәшьаԥа. 	Палачом племянника короля, кузеном моего мужа? 
Иорк ирыман уасхырс зегь рзы, сара стәыла иқәнагалоз. 	Йорк был отправной точкой для всякого вторжения в мою страну. 
уи аамҭазы акрал иаҳәшьаԥа икнеиҳуан Ашоҭландцәеи, насгьы зынӡа акгьы зхарамыз, ахәыҷқәеи аҳәсақәеи. 	Этот кузен вешал шотландцев, даже женщин и детей на городских стенах. 
Ашьапыҩзы далалеит еиҳа еицәаны, 	Длинноногий поступал намного хуже, 
импыҵахалуа Шоҭландиатәи ақалақьқәа. 	когда в последний раз захватывал шотландский город. 
Иара агәмбылџьбара, алеишәа цәгьа, абнауаҩы. 	Он беспощадный свирепый дикарь. 
Насгьы иара амц иҳәоит. 	И он лжет. 
Сара ахаангьы мцы сҳәаӡом. 	Я никогда не лгу. 
Аха сара ииашаны сыбнауаҩуп. 	Но я и вправду дикарь. 
Иҟалап шәара ишәҭахызар Францыз бызшәала? 	Может быть вы предпочитаете по-французски? 
Шәара ишәҭахызар шәиазҵаар ҟалоит шәара шәкрал, Шәиазҵаа. 	Спросите вашего короля в лицо. Спросите. 
Иара илақәа агәра шәдмаргаӡари. 	И тогда ваши глаза увидят правду. 
Ҳамельҭеи удәылҵ. 	Гамильтон, оставьте нас. 
- Аҳкәажә? - ҳааншәыжь ҳхала, уажәыҵәҟьа. 	- Моя госпожа? - Оставьте нас. 
уажәшьҭа ииашацәҟьаны. 	Поговорим прямо. 
Шәара Англиа шәалалеит. 	Вы вторглись в Англию. 
Аха шәара ишәзыгаӡом иара, 	Но вы не можете завершить завоевание 
избанзар, шәара шәыҟоуп ихараны шәтәыла аҟнытә. 	так далеко от ваших припасов и убежища. 
Акрал иҭахуп аҭынчра. 	Король желает мира. 
- Ашьапыҩзы аҭынчра иҭахуп! - Иара ирылеиҳәеит, шәара ишәымаҿуп. 	- Длинноногий желает мира? - Он так объявил, я клянусь. 
Иара ишәыдигалоит ар наҟ иқәжәгарц. 	Он предлагает вам прекратить наступление. 
Ацынхәрас иара ҳамҭас ишәиҭоит, атитул, адгьыл, насгьы ашәандыҟәра азна ахьы, 	Взамен он даст вам титул, поместье и сундук золота, 
сара хаҭала ишәсыркоит. 	который я привезла вам лично. 
Атитул, адгьыл нас иацҵаны ахьы, уи аамышьҭахь дҟаларц Џьудес. 	Звание лорда, титул и золото за то, чтобы я стал иудой? 
- Ус енагь иҟалоит адунеиаҿы. - Дара атәцәа ракәхон. 	- Так создается перемирие. - Так создаются рабы. 
Ашьапыҩзы даналацәажәоз аҭынчра, сара усҟан сыԥшқан, 	В последний раз, когда Длинноногий говорил о мире, я был мальчиком. 
гәԥҩык ҳаҭыр зқуз Ашоҭландцәа ихарҵеит иара иажәақәа, 	Многие шотландские дворяне, которые не желали быть рабами 
насгьы иареи уи аамышьҭахь ижьаны иҭеигалт ... 	были завлечены в ловушку под флагом перемирия, 
аца рыззагь икнеиҳаит. 	в амбар, где он повесил всех. 
Сара сыҷқәынан, аха сгәаҽы инхеит иара ишеилыкаауа аҭынчра. 	Я был очень молод, но я запомнил понятие Длинноногого о мире. 
Сара издыруеит шәара шәгәырҩуан, 	Я понимаю, что вы пережили. 
издыруеит шәара бзиа ижәбуа. 	Я знаю о вашей женщине. 
Бзиа ижәбуа лакәым, 	Она была моей женой. 
аха ҳара маӡала ҳаибагеит, 	Мы поженились тайно, 
исҭахымыз деимаҳкыр Англиатәи ҭауади сареи. 	потому что я не хотел делить ее с английским лордом. 
Дара дыршьит лара, ирҭахын сара сыргарц. 	Они убили ее, чтобы добраться до меня. 
Уаанӡа сара уи аӡбахә сҳәаӡомызт, 	Я никогда не говорил об этом 
исыздвруам уи сара шәара изшәасҳәа 	и не знаю почему рассказываю вам. 
иҟалап избоит лара лымч шәара шәҟаны, 	Разве что я вижу ее силу в вас. 
шәара кралс шәаныҟалалак, 	Однажды вы станете королевой, 
шәара шәыла аашәыртыроуп. 	и вы должны открыть глаза. 
Акрал иашәҳәа, 	Скажите вашему королю, 
Уилиам Уалас тәыс дҟалаӡом. 	что он не будет править Уильямом Уоллесом 
Сара сыԥсы ахьынӡаҭоу дарбанзаалак Шоҭландуаҩык дзыҟалом тәыс. 	и ни одним шотландцем, пока я жив. 
Сыҷқәын иԥҳәыс гәакьа дхынҳәит ԥыршәа лымамкәа агәымбылџьбарцәа рыҟнытә. 	Верная жена моего сына возвращается невредимая от этого дикаря. 
- Иара идикылама аҵарҭыша? - Мап, идымкылаӡеит. 	- Так он принял нашу взятку? - Нет, не принял. 
Нас иара дызгылоузеи? 	Тогда почему он остался? 
Сара сыԥшыхәҩцәа иаарыцҳоит ақәылара шыҟарымҵа. 	Мои разведчики сказали, что он не наступает. 
Иара дшәызԥшуп, Иорк аҟны. 	Он ждет вас в Йорке. 
Уажәазы сақәлаӡом иҳәеит иара. 	Он говорит, что не будет больше брать города, 
Шәара ишәызхозар ахаҵара иареи шәареи шәеиԥылара. 	если вы достаточно смелы, чтобы сразиться лицом к лицу. 
Ааи. 	Правда? 
Уелзтәи ахыци ахәмпалы аршәыҩцәа рҽыҵәахны 	У эльских лучников не заметит. 
ага рҽаҭаны ицароуп. 	Они обойдут его с флангов. 
Ҳара ҳар ихадоу амчрақәа Франциатә иӡхыҵоит абра, 	Основная сила наших армий из Франции высадится здесь, 
ҩадахьы Еденбра, 	к северу от Эдинбурга. 
Аирландцәа иадгылоит адамраҭашәарантә, абрааҵәҟа. 	Новобранцы из Ирландии подойдут с юго-запада 
Франциатәи ар. 	вот сюда. 
Уелзтәи ахыци ахәмпалы аршәцәа Аирландцәа 	У эльские лучники, французские войска, ирландские новобранцы. 
Иахьаҵәҟа идәықәрҵаргьы ицоит мчыбжьык аҽазыҟаҵара. 	Даже если отправить их сегодня потребуется неделя собрать их. 
Сара идәықәсҵеит дара, уаанӡа, уԥҳәыс ддәықәсҵаанӡа. 	Я отправил их до того, как послал твою жену. 
Иара убас ҳагызмалра маншәалахт, иҭабуп. 	Так что наша маленькая уловка сработала. Спасибо. 
Уажәазы ари акыдԥалара дазыԥшуп сара сцәырҵра, Иорк аҟны. 	И пока этот выскочка ждет моего прибытия в Йорке, 
ҳара ҳамч наӡоит Еденбра аҟынӡа, егьи ҳамч аанхоит ашьҭахь. 	мои войска прибыли в Эдинбург за его спиной. 
Убри Уаласи бареи шәанеизынха шәхала, 	Ты говорила с этим Уоллесом наедине? 
адәаҟны, 	Скажи... 
дзакәтә уаҩузеи иара? 	Что он за человек? 
Хымҩа змам ақәылаҩ. 	Безумный варвар. 
Акралра илаӡам шәара шәеиԥш. шәхаҵкы. 	Не королевской стати, как вы, мой господин. 
Уажәшьҭа шәгыжьыр ҟалоит шәара шәнапҟаҵамҭахь. 	Можешь вернуться к своей вышивке. 
Ибзиоуп шәхаҵкы! 	Повинуюсь, мой господин. 
Ҳәарада шәара иаажәгеит уашьҭахьтәи аҟәрышьқәа. 	Деньги ты, конечно же, привезла обратно. 
Мап. Сара ирысҭеит ахәыҷқәа, аибашьра аан ааха зауз. 	Нет. Я отдала их, чтобы уменьшить страдания детей от этой войны. 
Абри ауп иҟало аԥҳәыс данаушьҭлак. 	Вот что случается, когда посылаешь женщину. 
Саҭамзааит шәхацкы, 	Простите меня, сир. 
Сара изӡбит агәыҳалалра аалырԥшоит, шәара шәаҳаракыра. 	Я сочла, что такая щедрость покажет ваше величие вашим подданным. 
Сара саҳаракыра, 	Мое величие 
иаанырԥшоит Уалас даныхынҳәлак иара ишатландиахь, 	они увидят ясно, когда Уоллес вернется в Шотландию 
ирбганы иахкажьу. 	и найдет свою страну в пожарищах. 
Уилиам, 	Уильям. 
иааигәахоит аҽыҩцәа. Уамашәа иубаша, 	Всадники едут. 
аҳкәажә длыцуп лгәылхазыршҭуа. 	Личный эскорт принцессы. 
Ааи. 	Да. 
Уара ириуҭеит анырра. 	Ты произвел впечатление. 
- Ааи. - Аха уара ақьалаҿы ирацәаны уҟаӡамызт. 	- Да. - Но ты же был в шатре не так долго. 
- Аҭыԥҳа - Саҳкәажә лыҟнынтә ажәанҵа. - Иҭабуп. 	Послание от моей госпожи. 
Ари иашоуп. Англыз ӷбақәа иааигәахоит мраҭашәарахьынтә. 	Это правда. Английские корабли приближаются с юга. 
Сара акгьы сыздыруам Уелзуаа рыӡбахәала, аха Аирландцәа уажәшьҭа иӡхыҵит. 	Я ничего не знаю о уеллийцах, но ирландцы уже высадились. 
Сыбла иамбакәа исызхамҵеит. 	Я не поверил, пока не увидел своими глазами. 
Изрыцхыраауазеи Аирландцәа, Англиаа? 	Какого черта ирландцы будут сражаться за англичан? 
Урҭ рзыҳәа агәрҩа шәҽашәмырган. Сара ишәасымҳәазеи, 	Я бы не беспокоился о них. Разве я не говорил? 
ари сара сыдгьыл бжьахоуп. 	Это же мой остров. 
Ҳеимиш. Уҽыжәла Еденбраҟа еидкыл абыргцәа рхеилак, ирццакны. 	Хэмиш, скачи в Эдинбург и собирай совет. Прикажи им. 
Ибзиоуп. Уҵҟьа. 	Ясно. 
- са истәуп уҳәама? - Сыдгьыл бжьахоуп, сыдгьыл бжьахоуп. 	- Твой остров? - Мой остров! 
- Иинараӡам. - Сшәыҳәоит шәара шәыххь згеит. 	- Нам нужно договориться. - Пожалуйста, джентльмены. 
Уара унашоуп. 	Господа, Крейг прав. 
Уажәазы ҳара иҳамоуп ҭагылазаашьак. Ҳара иаҳҭахӡам Еденбра зынӡа адунеи ианырхыр. 	Сейчас единственный выбор для нас - переговоры. 
Шәхацкы аԥсшьара амбеижьҭеи. Акрааҵуеит, 	Моя армия прошла маршем больше дней, чем я могу вспомнить, 
ҳаргьы аҵыхәтәанынӡа ҳазыҟаҵаӡам, иара убасгьы ишәасҳәоит иашаны. 	и нам все еще нужно подготовиться, так что я скажу коротко. 
Ҳара иаҳҭахуп ишәымоу ар зегьы, 	Нам нужен каждый солдат, которого вы можете призвать. 
насгьы шәыхьчаҩцәеи, иара шәара шәхаҭакәгьы. 	Ваша личная свита, даже вы сами. 
Ҳәарада ирццактәуп. 	И нужны немедленно. 
Арысҟатәи амчқәа змоу ҳара иаҳҽагыло, иԥшаатәуп егьырҭ ахыцәгарақәа? 	Но против нас целое войско. Может есть другие возможности? 
Ахықәгарақәа, 	Другие возможности? 
аханатә ар наҟ аиагара еҳа еиӷзар, аибашьра адәаҿы, 	Вы не хотите хотя бы вывести ваших людей на поле боя 
нас иашәҭаххар Едуард иҟнытә иреџӷьу. 	и договориться с Длинноногим перед тем, как поджать хвост 
- Аилаӡара нас ҳҽыцәахны ҳақәҵны ҳцаанӡа. - Аамсҭа Уилиам 	- и сбежать. - Сэр Уильям... 
- ҳара ҳзиааиӡом. - Ҳара иҳалшоит, 	- Мы не сможем поразить их. - Сможем. 
- аамсҭа Уилиам. - насгьы ҳаиаауеит. 	- Сэр Уильям. - И мы победим. 
Ихаан ҳара ҳамаиааизи? 	Мы победили у Стерлинга, а вы все еще колеблитесь. 
ҳара иаҳгахьан Иорк, аха шәара шәҳадгалаӡамызт 	Мы победили у Йорка, и вы не поддерживаете нас. 
шәҳашьҭаланы шәмаалар сара ишәыхьӡыстәоит ашәыргәндақәа. 	Если вы не станете с нами сейчас, я скажу, что вы трусы. 
Шәара шәШотландцәамзар, 	Если вы шотландцы, 
сара иԥхасшьоит. Шәара шәШотландцәоуп ҳәа шәзыҳәара. 	то мне стыдно, что я один из вас. 
Аамсҭа Уилиам! Ҳара ҳзеицәажәару уареи сареи ҳамацара? 	Пожалуйста, сэр Уильям, поговорим наедине. 
Сшәыҳәоит шәара. 	Умоляю. 
Уара утәқәа ирацәаны инарыгӡахьеит. 	Вы достигли большего, чем кто-либо мог мечтать, 
Аха уи агәмшәара иаҵанакӡом, аха уи иаанагаӡом агәеибафара. 	но сражаться с неравными силами - это безумие, а не отвага. 
Ари еиҳауп агәеибафара ацкыс, 	Это больше чем безумие. 
шәсыцхраа, 	Помоги мне. 
анцәа иҟнытә, 	Во имя Христа, помогите себе. 
уажә ари ҳара ҳзы имариоуп. 	Сейчас наш шанс. Сейчас. 
Ҳаидгылар ҳара ҳаиааиуеит, 	Если мы объединимся, мы победим. 
ҳаиааир иҳауоит ахаан иаҳмоуцыз 	Если победим, то обретем то, о чем никто из нас и не мечтал. 
ҳхатәы тәыла, 	Собственную страну. 
шәара зинла шәаԥхьагылаҩцәоуп, шәара ишәымоуп амчра сара уи збоит. 	И ты законный вождь, в тебе есть сила, я вижу это. 
Ҳаидышәкыл ҳара, 	Объедини нас. 
еидышәкыл аклан. 	Объедини нас. Объедини кланы. 
Ааи. 	- Хорошо. - Так. 
Ари ҟазышьа амаӡам. 	Это не выход. 
Уара ухала иумҳәеи, аҭауадцәа Уалас идгылом ҳәа, 	Ты же сам сказал, что знать не поддержит Уоллеса. 
ҵакыс иамоузеи иаҵахаз иганахь аиасра? 	Чем нам поможет то, что мы встанем на сторону, которая будет разбита?
Сара иара исҭеит ажәа. 	Я пообещал ему. 
Издыруеит ари цәгьоуп, аҟазаара ахадараҟны, 	Я знаю это нелегко быть вождем. 
сыҷқәын, 	Сын мой. 
сԥа. 	Сын. 
уааҳәы, 	Посмотри на меня. 
сара сзыҟалом кралс, 	Я не могу быть королем. 
уара, уоуп изылшуа Шотландиа анапхгара. 	Лишь ты можешь править Шотландией. 
Уара иҟауҵароуп сара ишысҳәо, 	Но делай то, что я тебе скажу. 
сара сакәӡам. Уаргьы уакәӡам, 	Не ради меня, не ради себя, 
уара утәыла азоуп. 	а ради своей страны. 
Фалкирк. 	Фолкирк 
Ачқәынцәа амҩа ҳашәҭ, 	Дорогу, ребята, дорогу. 
амҩа ҳашәҭ. Иҟалозар ҳаушәышьҭ, амҩа... 	Дорогу. 
- Брус дыҟаӡам, рыцҳароуп. - Иара дҟалоит. 	- Брюс не придет, Уильям. - Придет. 
Морнеи Локландеи иааит. 	Морней и Лохлен пришли. 
Брусгьы дҟалоит. 	Значит и Брюс придет. 
Изакузи ари ахлымӡаах? 	Милое сборище. 
Шәара шәазыразума? 	Согласен? 
- Хыци хәымпалы аршәыҩцәа мазеуп. - Уажәазы иаҭахӡам. 	- Лучники готовы, сир. - Не лучники. 
Аԥшыхыҩцәа ирҳәоит 	Мои разведчики сообщают, 
ахыци хәымпалы аршәыҩцәа ихароуп ацәшәара ҟамлар ҟалоит. 	что их лучники за много миль отсюда и не представляют угрозы. 
Урҭ рхыцқәа аҟәрышь иаԥсоуп. Ишәшьҭы Аерландцәа, аԥсцәа акы иаԥсам. 	Стрелы стоят денег. Используйте ирландцев. Мертвецы ничего не стоят. 
Нас ишәәшьҭы ашьаҟауааи, аҽыуаҩцәеи, акавалериа. 	И посылайте пехоту и кавалерию. 
Ашьаҟауаа, ашьаҟауаа, 	Пехота. 
аҽыуаҩцәа, аҽыуаҩцәа, 	Кавалерия. 
аҽыуаҩцәа ԥхьаҟа, ԥхьаҟа, 	Наступаем. 
сара издыруан, сара издыруан шәара шәшаауаз. 	Рад видеть тебя, дружище. 
Аирландцәа! 	Ирландцы. 
Сгәырӷьоит шәара шәахҳацу. Шәааԥши. 	Рад, что вы с нами. Смотри. 
Морне, Локланд 	Морней? Лохлен? 
Морне исҭеит иара убри аҟара, 	Я дал Морнею вдвое больше земель в Шотландии 
адгьылқәа Англиа. 	и такие же поместья в Англии. 
Локланд даԥсан ирацәаны. 	Лохлен предал за меньшую цену. 
Ахыци ахәымпалы ала ахысыҩцәа! 	Лучники. 
Саҭамзааит шәхацкы иаргәаҟоит ҳара ҳашьаҟауаа. 	Прошу прощения, сир. Мы же не будем стрелять по своим войскам. 
Ааи. 	Будем. 
Аха игәаҟоит ҳаӷацәа. Ҳара иҳамоуп хатәгәаԥхаратәи аруаа, 	Но мы будем стрелять и по их войскам тоже. У нас есть резервы. 
ԥхьаҟа! 	Атакуем. 
Ахыци хәымпала ахысыҩцәа, Ахыци хәымпала ахысыҩцәа, Ахыци хәымпала ахысыҩцәа … 	Лучники. 
иаамҭоуп ацхыраарахь ашьҭра. 	Посылайте подкрепление. 
Зегьы ԥхьаҟа! 	Посылайте остальных. 
Даажәг Уалас, иԥсы ҭаны. 	Приведите мне Уоллеса. Живым, если возможно, 
Мап, усгьы иҟалоит. 	но мертвый тоже сгодится. 
Шәшаалгалак еиԥш иаашәыцҳа. Шәааи ҳақәҵп. 	И пошлите новости о нашей победе. Мы удаляемся. 
Дышәыхьча акрал. 	Охраняйте короля. 
Угыл .. 	Вставай. 
угыл .. угыл .. 	Вставай. 
- дықәга арантә. - Анцәа ду. 	Забери его отсюда. 
Уца … Уажәыҵәҟьа. 	Вперед. 
Сара сыԥсоит. 	Я умираю. 
Сааныжь схала. 	Оставь меня. 
Мап. 	Нет. 
Уара уԥсы ҭазаауеит. 	Ты будешь жить. 
Сара акыр ҵуеит сыԥсы ҭоижьҭеи, схы сақәиҭын, 	Я прожил достаточно, чтобы жить свободно. 
сара сгәы иаахоит 	Я горд, 
уара узлаҟоу ала. 	что увидел кем ты стал. 
Сара разҟы змоу уаҩуп. 	Я счастлив. 
Абаара саҽуп сыԥсы зҭоу, аха уара ухауҽы еиқәшьшьуп сара стәаҵкыс. 	Я почти разлагаюсь, 
Сыҷкәын. 	Сынок. 
Абра анапхгара аҭаразы ҳара иҳамазароуп Англиеи ҳареи аимадара. 	Мы должны заключить союз с англичанами, чтобы править здесь. 
Уара убри наугӡеит, 	Ты достиг этого. 
уара иухьчеит уҭаҳцәа, еихауҳаит адгьылқәа. 	Ты спас свою семью и расширил свои земли. 
Уара иоуеит амчра Шотландиа, 	Со временем ты соберешь всю власть в Шотландии. 
амчра, 	Земли. 
атитулқәа, ауаа, 	Титулы. Людей. 
адгьылқәа, акгьы. 	Власть. Ничего. 
- Акгьы? - Акгьы ыҟаӡам. 	- Ничего? - У меня нет ничего. 
Сара сзыҳәа еибашьуеит, сыдгьыл иқәсымцарц 	Люди сражаются за меня потому что иначе я прогоню их со своей земли, 
амла иакны имԥсырц. 	и я заморю голодом их жен и детей. 
Дара зегьы 	Эти люди, 
ашьа казҭәаз Фалқак аҟны, 	которые залили землю кровью в Фолкерке. 
иқәԥон Уалас изыҳәа, 	Они сражались за Уильяма Уоллеса, 
иара дықәԥон ахаан сара исымамыз азы. 	а он сражается за то, чего у меня никогда не было 
Сара имсхит убри, 	И я отнял это у него, когда предал его. 
ибла ихызбаауан убри зегьы. 	Я прочел это у него на лице на поле боя. 
Ари хлымӡаахроуп. 	И это терзает мою душу. 
Ауаа зегьы ԥсадгьыл ҭицәоуп. Аҽар зегьы ус оуп ишыҟоу. 	Все предают. Все теряют сердце. 
Агәра згар сҭахуп. 	Я не хочу терять сердце. 
Исҭахуп агәра згар баша 	Я хочу верить, 
иара еиԥш. 	как он. 
уажәшьҭа издыруеит сыздгылуа аган 	Я никогда больше не встану на неверную сторону. 
Мап. 	Нет. 
аамсҭа Крек, ари иашоума Иорк иахьыз? 	Лорд Крейг, это правда про Монрея? 
Ааи, Уалас дишьиҭ ашьҭаларҭа ауаҭах аҟны. 	Да. Уоллес ворвался в его спальню и убил его. 
Уажәшьҭа иара иоуеит ирацәаны алас-ҩасра. 	Он теперь больше помеха, чем когда-либо. 
Дазусҭахода ишьҭанеиуа? 	И не известно кто станет следующим. 
Иҟалап шәара? 	Может ты. 
Иҟалап сара. 	Может и я. 
Уи хадарам. 	Это не важно. 
- Хәмаррада Роберт. - Саргьы. 	- Я серьезно, Роберт. - Я тоже. 
Аҩсҭаа. 	Господи. Черт. 
Абааш еимыжәда. 	Обыскать все. 
Локлан. 	Лохлен. 
Уилиам Уалас иишьит 50-ҩык. 	Уильям Уоллес убил 50 человек. 
50-ҩык зныкала . 	Один целых 50. 
100-ҩык. Иаҳәала дара дрылсны дцеит. 	100 человек. Своим мечом. Он прошел через них, 
Моисеи иеԥш амшын ҟаԥшь ала. 	как Моисей через Красное море. 
Иара иизкны ирыҩоит алегендақәа 	Легенды про него ширятся. 
Аҭагылазаашьа еицәоуп уажә 	Будет хуже, чем раньше. 
аасҭа Еидикалоит хатәгәаԥхаралатәи ар Шотландиа ақалақьқәа зегь рыҟнынтә. 	Он собирает новых добровольцев в каждом шотландском городе. 
Нас иара ианеизигалак. 	Когда он соберет свое войско... 
Дара уасақоуп, баша иахьынӡахҭоу уасақоуп. 	Они бараны. Просто бараны. 
Дара еиԥхьттоит ахьча дрымамзар. 	Их легко рассеять, если мы уберем пастуха. 
Ибзиоуп. 	Очень хорошо. 
Уара иалуԥшар иреиӷьу ашьцәа, нас имҩаԥыугап аиԥылара. 	Собери своих лучших убийц и назначь встречу. 
Шәхаҵкы! Уалас ацәҟьа аҟны 	Мой господин, про Уоллеса говорят, 
даара ихы бзианы ибоит. 	что он нюхом чует любую западню. 
Ус анокәха исеиҳәаз аамсҭа Ҳамылҭен аиаша, 	Если то, что лорд Гамильтон сказал неверно, 
нас ҳагәра игоит ԥхьаҟатәи ҳакрал. 	ему по душе наша будущая королева, и он поверит ей. 
Ҳара ддәықәҳцап ажәабжьқәа лыҭаны лара дшаауа аҭынчразы. 	Так что мы отправим ее к нему и скажем, что она пришла с миром. 
Шәхаҵкы, аҳкәажә дбаандаҩртәыр ҟалоит. 	Но принцессу могут взять в заложники, 
Лыԥсҭазаара ашәарҭа иҭагылоуп. 	или ее жизнь может быть подвергнута опасности. 
Аха сыҷкәын ҵҩа амамкәа дылзыгәырҩоит. 	Мой сын пострадает от этого, 
Аха лара дыршьыр 	но по правде, если она будет убита, то окажется, 
Франциа крылс дҟалоит 	что будущий король Франции 
ҳара даҳҩызаны, Шоҭландиа аҿаԥхьа. 	станет полезным союзником против шотландцев. 
Иубо, 	Видите, 
акрал дацәцоит иарбанзаалак аҭагылазаашьа. 	королю приходится искать выгоду в любой ситуации. 
Ари Уилиам Уалас, 	Это Уильям Уоллес, точно. 
илабашьа адгьыл иҵаирст. 	И он оставил свой меч. 
Шәыҽшәырхҩа. Аҳкәажә. 	Моя госпожа. 
Сара исауит шәысалам шәҟәы. 	Я получил ваше сообщение. 
Шәара ҩынтә сгәы сҽанышәҵахьеит ашәарҭара сара сзы, 	Второй раз вы предупреждаете меня об опасности. 
иауеи? 	Почему? 
