Сара сҭоурых.	Моя история.
1634 шықәсазы аҭырқәа десант Кәыдры ашыцәа азааигәара иӡхыҵын, ари аҭыԥ дырҳәит, ирыблит, аҭыԥантәи афеодалцәа ашәахтәқәа рықәырҵеит.	В 1634 году турецкий десант высадился в районе Кодорского мыса, турки опустошили и разграбили прилегающую территорию, обложили феодалов данью.
1724 шықәсазы аҭырқәцәа Севастополис аҿықәан абаа дыргылеит, иагьахьӡырҵеит Сухум-кале.	В 1724 году турки выстроили на побережье Севастополиса крепость и назвали ее Сухум-кале.
Иара ақалақь ахаҭагьы ус ахьыӡхеит.	Так же стал называться и город.
Аԥсни Османтәи аимпериеи политикалеи економикалеи реимадара иахҟьаны Аԥсны аԥсылманра алаҵәо иалагеит.	Полити- ческие и экономические контакты с Османской империей привели к тому, что на территории Абхазии стал распространяться ислам.
XVIII-тәи ашәышықәса анҵәамҭа инаркны, Қьалышьбеи Чачба аҳра аниуаз Аԥсуа аҳра ҩаԥхьа аҽарӷәӷәо иалагеит, уи афлот ала Анапеи Баҭыми рыбжьара Амшын Еиқәа аҿықә иахылаԥшуан.	С конца XVIII века при владетелеи Келешбее Чачба - Шервашидзе - Абхазское княжество вновь усилилось и с помощью флота контролировало Черноморское побережье от Анапы до Батума.
Амҳаџьырреи аԥсуаа «ахара» рыдҵареи.	Махаджирство и объявление абхазов «виновным» населением.
1866 шықәсазы Лыхны ақыҭан иҵысыз ақәгылара Аҟәанӡа инаӡеит.	В 1866 году в с. Лыхны вспыхнуло восстание, распространившееся до Сухума.
Жәлар ргәынамӡара ихадоу мзызс иаиуит Урыстәыла анхацәа рреформа атәратә реформа анагӡаразы излагаз аҽазырхиарақәа.	Основной причиной возмущения явилась подготовка к проведению крестьянской реформы.
Урыстәылеи, Қырҭтәылеи, Гыртәылеи рыҟнеиԥш Аԥсны аҩныҵҟа атәратә еизыҟазаашьақәа ыҟамызт, Урыстәылатәи ачиновникцәа ари гәаармыгӡаӡеит.	Российские чиновники не учли местные особенности страны, внутренняя жизнь которой, в отличие от России, Грузии и Мегрелии, была лишена крепостнических отношений.
Аԥсуа жәлар рықәгылара аныршьаҽ ашьҭахь, арепресиақәа ирылагеит аԥсуаа зегьы рабџьар рымырхит, рҟамақәагьы нарыдкыланы.	Вслед за разгромом восстания на Абхазию обрушилась волна репрессий, произошло поголовное разоружение народа, вплоть до кинжалов.
Ақәгыларақәа ирылахәыз ауаа Аҩадеи Сибраҟеи ахьҭа бааԥс ахьыҟаз аҭыԥқәа рахь идәықәырҵеит.	Участников восстаний царские власти выселяли в крайне неблагоприятные климатические районы Севера и Сибири.
Ақәгыларақәа ирылахәыз ауаа Аҩадеи Сибраҟеи ахьҭа бааԥс ахьыҟаз аҭыԥқәа рахь иахыргеит.	Участников восстаний царские власти выселяли в крайне неблагоприятные климатические районы Севера и Сибири.
1867 шықәса мшаԥымзеи лаҵарамзеи рыбжьара Ҭырқәтәылаҟа ихҵәаны ицар акәхеит 20 нызықьҩык раҟара аԥсуаа.	В апреле–июне 1867 года махаджирами – вынужденными переселенцами в Турцию – стали около 20 тысяч человек.
1877–1878 шықәсазтәи Аурыс-аҭырқәа еибашьраан аԥсуаа аҭырқәцәа иахьрыдгылаз азы аполитикатә репрессиақәа еиҭахацдыркит.	Выступление абхазов на стороне турок, связанное с событиями русско-турецкой войны 1877-1878 годов, повлекло политические репрессии.
Аԥсуа жәлар ахара рыдҵаны, Урыстәыла хара иҟаз агәуберниақәа рахь иахыргон.	За участие в этом восстании абхазы были объявлены «виновным» населением, их отправляли на каторгу и ссылку в отдаленные российские губернии.
1877 шықәсазы ауааԥсыра мчыла Ҭырқәтәылаҟа ианахыргоз, амҳаџьырра еиҳа амҽхак ҭбааны имҩаԥысит: рыԥсадгьыл аанрыжьыр акәхеит еиҭа 50 нызқьҩык аԥсуаа.	В 1877 году махаджирство, массовое переселение абхазского населения в Турцию достигло пика: Абхазию покинули еще 50 тысяч абхазов.
Шамахамзар, атәыла ҭацәит.	Страна практически опустела.
Аха хара имгакәа, арахь иааганы индырхо иалагеит егьырҭ амилаҭқәа рхаҭарнакцәа, еиҳаракгьы ақырҭцәа - агырцәа - иара убас аурысцәа, аеллинцәа, аерманцәа, аболгарцәа, аестонцәа, анемеццәа.	Но вскоре Абхазия стала заселяться другими народами, прежде всего грузинами - мегрелами - также русскими, греками, армянами, болгарами, эстонцами, немцами.
1866 шықәсазы Аԥсны ауааԥсыра зегьы рҟынтә аԥсуаа 85,7 ыҟазҭгьы, 1897 шықәсазы 55,3 роуп иаанхаз.	 Так, если в 1886 году абхазы составляли 85,7 населения Абхазии, то в 1897 году их было уже 55,3.
Аԥсны Аџьынџьтәылатә еибашьра.	Отечественная война Абхазии.
Нанҳәамза 14, 1992 шықәсазы Қырҭтәыла Аԥсны иақәлеит.	14 августа 1992 года Грузия развязала войну против Абхазии.
Қырҭтәыла ар – авиациа, акәылӡтәы техника, артиллериа уҳәа рыцырхырааны Аԥсны иалалеит, ахәҭакгьы ааныркылеит.	Грузинские войска при поддержке авиации, бронетехники, артиллерии вторглись в Абхазию и оккупировали часть ее территории.
Аԥсны иқәынхоз ажәларқәа рнырҵәара адагьы, ара имҩаԥысуан акультуратә геноцид аполитикагьы.	Помимо физического истребления народов, населяющих Абхазию, проводилась и политика культурного геноцида.
Иблын аԥсуа жәлар рҭоурыхтә, ркультуратә баҟақәа, иӡит хра змаз аҭоурыхтә документқәа, алингвистикатә материалқәа, зыда ыҟам ашәҟәқәа, анапылаҩырақәа.	Уничтожались памятники истории и культуры абхазского народа, погибли ценнейшие исторические документы, лингвистические материалы, редчайшие книги и рукописи.
Цәыббрамза 30, 1993 шықәсазы Аԥсны ахи-аҵыхәеи ахы иақәиҭтәын.	30 сентября 1993 года вся территория Абхазии была освобождена.
нызқьҩык рҟынӡа аҵеицәа Аԥсны ахақәиҭреи ахьыԥшымреи рхы ақәырҵеит.	Около трех тысяч человек отдали свои жизни за свободу и независимость Абхазии.
Аԥсуаа ирывагыланы иеибашьуан Нхыҵ Кавказынтәи аиашьаратә жәларқәа, аурысцәа, аерманқәа, егьырҭ амилаҭқәа рхаҭарнакцәа.	Бок о бок с абхазами воевали братские народы с Северного Кавказа, русские, армяне, представители других народов.
Аԥсны ақьырсианра.	Христианство в Абхазии.
Аԥсны изааӡаны ақьырсианра аларҵәара иахьалагаз атәылақәа ирылаԥхьаӡоуп.	Абхазия входит в ряд стран самого раннего распространения христианства.
Қь. И. инаркны I ашәышықәсазы Қьырса иҵаҩцәа – ацқьацәа Андреи Аԥхьанаԥхьеи, Симон Канатәи, 70-ҩык рыҟнытә ацҳаражәҳәаҩ Матфии ақьырсианра аларҵәаразы Аԥсныҟа иааит.	В I в. по Р.Х. ученики Христовы святые Андрей Первозванный, Симон Кананит и апостол от 70-ти Матфий прибыли в Абхазию проповедовать Евангелие.
Ҩ-нызқь шықәса рыҩныҵҟала иҟан ақьырсианра ашьҭыҵрагьы акаҳарагьы, ақьырсианра иадгылаз аадырбуамызт амчра Римаа рнапаҿы ианыҟаз еиԥш, Ҭырқәтәыла аҳра анауаз, иара убас асоветтә аамҭазгьы.	На протяжении двух тысяч лет христианство претерпевало взлеты и падения, а его сторонники подвергались гонениям во времена римской власти, турецкого владычества и в советский период.
Аха убас ишыҟазгьы, ақьырсианреиԥш ара даҽа динк аднакылартә иҟамлеит.	Однако никакая другая религия здесь не прижилась так прочно, как христианство.
Раԥхьатәи ақьырсиантә уаажәларра шьақәгылеит IV ашәышықәсазы Питиунт ақ. – иахьатәи Пицунда.	Первая церковная община возникла в IV веке в Питиунте – в современной Пицунде.
Ара зегь раасҭа ижәытәӡатәу ақьырсиантә ныхабаақәа гылоуп.	Здесь сейчас расположены самые древние христианские церкви.
Аԥсны иахьагьы иеиқәханы иҟоуп иуадаҩыз аамҭақәа раангьы анцәамаҵзура ахьымҩаԥысуаз аныхақәа.	В Абхазии сохранились храмы, в которых и в смутные времена не прекращалось богослужение.
Убас, Елыртәи аныхаҿы анцәамаҵзура мҩаԥысуан асовет аамҭазгьы.	Так, в Илорском храме проходили службы даже в советские годы.
Ари аныха иахьагьы еиҳа изҭаауа аныхақәа ируакуп.	И ныне он – один из самых посещаемых действующих храмов.
Лыхны ақыҭан иҟоуп Анцәадзыхшаз Лылацәеиқәыԥсара ахьӡала иргылоу аныхабаа.	В селе Лыхны находится храм Успения Богородицы.
Иара Кавказ Амшынеиқәа аҿықә аҟны аԥхьатәи аԥшра зманы иеиқәхаз, акыц хыб змоу ныхабаауп.	Это единственный на Черноморском побережье Кавказа храм, который сохранился в своем первоначальном виде, с кровлей из черепицы.
XIX ашә. Афон Ҿыц иргылан Аԥсны анҭыҵгьы иеицырдыруа иҟалаз амонастыртә комплекс.	В XIX веке в Новом Афоне был построен целый монастырский комплекс, ставший известным далеко за пределами Абхазии.
Зынӡа Аԥсны 160 ныхабаа ргылоуп, иахьа ақьырсиануаа зҭаауа 16 ныха рашәқәа аартуп.	Всего в Абхазии было построено 160 храмов, на сегодняшний день прихожанам открыты двери 16 церквей.
Аԥсны заатәи ақьырсианра.	Ранее христианство.
Аныхатә шәҟәҩыра излаҳәо ала, ҳера ҟалаанӡа 55-тәи ашықәсазы ақьырсианра аларҵәаразы Аԥсныҟа иааит Иаса Қьырса иҵаҩцәа – апостолцәа Симон Канатәии Андреи Аԥхьанаԥхьеи.	Согласно церковному преданию, в 55 году н.э. в Абхазию пришли проповедовать христианство ученики Иисуса Христа – апостолы Симон Кананит и Андрей Первозванный.
Симон Канатәи Ԥсырӡха аӡиас ахықәан ааӡаб ихганы аԥсра идикылеит, иара уа анышә дагьамадоуп.	Симон Кананит принял мученическую смерть на берегу реки Псырдзха и был здесь погребен.
Ашьҭахь уи аҭыԥ аҟны аныхабаа ргылоуп.	Позднее там в его честь воздвижена церковь.
Аԥсны ақьырсианра динк аҳасабала иалало иалагеит иара убас ақалақьқәа Питиунт, Себастополис, Зиганис - Очамчыра араион иахыргаз аурым солдатцәа ирыцны.	Христианство проникало в Абхазию вместе с римскими солдатами, которых квартировали в Питиунте - Пицунда, Себастополисе - и в Зиганисе - ныне село Гудава Очамчырского района.
Урҭ ирылан ҳқьырсианцәоуп зхы зыԥхьаӡозгьы.	Часть из них считала себя христианами.
IV-тәи ашәышықәса алагамҭазы Питиунт ишьақәгылеит Кавказ зегь реиҳа ижәытәтәиу ақьырсиантә еилазаара.	К началу IV вв. в Питиунте образовалась самая древняя христианская община на Кавказе.
325 шықәсазы Питиунттәи аепископ Стратофил Никеиа имҩаԥысуаз 1-тәи Адунеизегьтәи аизара ду далахәын.	325 году епископ питиунтский Стратофил участвовал на 1-м Вселенском соборе в Никее.
Уи ихьӡ арбоуп ари Аизара ду аҟнытә иеиқәхаз асиақәа зегьы рҿы.	Его имя упоминается во всех сохранившихся списках этого Собора.
IV ашә. инаркны – VII ашә - нӡа. Пицунда аныхабаақәа быжьба ргылан – изааӡоу Аԥсны ақьырсиан ныхақәа.	С IV по VII века в Пицунде были построены семь храмов – это самые ранние христианские церкви Абхазии.
V ашә. Себастополис - иахь. Аҟәа - даҽа қьырсианктә еилазаарак аԥҵан, аепископ Керкони дахагылан, уи IV Адунеизегьтәи Аизара ду далахәын.	В V веке в Себастополисе - ныне г. Сухум - была образована еще одна христианская община во главе с епископом Керконием, который принял участие в работе IV Вселенского Собора.
Византиатәи аимператор Иустиниан ихьыԥшым Абазгиатәи аепархиа аԥҵара далахәын, уи акафедра Себастополисе - иахь. Аҟәа - иҟан.	При участии византийского императора Юстиниана была создана автокефальная Абазгская епархия с кафедрой в г. Себастополисе - ныне г. Сухум.
VI–VII ашә. рзы Абазгиатәи аепархиа иаҵанакуан аепископтә кафедрақәа: Цандрыԥшьтәи, Пицундатәи, Анаҟәаԥиатәи, Себастополтәи, Ҵабалтәи, Гиуеностәи - Очамчыратәи.	В VI-VII веках в ведении Абазгской епархии были следующие епископские кафедры: Цандрыпшская, Пицундская, Анакопийская, Себастопольская, Цебельдинская и Гюэносская - Очамчырская.
Архиепископ Абазгиатәи дышиашоу Архиепископ Константинополтәи диҵанакуан.	Архиепископ Абазгский напрямую подчинялся Архи- епископу Константинопольскому.
VIII-X ашә. Аԥсны ақьырсианра ашьҭыҵра иаамҭоуп.	VIII-X века – время расцвета христианства в Абхазии.
Иреиӷьу аныхатә ргыларақәа зегьы ари аамҭа иаҵанакуеит.	Все лучшие произведения храмового зодчества относятся к этому периоду.
Аныхақәа рыҟны анцәамаҵзура ҩ-бызшәак – аеллин бызшәеи аԥсуа бызшәеи рыла имҩаԥысуан.	Служба в храмах велась на двух языках – греческом и абхазском.
Ацқьа Пантелеимон Иныхабаа.	Собор Святого Пантелеимона.
Афонҿыцтәи аԥшьаҭыԥи амонастыртә комплекси рыҩныҵҟа зегь раасҭа иҳараку ргылароуп Ацқьа ааӡабхгаҩ, ахәышәтәҩы Пантелеимон иныхабаа.	Самым величественным строением Новоафонской обители и самым большим храмом всего монастырского комплекса является собор Святого великомученика и целителя Пантелеимона.
Иара 1888–1900 шықәсқәа рзы Н. Н. Никонов ипроект инақәыршәаны амонастыр ахылаԥшҩы аԥшьаҩы Иерон ицхыраарала иргылан.	Он был воздвигнут в 1888-1900 годах по проекту Н. Н. Никонова при участии настоятеля монастыря игумена Иерона.
Ахаҳәтә усура зегьы Трабзонынтә Аҟәаҟа нхара иааз Христофор Пуло напхгара зиҭоз аеллин ҟазацәа инарыгӡеит.	Всю каменную работу выполнили умельцы-греки во главе с Христофором Пуло, переселившиеся в Сухум из Трабзона.
Никонов Афонҿыцтәи амонастыр апроект анышьақәиргылоз уи акомпозициаҿы XIX ашә. анҵәамҭеи XX ашә. алагамҭеи рхаантәи Урыстәылатәи аимпериа аныхатә архитектураҟны хархәара змаз византиаҿыцтәи астиль аформақәа ихы иархәеит.	Проектируя Новоафонский монастырь, Никонов использовал в его композиции формы неовизантийского стиля, применявшиеся в церковном зодчестве Российской империи конца XIX – начала XX века.
Аныхабаа ашьапы акразы раԥхьатәи ахаҳә ашьҭаҵара ныҳәаҵас имҩаԥысит цәыббра 24, 1888 шықәсазы аимператор Алеқсандр III далархәны.	Торжественная закладка первого камня в фундамент собора состоялась 24 сентября 1888 года при непосредственном участии императора Александра III.
Аныхабаа аргылара мҩаԥысуан 12 шықәса, иагьыԥшьан цәыббра 29, 1900 шықәсазы.	Храм возводился двенадцать лет и был освящен 29 сентября 1900 года.
Ара имҩаԥысуаз анцәамаҵзура зныкала иалахәзар рылшон ақьырсиан уаа х-нызқьҩык инареиҳаны.	На службе одновременно могли присутствовать более трех тысяч человек.
Аԥсны Аҳәынҭқарра иахьа.	Республика Абхазия сегодня.
Абҵара 26 1994 шықәсазы Аԥсны Апарламент иаднакылеит Аконституциа ҿыц.	26 ноября 1994 г. парламент республики принял новую Конституцию Абхазии.
Раԥхьатәи Аҳәынҭқарра Ахадас далхын Аԥсны жәлар рԥыза Владислав Григори-иԥа Арӡынба.	Первым президентом страны был избран Владислав Григорьевич Ардзинба.
1994 шықәса ԥхынҷкәын мза инаркны 1999 шықәса цәыббрамзанӡа Аԥсны жәлар аекономикатәи, аполитикатәи, аинформациатәи блокадақәа ирҭакын.	С декабря 1994 года по сентябрь 1999 года Абхазия и ее народ подвергались политической, экономической и информационной блокаде.
Аха аибашьра ашьҭахь иага уадаҩра ҟалазаргьы, атәылаҿы акультура, аекономика, аҵарадырра, акурорттә сфера уҳәа хәыҷы-хәыҷла аиҭаҿиара иалагеит.	Однако, несмотря на все сложности послевоенного времени, в стране стали возрождаться экономика, культура, наука, образование, курортная сфера.
1999 шықәса цәыббрамзазы Аԥсны жәлар зегьы азеиԥшжәлартә референдум аҟны атәыла ахақәиҭреи ахьыԥшымреи рзы рыбжьы рҭиит, уи инақәыршәаны аҳәынҭқарратә акт рыдыркылеит.	В октябре 1999г. многонациональное население Абхазии на общенародном референдуме проголосовало за независимость страны, приняв соответствующий государственный акт.
Нанҳәамза 26, 2008 шықәсазы Урыстәыла Ахада Дмитри Медведев Аԥсны ахьыԥшымра азхаҵаразы Аусԥҟа инапы аҵаиҩит.	26 августа 2008 года президент России Дмитрий Медведев подписал Указ о признании независимости Абхазии.
2008 шықәсазы Аԥсны ахьыԥшымра азхарҵеит иара убас Никарагәуеи Венесуелеи, 2009 шықәсазы – Науру, 2011 шықәсазы – адгьылбжьахатә ҳәынҭқаррақәа Вануату, Тувалу.	В 2008 году Абхазию признали также Никарагуа и Венесуэла, в 2009-ом – Науру, а в 2011 году – островные государства Вануату и Тувалу.
Ажәлар рхы иақәиҭны ахатәҳәаақәҵаразы ирымоу азин инақәыршәаны, ҭоурыхла ишьақәгылаз ихьыԥшым, идемократиатәу, изинтәу ҳәынҭқарроуп.	Республика Абхазия суверенное, демократическое, правовое государство, исторически утвердившееся по праву народа на свободное самоопределение.
Аԥсны аофициалтә хьӡы – Аԥсны ауп.	Официальное название республика Абхазия - Апсны.
Аԥсны аҳҭнықалақь Аҟәа ауп.	Столицей Апсны является Сухум.
Аԥсны аҵакырадгьыл 7 административтә раионк рыла еихшоуп: Гагратәи, Гәдоуҭатәи, Аҟәатәи, Гәылрыԥшьтәи, Очамчыратәи, Тҟәарчалтәи, Галтәи.	Территория Абхазии разделена на 7 административных районов: Гагрский, Гудаутский, Сухумский, Гулрыпшский, Очамчырский, Ткуарчалский, Галский.
Аԥсны Аҳәынҭқарра ҳәынҭқарратә бызшәас иҟоуп аԥсуа бызшәа, аурыс бызшәа аԥсшәа инаваргыланы амилаҭқәа реилибакаара бызшәас иҟоуп.	Государственный язык – абхазский, русский язык наряду с абхазским признается языком межнационального общения.
Аԥсны иқәынхо аԥсуаа реиҳараҩӡак ақьырсиан динхаҵара ныҟәыргоит, иҟоуп иара убас аԥсылманреи акатолицизми ныҟәызгақәо атәылауааи атрадициатә қьабзқәа ирықәныҟәо аԥсуааи.	Преобладающее большинство верующих абхазов – христиане, часть населения исповедует традиционную религию, ислам и католицизм.
Ара иқәынхоит 242 286-ҩык ауааԥсыра.	Здесь проживает 242,0 тыс. человек.
Аԥсны ахархәара амоуп аурыс мааҭ.	Денежной единицей Республики Абхазия является рубль.
Аԥсны ахи-аҵыхәеи, иааидкыланы азеиԥш ҵакыра – 8665 ԥшьыркца км ыҟоуп.	Общая площадь территории Абхазии – 8665 кв. км.
Мраҭашәарантә мрагыларанӡа –170 км, аладантә аҩаданӡа – 65 км.	Протяженность территории с запада на восток – более 170 км; с юга на север – 65 км.
Аҳәаақәа роура зынӡа – 600 км рҟынӡа инаӡоит.	Общая длина границ около 600 км.
Урҭ рыҟнытә 390 км – дгьылтә ҳәаауп, 210 км – мшынтә ҳәаауп.	Из них 390 км – сухопутные и 210 км – морские границы.
Ара иҟоу ашьхақәа зегьы иреиҳауп Домбаи Ульген 4049 м.	Наивысшая горная вершина здесь: Домбай-Ульген 4049 м.
Аԥсны аҵакырадгьыл ҳәаақәас иамоуп: ҩадантә – Кавказтәи Ашьхеибаркыра хада, ладантә – Амшын Еиқәа.	Территория Абхазии, ограничена с севера склонами Главного Кавказского хребта, с юга – побережьем Черного моря.
Мраҭашәарахьала, Аԥсны аӡиас Ҧсоу ала Урыстәылатәи Афедерациа иадуп, мрагыларахьала, аӡиас Егры ала Қырҭтәыла иадуп.	На западе, по реке Псоу, Абхазия граничит с Российской Федерацией, на востоке, по реке Ингур – с Грузией.
Аԥсны Аҳәынҭқарра Ахада.	Президент Республики Абхазия.
Аҳәынҭқарра Ахадас далхзар илшоит Аԥсны Аҳәынҭқарра атәылауаҩ, милаҭла иаԥсыуоу, ахы иақәиҭны аҳәынҭқарратә бызшәа зҳәо, 35 шықәса иреиҵам, 65 шықәса иреиҳам, алхратә зин змоу, 5 шықәса иааиԥмырҟьаӡакәа Аԥсны аҳәынҭқарраҿы инхо, алхрақәа раԥхьа мышкы налаҵаны..	Президентом Республики Абхазия может быть избран гражданин Республики Абхазия абхазской национальности, свободно владеющий государственным языком, не моложе 35 и не старше 65 лет, обладающий избирательным правом, постоянно проживающий на территории Республики Абхазия не менее 5 последних перед днем выборов лет.
Аҳәынҭқарра Ахада Аԥсны атәылауаа далырхуеит 5 шықәса ҿҳәарас иҭаны.	Главу Государства избирают граждане Абхазии сроком на 5 лет.
Хаҿык аҳәынҭқарра Ахадас дыҟазар алшоит ҩ-ҿҳәарак иреиҳамкәа.	Одно и то же лицо может быть Президентом не более двух сроков подряд.
Ахада Аҳәынҭқарра хыс дамоуп, Аконституциа хәдықәҵара азиуеит.	Президент является главой государства, гарантом Конституции.
Аԥсны Аҳәынҭқарра Анагӡаратә мчра Аҳәынҭқарра Ахада инапаҵаҟа иҟоуп.	Исполнительная власть Республики Абхазия находится в подчинений Главы Государства.
Аԥсны Аҳәынҭқарра Ахада Аԥсны Аҳәынҭқарра Арбџьармчқәа напхгара рзиуеит.	Главнокомандующим Вооруженных Сил Республики Абхазия является Президент.
Аԥсны Ахада дицалырхуеит Ахада ихаҭыԥуаҩ.	Одновременно с Президентом избирается вице-президент.
Уи икандидатура ықәиргылоит Аҳәынҭқарра Ахадарахьы акандидат.	Его кандидатуру предлагает кандидат в Президенты Республики.
Ахада ихаҭыԥуаҩ Аԥсны Ахада идҵала уи иалкаау идҵақәак наигӡоит, Ахада иҭыԥ аҟны даныҟам, инапынҵақәа рынагӡара анилымшо, иҭыԥ ааникылоит.	Вице-президент осуществляет по поручению Президента Республики Абхазия отдельные его поручения, замещает Президента, в случае его отсутствия и невозможности осущест вления им своих обязанностей.
Аԥсны Жәлар Реизара ашьақәгылашьа.	Структура Народного Собрания Республики Абхазия.
Жәлар Реизара – Аԥсны Аҳәынҭқарра азакәанԥҵаратә усбарҭоуп.	Народное Собрание – законодательный орган Республики Абхазия.
Палатак змоу парламентуп.	Однопалатный парламент.
Ишьақәгылоуп маӡала абжьыҭирала, азеиԥштәи, иеиҟароуи, ишиашоу имҩаԥысуа алхратә зини шьаҭас иҟаҵаны иалххо 35 ҩык адепутатцәа рыла.	Состоит из 35 депутатов, избираемых на пять лет, на основе всеобщего, равного и прямого избирательного права, посредством тайного голосования.
Апарламент Аԥҟара инақәыршәаны, Аԥсны Аҳәынҭқарра Апарламент Ахантәаҩи Ахаҭыԥуаҩцәеи алххоит адепутатцәа рхыԥхьаӡараҟнытә маӡалатәи бжьыҭирала, Апарламент аҿҳәара инақәыршәаны.	Согласно Регламенту Парламента Спикер и заместители Спикера Парламента Республики Абхазия избираются Парламентом из числа депутатов, тайным голосованием, на срок полномочий Парламента.
Адепутатцәа адепутаттә хәдықәҵаратә статус рымоуп.	Депутаты обладают депутатской неприкосновенностью.
Аимперативтә мандатла ԥкра рымаӡам.	Не могут быть связаны императивным мандатом.
Аԥсны Жәлар Реизара адепутат Аԥсны Аҳәынҭқарра Аконституциеи «Аԥсны Жәлар Реизара – Апарламент адепутатцәа ралхразы» Аԥсны Аҳәынҭқарра Аконституциатә закәани инарықәыршәаны ажәлар дырхаҭарнакны далххоит, Аԥсны Жәлар Реизараҟны Аԥсны Аҳәынҭқарра Аконституциеи «Аԥсны Жәлар Реизара – Апараламент адепутат истатус азы» Азакәани рҿи иазгәаҭоу азакәанԥҵаратәи егьырҭ азинмчқәеи рынагӡаразы.	Депутатом Народного Собрания – Парламента Республики Абхазия является избранный, в соответствии с Конституцией Республики Абхазия и Конституционным законом Республики Абхазия «О выборах депутатов Народного Собрания – Парламента Республики Абхазия», представитель народа, уполномоченный осуществлять в Народном Собрании – Парламенте Республики Абхазия, законодательные и иные полномочия, предусмотренные Конституцией Республики Абхазия и Законом Республики Абхазия «О статусе депутата Народного Собрания-Парламента Республики Абхазия»
Аԥсны Аҳәынҭқарра Агидрографиа.	Гидрография Абхазии.
Аԥсны 120 ӡиас ыҟоуп, урҭ ааидкыланы раура 5000 км иреиҳауп.	В Республике Абхазия насчитывается 120 рек с общей протяженностью свыше 5000 км.
Аӡы ажәпара 0,6км артәоит.	Густота речной сети составляет около 0,6 км
Аԥсны аӡиасқәа зегьы иреиҳауп аӡиас Кәыдри аӡиас Сакьан налаҵаны аӡиас Бзыԥи.	Самая мощная река Республики Абхазия – река Кодор, с рекой Сакен и Бзып.
Уи аура 129 км инаӡоит.	Её длина – 129 км.
Уи аӡы иҭоу ала Аԥсны аӡиасқәа рыҩныҵҟа актәи аҭыԥ ааннакылоит.	Она занимает первое место по водности в Республике Абхазия.
Аӡы иҭоу ала Аԥсны аӡиасқәа рахьтә аҩбатәи аҭыԥ аннакылоит аӡиас Бзыԥ.	Вторая по водности река Республики Абхазия – река Бзып.
Уи аура 110 км инаӡоит.	Ее длина 110 км.
Арҭ аҩ-ӡиаск рыӡҭачыра – 3540 км рыҵаркуеит.	Площадь бассейна обеих рек – 3540 км2.
Ари Аԥсны Аҳәынҭқарра адгьылҵакыра зегьы аҟны 4,01  артәоит.	Это составляет 4,01  территории Республики Абхазия.
Аԥсны 186 ӡиа ыҟоуп.	В Абхазии насчитывается 186 озер.
Урҭ реиҳарак ашьхаҳаракырақәа рҿы иамоуп.	Большинство из них на- ходятся в высокогорной зоне.
Аӡиақәа рацәаны ишыҟоугьы, дара зегьы еилаҵаны рзеиԥш ҵакыра 5,23 км иреиҳаӡам, насгьы Аԥсны адгьылҵакыра зегьы аҟнытә 0,06  роуп иааныркыло.	Несмотря на множество озер, суммарная площадь их не превышает 5,23 км2 и они занимают лишь 0,06  территории Республики.
Аԥсны аӡиақәа зегьы ирылукаартә иҟоуп Риҵа Дуи Амтҟьали.	Самые крупные озера – Большая Рица и Амткел.
Риҵа Ду ақәыԥшылара 1км реиҳауп, аӡиақәа Амтҟьали Бабасыри рҵакыра хаз-хазы – 0,5  км рҟынӡа ыҟоуп.	Поверхность большой Рицы составляет свыше 1км, площадь Большой Рицы и Амткел в отдельности составляет около 0,5 км.
Аԥсны арелиеф иабзоураны аӡҟычрақәа иааныркыло аҭыԥ маҷуп.	Благодаря особенностям рельефа болота занимают на территории Республики Абхазия ограниченное место.
Акаршәрақәа рҿы урҭ еиҳа ирацәоуп алада-мрагыларатәи ацәаҳәаҿы.	В низменной полосе они более всего распространены на юго-востоке.
Иара убас иуԥылоит ашьхаҳаркырақәа рыҟны аӡы ацара ахьыуадаҩу аҭыԥқәа рыҟны.	Кроме того, в высокогорной зоне, там, где развиты благоприятствующие замедленному оттоку воды пологие формы рельефа.
Аԥсны ахьынӡанаӡааӡо ирацәоуп адгьылаҵаҟатәи аӡқәа.	На территории Республики Абхазия широко распространены подземные воды.
Урҭ зегьы еиԥшӡам ахимиатәи агазтәи еилазаашьала, аминералтә шьақәгылашьалеи аԥхарреи рыла, еикәшашьалеи, хыхь иҟоу аӡқәеи дареи реимадашьалеи, лшарақәас ирымоу рыла.	Они отличаются по химическому и газовому составу, степени минерализации и температуре, условиям циркуляции, связи с поверхностными водами, величине ресурсов.
Аԥсны аӡаҵаҟатәи аӡқәа рыла абеиара зыбызоуроу ари аҭыԥ аҿы иҟоу агеологиатә еилазаашьеи агемоморфологиатә ҷыдарақәеи инарықәыршәаны азеиԥш гидродинамикатә ҭагылазаашьа бзиа ауп.	Богатство подземными водами обусловлено тем, что территория Республики Абхазия, в соответствии с ее геологическим строением и геоморфологическими особенностями, характеризуется благоприятной общей гидродинамической обстановкой.
Аԥсны аҵиаа.	Растительность Абхазии.
Аԥсны ҵиаала абеиареи аиԥшымзаареи арелиеф аиԥшымзаареи, алитологиатә еилазаареи, аҳауеи, анышәи роуп изыбзоуроу.	Богатство и разнообразие растительности Республики Абхазия обусловлено различиями в характере рельефа, литологического состава, климата и почвы.
