%PRODUCTNAME аелектронтә ԥошьҭа азынашьҭрақәа рзы  аелектронтә ԥошьҭа архиарақәа аҭахуп.\n\n Иазшәырхиарц шәҭахума уи уажәы ?	Для рассылки электронной почты %PRODUCTNAME требуется действительная учётная запись.\n\nНастроить сейчас учётную запись электронной почты?
%PRODUCTNAME ақәыргылара	Установка %PRODUCTNAME
%PRODUCTNAME хархәаҩык иаҳасаб ала шәыҽҭашәыҩҩыр ҟалоит. Аҽҭаҩҩра хатәгәаԥхаралоуп хәдықәҵара ыҟаӡам	У вас есть возможность зарегистрироваться как пользователь %PRODUCTNAME. Регистрация добровольная и без обязательств.\n\nЕсли вы зарегистрируетесь, мы можем информировать Вас о новых разработках относительно этого продукта.
On the first page of the \<link href=\"text/schart/01/wiz_chart_type.xhp\"\>Chart Wizard\</link\> you can choose a chart type. 	На первой странице \<link href=\"text/schart/01/wiz_chart_type.xhp\"\>мастера диаграмм\</link\> можно выбрать тип диаграммы. 
On the first page of the Chart Wizard you can \<link href=\"text/schart/01/choose_chart_type.xhp\"\>choose a chart type\</link\>.	На первой странице мастера диаграммы можно \<link href=\"text/schart/01/choose_chart_type.xhp\"\>выбрать тип диаграммы\</link\>.
On the left side of a 'LIKE' statement only a column name is allowed.	Перед «LIKE» обязательно должно быть использовано название столбца.
On the right you see the Properties window with the property values of the currently selected object.	Справа откроется окно "Свойства" со значениями свойств выбранного в настоящее время объекта.
On the Task Pane, click \<emph\>Slide Transition\</emph\> to open that tab page.	На панели задачи выберите \<emph\>Смена слайда\</emph\> для открытия этой вкладки.
On the Tasks pane, click the Layouts tab.	В диалоговом окне \<emph\>Печать\</emph\> выберите на вкладке \<emph\>Общие\</emph\> вариант "Раздаточные материалы" из списка "Документ".
On this page of the \<link href=\"text/schart/01/wiz_chart_type.xhp\"\>Chart Wizard\</link\> you can change the source range of all data series separately, including their labels. You can also change the range of the categories. You can first select the data range on the Data Range page and then remove unnecessary data series or add data series from other cells here.	На этой странице \<link href=\"text/schart/01/wiz_chart_type.xhp\"\>мастера диаграмм\</link\> можно отдельно изменить исходный диапазон всего ряда данных, включая его подписи. Можно также изменить диапазон категорий. Сначала можно выбрать диапазон данных на странице "Диапазон данных" и затем удалить ненужный ряд данных, либо добавить ряд данных из других ячеек.
On this page of the \<link href=\"text/schart/01/wiz_chart_type.xhp\"\>Chart Wizard\</link\> you can select one single source of data range. This range may consist of more than one rectangular range of cells.	На этой странице \<link href=\"text/schart/01/wiz_chart_type.xhp\"\>мастера диаграмм\</link\> можно выбрать отдельный источник диапазона данных. Этот диапазон может состоять из нескольких прямоугольных областей ячеек.
On Windows operating systems, the Windows features of validating a signature are used. On Solaris and Linux systems, files that are supplied by Thunderbird, Mozilla or Firefox are used. You must ensure that the files that are in use within your system are really the original files that were supplied by the original developers. For malevolent intruders, there are numerous ways to replace original files with other files that they supply.	В операционных системах Windows используются функции проверки действительности подписи Windows. В системах Solaris и Linux используются файлы, предоставляемые Thunderbird, Mozilla или Firefox. Следует убедиться в том, что файлы, использующиеся системой, действительно соответствуют исходным файлам, предоставленным первоначальными разработчиками. Существует большое количество способов, с помощью которых злоумышленники могут заменить исходные файлы другими файлами.
On Windows systems, you can also use drag-and-drop instead of Copy and Paste. Also, for registered databases, you can open the datasource browser (press F4) instead of opening the Base window.	В системах Windows вместо команд "Копировать" и "Вставить" также можно пользоваться перетаскиванием. Кроме того, для зарегистрированных баз данных можно открыть браузер источника данных (нажмите F4) вместо вызова окна "База".
Once the download starts, you see a progress bar and three buttons on the dialog. You can pause and resume the download by clicking the Pause and Resume buttons. Click Cancel to abort the download and delete the partly downloaded file.	После запуска загрузки в диалоговом окне появится индикатор выполнения и три кнопки. С помощью кнопок "Пауза" и "Продолжить" имеется возможность приостановки и возобновления загрузки. Для прерывания загрузки и удаления частично загруженного файла используется кнопка "Отменить".
One cell selected in a table of more that one cell size, or cursor inside a table with no cell selected	Одна выбранная в таблице ячейка, превышающая размер одной ячейки, или курсор внутри таблицы без выбранной ячейки
One exception appears when the author of a Writer text document saves and reopens a document: the cursor will be at the same position where it has been when the document was saved. This only works when the author has entered his name in \<emph\>Tools - Options - %PRODUCTNAME - User Data\</emph\>.	Исключение составляют случаи сохранения или повторного открытия автором текстового документа Writer: курсор устанавливается в ту же позицию, в которой он находился при сохранении документа. Это возможно только в том случае, если имя автора указано по пути \<emph\>\<switchinline select=\"sys\"\>\<caseinline select=\"MAC\"\>%PRODUCTNAME – Параметры\</caseinline\>\<defaultinline\>Сервис – Параметры\</defaultinline\>\</switchinline\> – %PRODUCTNAME – Данные пользователя\</emph\>.
Online Update	Проверка обновлений
Online Update is a module that can be selected or deselected to be installed. Choose the customized installation in the Setup of %PRODUCTNAME.	Проверка обновлений представляет собой опционально устанавливаемый модуль. Выберите опцию пользовательской установки в программе установки %PRODUCTNAME.
Open a Base file of the database type that you want. 	Откройте файл базы данных требуемого типа. 
Open a Base file or create a new database. The database must contain at least one table with at least one data field and a primary key field.	Откройте файл базы данных или создайте новую базу данных. База данных должна содержать по крайней мере одну таблицу с минимум одним полем данных и одним полем первичного ключа.
Open a terminal or command shell.	Выполнив вход в качестве администратора, откройте командную оболочку или терминал.
Open context menu of a selected control on an XML Form document, choose \<emph\>Control - Data\</emph\> tab	Откройте контекстное меню выбранного элемента управления документа XML Form и перейдите на вкладку \<emph\>Элемент управления - Данные\</emph\>.
Open Form Controls toolbar of an XML Form document, click \<emph\>Control\</emph\> icon - \<emph\>Data\</emph\> tab	В документе XML Form откройте панель инструментов "Элементы управления форм", щелкните по значку \<emph\>Элемент управления\</emph\>, откройте вкладку \<emph\>Данные\</emph\>.
Open Form Controls toolbar or Form Design toolbar, click	Открытие панели инструментов "Элементы управления" или "Дизайн формы" щелчком
Open Form Design toolbar, click	Открытие панели инструментов "Дизайн формы" щелчком
Open the Calc file that contains the data to be imported to Base. You can open a *.dbf dBase file or many other file types. 	Откройте файл Calc, содержащий данные для импорта в базу данных. Можно открыть файл *.dbf dBASE файл или файлы других типов. 
Open the context menu for the object - choose \<emph\>Description\</emph\>	Откройте контекстное меню для объекта и выберите команду \<emph\>Описание\</emph\>.
Open the database file that contains the database table to be exported. Click Tables to view the tables, or click Queries to view the queries.	Откройте файл базы данных, содержащий таблицу базы данных для экспорта. Для просмотра таблиц щелкните "Таблицы"; для просмотра запросов выберите "Запросы".
Open the database file where you want to create the new report.	Откройте файл базы данных, в которой необходимо создать новый отчет.
Open the Report Builder view and click the Sorting and Grouping icon  in the toolbar. You see the \<link href=\"text/shared/explorer/database/rep_sort.xhp\"\>Sorting and Grouping\</link\> dialog.	Перейдите к представлению "Построитель отчетов" и щелкните значок "Сортировка и группировка" \<image id=\"img_id9557786\" src=\"res/commandimagelist/sc_dbsortingandgrouping.png\" width=\"0.566cm\" height=\"0.566cm\"\>\<alt id=\"alt_id9557786\"\>Значок\</alt\>\</image\> на панели инструментов. Появится диалоговое окно \<link href=\"text/shared/explorer/database/rep_sort.xhp\"\>Сортировка и группировка\</link\>.
Open the Report Builder view and click the Sorting and Grouping icon  in the toolbar. You see the \<link href=\"text/shared/explorer/database/rep_sort.xhp\"\>Sorting and Grouping\</link\> dialog.	Перейдите к представлению "Построитель отчетов" и щелкните значок "Сортировка и группировка" \<image id=\"Graphic21\" src=\"res/commandimagelist/sc_dbsortingandgrouping.png\" width=\"0.566cm\" height=\"0.566cm\"\>\<alt id=\"alt_\"\>Значок\</alt\>\</image\> на панели инструментов. Появится диалоговое окно \<link href=\"text/shared/explorer/database/rep_sort.xhp\"\>Сортировка и группировка\</link\>.
OpenDocument адырра ашьаҭа	База данных OpenDocument
OpenDocument адырра ашьаҭа	База данных ODF
OpenDocument аелектронтә ҭаӡҩыра	Электронная таблица OpenDocument
OpenDocument аелектронтә ҭаӡҩыра	Электронная таблица ODF
OpenDocument аелектронтә ҭаӡҩыра ахсаала	Шаблон электронной таблицы OpenDocument
OpenDocument аелектронтә ҭаӡҩыра ахсаала	Шаблон электронной таблицы ODF
OpenDocument апрезентациа	Презентация OpenDocument
OpenDocument апрезентациа	Презентация ODF
OpenDocument апрезентациа ахсаала	Шаблон презентации OpenDocument
OpenDocument апрезентациа ахсаала	Шаблон презентации ODF
OpenDocument асахьа	Рисунок OpenDocument
OpenDocument асахьа	Рисунок ODF
OpenDocument асахьа ахсаала	Шаблон рисунка OpenDocument
OpenDocument асахьа ахсаала	Шаблон рисунка ODF
OpenDocument аҳасабтәқәҵага	Формула OpenDocument
OpenDocument аҳасабтәқәҵага	Формула ODF
Opening price	Начальная цена
Operating system	Операционная система
Optionally set the resolution. A higher value leads to a smoother line.	При необходимости можно задать разрешение. Чем выше значение, тем более плавная линия получается.
Optionally, click any of the options. While you change the settings in the wizard, watch the preview in the document to see how the chart will look.	Щелкните по любому из параметров. Во время изменения настроек в мастере проверяйте вид диаграммы в режиме предварительного просмотра.
Options	Параметры
OR(Логическое значение 1; Логическое значение 2 ...Логическое значение 30)	OR(Логическое значение 1; Логическое значение 2 ... Логическое значение 30)
Oracle адыррақәа рышьаҭа ахьыӡ	Название базы данных Oracle
Oracle аҿакра ақәыргылара	Установка подключения к Oracle
OrderDate	ДатаЗаказа
OrderDetailID	КодДеталейЗаказа
OrderDetID	КодДетЗак
OrderID	КодЗаказа
OrganizationName	НазваниеОрганизации
Organize Data Series	Формирование ряда данных
Organizing data series	Формирование ряда данных
OrgName	НазвОрг
Package format	Формат пакетов
PackageDimensions	РазмерыУпаковки
PackageWeight	ВесУпаковки
PackDimens	РазмУпако
PackWeight	ВесУпак
Page	Страница
Page  & #PAGENUMBER#	"Страница " & #PAGENUMBER#
PAGE DOWN	Page Down
Page footer	Нижний колонтитул
Page Footer	Нижний колонтитул
Page header	Верхний колонтитул
Page Header	Верхний колонтитул
Page N	Страница N
Page N of M	Страница N из M
Page Numbers 	Номера страниц 
Page Setup	Параметры страницы
PAGE UP	Page Up
Pages	Страниц
Paste	Вставить
Pattern	Шаблон
PaymentAmount	СуммаПлатежа
PaymentDate	ДатаПлатежа
PaymentID	КодПлатежа
PaymentMethod	МетодПлатежа
PaymentMethodID	КодМетодаПлатежа
PaymentTerms	УсловияОплаты
PaymMethID	КодМетПлат
PaymntAmnt	СуммПлат
PaymntDate	ДатаПлатежа
PaymntMeth	МетПлат
PaymntTerm	УсловОпл
PDF - акьыԥхьраз еиҳа ианаало	PDF - оптимизировано для печати
PDF - зхаҭабзиара ҳараку акьыԥхьаз еиҳа ианаало	PDF - оптимизировано для высококачественной печати
PDF аекспортаан	При экспорте в PDF
PDF ахышәарақәа	Параметры PDF
PDF ахь аекспорт	Экспорт в PDF
PDF ахь аекспорт	Экспорт в PDF...
PDF с тегами	Структурированный PDF
PDF-аформа аԥҵара	Создать PDF-форму
Percent - this subtype plots values cumulative stacked on each other and scaled as percentage of the category total.	"С процентами" − в этом подтипе значения расположены одно над другим и имеют процентное масштабирование от общего значения категории.
Percent - this subtype shows the relative percentage of each data value with regard to the total of its category. Main focus is the relative contribution of each value to the category's total.	Тип "с процентами" − этот подтип используется для отображения относительного процента каждого значения данных от общего значения категории. Как правило, используется относительный вклад каждого значения в общее значение категории.
PERCENTILE(Данные;Альфа)	PERCENTILE(Данные; Альфа)
PERMUT(число 1; число 2)	PERMUT(Число1; Число2)
PERMUTATIONA(число 1; число 2)	PERMUTATIONA(Число1; Число2)
PersonID	КодЛица
Perspective	Перспектива
PHI(-2,25) = 0,03	\<item type=\"input\"\>=PHI(-2.25) \</item\>= 0,03
PHI(0) = 0,4	\<item type=\"input\"\>=PHI(0) \</item\>= 0.4
PHI(2,25) = 0,03	\<item type=\"input\"\>=PHI(2.25) \</item\>= 0,03
PhoneNo	ТелНом
PhoneNumber	Телефон
Photo	Фотография
PhotoID	КодФотографии
PhotoID	КодФото
Photosensi	Светочувст
Photosensitivity	Светочувствительность
PI	пи
PickUpDate	ДатаПриемки
PickUpDate	ДатаПрием
PickUpLoca	МестоПриемки
PickUpLocation	МестоПриемки
PickUpTime	ВремяПриемки
Pie	Круговая диаграмма
Pie - this subtype shows sectors as colored areas of the total pie, for one data column only. In the created chart, you can click and drag any sector to separate that sector from the remaining pie or to join it back.	В подтипе "Круговая диаграмма" секторы одного столбца данных показаны в виде окрашенных областей общего круга. В создаваемой диаграмме можно выбрать и перетащить любой сектор для отделения этого сектора от общего круга или для его обратного присоединения.
Pie exploded by %PERCENTVALUE percent	Дробление на сектора по %PERCENTVALUE процентов
Place the cursor in the cell to be split.	Поместите курсор в ячейку, которую требуется разбить.
PlacePurch	МестоЗак
PlacePurchased	МестоЗаказа
PlaceTaken	МестоСъемки
PlaceTaken	МестСъемки
PlantID	КодРастения
PldgPdDate	ДатаОплЗал
Please choose another installation directory.	Выберите другой каталог установки.
Please use another directory for installation or change your module selection.	Используйте другой каталог или измените набор компонентов.
PledgeAmnt	СуммЗалог
PledgeAmount	СуммаЗалога
PledgePaidDate	ДатаОплатыЗалога
plus 0;"minus" 0;"null" 0	"plus" 0;"minus" 0;"null" 0
Points and Lines	Линии и точки
Points and lines - this subtype plots points and connects points of the same data series by a line.	В подтипе "Точки и линии" точки одного ряда данных соединяются обычной линией.
Points only	Только точки
Points only - this subtype plots only points.	В подтипе "Только точки" отображаются только точки.
POP 3	~POP3
Position	Положение
Position X	Положение X
Position Y	Положение Y
PostalCode	ПочтовыйИндекс
PostalCode	Индекс
POWER(основание; степень) или основание ^ степень	POWER(Base; Exponent)
PowerPoint адокументқәа	Документы PowerPoint
PPMT(8,75%/12;1;36;5000;8000;1) = -350,99 денежных единиц.	\<item type=\"input\"\>=PPMT(8,75%/12;1;36;5000;8000;1)\</item\> = -350,99 денежных единиц.
PPMT(Процент;Период;КПЕР;ТС;БС;Тип)	PPMT(Процент; Период; КПЕР; ТС; БС; Тип)
Pre evaluation	Предвычисление
Prefix	Префикс
Prefix Characters	Начальные символы
Present	Отображать
Presentation Monitor	Монитор презентации
Preserve as Link	Сохранить как ссылку
Press \<item type=\"keycode\"\>Esc\</item\> to abort the show before the end.	Нажмите \<item type=\"keycode\"\>Esc\</item\> для прерывания демонстрации на середине.
Press \<item type=\"keycode\"\>Shift-F1\</item\> and point with the mouse at an input box to see a help text for this input box.	Нажмите \<item type=\"keycode\"\>Shift-F1\</item\> и наведите курсор мыши на поле ввода для просмотра текста справки по этому полю.
Press \<item type=\"keycode\"\>Shift+F1\</item\> and point to a control to see an extended help text.	Нажмите \<item type=\"keycode\"\>Shift+F1\</item\> и установите курсор на элемент управления для просмотра расширенной справки.
Preview	Предварительный просмотр
PRICEMAT(Соглашение;Погашение;Выпуск;Процент;Доход;Базис)	PRICEMAT(Соглашение; Погашение; Выпуск; Процент; Доход; Базис)
Print Hour(TimeSerial(12:30:41))	Печать Hour(TimeSerial(12,30,41))
Print Minute(TimeSerial(12:30:41))	Печать Minute(TimeSerial(12,30,41))
Print repeated values	Печатать повторы
Print When Group Change	Печатать при смене группы
PrintSize	РазмерПечати
PrintSize	РазмПечати
ProdDescr	ОписПрод
ProdName	НазвПрод
Producer	Продюсер
PRODUCT returns number1 * number2 * number3 * ...	PRODUCT возвращает произведение Число1 * Число2 * Число3 * ...
PRODUCT(от 1 до 30 чисел)	PRODUCT(Число1; Число2; ...; Число30)
ProductDescription	ОписаниеПродукта
ProductID	КодПродукта
ProductName	НазваниеПродукта
ProjctDscr	ОписПроекта
ProjctName	НазвПроекта
ProjectDescription	ОписаниеПроекта
ProjectID	КодПроекта
ProjectName	НазваниеПроекта
PromisDate	ДогДата
PromisedByDate	ДоговорнаяДата
PROPER(текст)	PROPER("Текст")
Properties	Свойства
Properties 	Свойства 
pt	пт
Publisher	Издательство
PurchaseAt	КупленоВ
PurchasedAt	КупленоВ
PurchaseOrderNumber	НомерЗаказа
PurchasePrice	ПокупнаяЦена
PurchasePrice	Цена
PurchOrdNo	НомЗаказа
PurchPrice	ПокупЦена
PurchPrice	Цена
Purpose	Цель
Quantity	Количество
QuantityReserved	ЗабронированноеКоличество
Quarter	Квартал
QuntityRes	ЗабронКол
QUOTIENT is equivalent to \<item type=\"literal\"\>INT(numerator/denominator)\</item\>, except that it may report errors with different error codes.	QUOTIENT эквивалентно \<item type=\"literal\"\>INT (числитель/знаменатель)\</item\>, за исключением возможности вывода сообщений об ошибках с другими кодами ошибок.
QUOTIENT(Числитель;Знаменатель)	QUOTIENT(Числитель; Знаменатель)
RADIANS(90) returns 1.5707963267949, which is PI/2 to Calc's accuracy.	\<item type=\"input\"\>=RADIANS(90)\</item\> возвращает значение 1,5707963267949, т.е. пи/2 до степени точности Calc.
RADIANS(число)	RADIANS(Число)
RAND( )	RAND()
RAND() returns a random number between 0 and 1.	\<item type=\"input\"\>=RAND()\</item\> возвращает случайное число от 0 до 1.
RATE(КПЕР;ПЛТ;ТС;БС;Тип;Предположение)	RATE(КПЕР; ПЛТ; ТС; БС; Тип; Предположение)
RatePerHour	СтоимостьЧаса
RatePrHour	СтоимЧаса
Rating	Рейтинг
Read the complete License Agreement displayed above. Accept the License Agreement by typing "yes" on the console then press the Return key. Type "no" to decline and to abort the extension setup.	Прочтите лицензионное соглашение выше. Введите «yes» для принятия лицензионного соглашения и нажмите Enter. Ведите «no» для отказа и выхода из установки расширения.
Read-only	Только для чтения
Ready to Update	Все готово для обновления
ReceivedBy	КемПринято
RecipeID	КодРецепта
RecordLabel	СтудияГрамзаписи
RecordLabl	СтудияГрамз
ReferenceNumber	ШифрДокумента
RefrenceNo	ШифрДокум
RegistraID	КодРегистр
RegistrationID	КодРегистрации
Release the mouse button to finish the line.	Для завершения линии следует отпустить кнопку мыши.
ReleaseYear	ГодВыхода
ReleasYear	ГодВыхода
Relevant	Относящийся
Remove group footer 	Удалить подвал группы
Remove group header 	Удалить шапку группы 
Remove page header / page footer	Удалить колонтитул страницы
Remove report header / report footer	Удалить шапку/подвал отчёта
Remove the check mark from \<emph\>Print automatically inserted blank pages\</emph\>.	Удалите галочку в поле \<emph\>Печать автоматически вставленных пустых страниц\</emph\>.
ReorderLevel	УровеньПоторногоЗаказа
ReordLevel	УровЗаказа
Repeat Section	Повторять раздел
Repeatedly click an edge or a corner to switch through the three different states.	Для переключения трех различных состояний несколько раз щелкните по краю или углу.
Report	Отчёт
Report #	Отчёт #
Report Builder	Построитель отчетов
Report Footer	Подвал отчёта
Report Header	Шапка отчёта
Report Navigator	Навигатор отчетов
Report Wizard	Мастер отчетов
REPT(текст; количество)	REPT("Текст"; Число)
ReqStaffng	НеобхКадры
RequirDate	ТребДата
Required	Требуется
Required disc space	Необходимое дисковое пространство
RequiredByDate	ТребуемаяДата
RequiredStaffing	НеобходимыеКадры
ReservationDate	ДатаБронирования
ReservationID	КодБронирования
ReservationTime	ВремяБронирования
ReservDate	ДатаБрони
ReservID	КодБрон
ReservTime	ВремяБрони
Reset page number	Сбросить счётчик страниц
Resizing a whole Table	Изменение размера всей таблицы
RestingPulse	ОбычныйПульс
RestngPuls	ОбПульс
Return	Возврат
Returns \<emph\>Number\</emph\> rounded to the nearest multiple of \<emph\>Multiple\</emph\>. 	Округление \<emph\>числа\</emph\> до ближайшего \<emph\>кратного\</emph\>числа. 
Returns an integer random number between integers \<emph\>bottom\</emph\> and \<emph\>top\</emph\> (both inclusive).	Возвращает случайное целое число между целыми \<emph\>нижним\</emph\> и \<emph\>верхним\</emph\> значениями (оба включаются в расчет).
Returns the integer part of \<emph\>numerator\</emph\> divided by \<emph\>denominator\</emph\>.	Возвращает целочисленную часть \<emph\>числителя\</emph\>, разделенного на \<emph\>знаменатель\</emph\>.
Returns the positive square root of (PI multiplied by \<emph\>number\</emph\>).	Возвращает положительный квадратный корень от (пи, умноженного на \<emph\>Число\</emph\>).
Review	Обзор
Right	По правому краю
Right-click a column in the preview to set the format or to hide the column.	Для настройки формата ли скрытия столбца щелкните правой кнопкой по столбцу в режиме предварительного просмотра.
Right-click a paragraph and choose Edit Paragraph Style - Indents  Spacing to change the indents for all paragraphs that have the same Paragraph Style.	Щелкните правой кнопкой по абзацу и выберите \<item type=\"menuitem\"\>Редактировать стиля абзаца - Отступы и интервалы\</item\> для изменения отступов всех абзацев с тем же стилем.
Right-click the name of a report in the database file window, then choose Edit.	Щелкните правой кнопкой мыши по имени отчета в окне файла базы данных, а затем выберите "Правка".
RIGHT(текст; количество)	RIGHT("Текст";Количество)
RoomID	КодКомнаты
Root displayed	Показывать корень
ROUND(2.348; 0) returns 2.	\<item type=\"input\"\>=ROUND(2.348;0)\</item\> возвращает значение 2.
ROUND(2.5) returns 3. 	\<item type=\"input\"\>=ROUND(2.5)\</item\> возвращает значение 3. 
ROUND(987.65; -2) returns 1000.	\<item type=\"input\"\>=ROUND(987.65;-2)\</item\> возвращает значение 1000.
ROUND(число; количество)	ROUND(Число; Количество)
ROUNDDOWN(-45.67) returns -45.	\<item type=\"input\"\>=ROUNDDOWN(-45.67)\</item\> возвращает значение -45.
ROUNDDOWN(45.67; 0) returns 45.	\<item type=\"input\"\>=ROUNDDOWN(45.67;0)\</item\> возвращает значение 45.
ROUNDDOWN(987.65; -2) returns 900.	\<item type=\"input\"\>=ROUNDDOWN(987.65;-2)\</item\> возвращает значение 900.
ROUNDDOWN(число; количество)	ROUNDDOWN(Число; Количество)
ROUNDUP(-45.67) returns -46.	\<item type=\"input\"\>=ROUNDUP(-45.67)\</item\> возвращает значение -46.
ROUNDUP(1.2345; 1) returns 1.3.	\<item type=\"input\"\>=ROUNDUP(1.2345;1)\</item\> возвращает значение 1,3.
ROUNDUP(45.67; 0) returns 46.	\<item type=\"input\"\>=ROUNDUP(45.67;0)\</item\> возвращает значение 46.
ROUNDUP(987.65; -2) returns 1000.	\<item type=\"input\"\>=ROUNDUP(987.65;-2)\</item\> возвращает значение 1000.
ROUNDUP(число; количество)	ROUNDUP(Число; Количество)
ROW(ссылка)	ROW(Ссылка)
ROWS(массив)	ROWS(Массив)
RRI(4;7500;10000) = 7,46 %	\<item type=\"input\"\>=RRI(4;7500;10000)\</item\> = 7,46%
RRI(П;ТС;БС)	RRI(П; ТС, БС)
RSQ(Данные_Y; Данные_X)	RSQ(Данные Y; Данные X)
RTF аҭаӡҩыра копи азаҳуп	Копировать таблицу RTF
RTF форматс измоу атекст	Форматированный текст [RTF]
RTF форматс измоу атекст	Текст в формате RTF
Ruler which manages objects at fixed positions.	Эта линейка управляет объектами в фиксированных положениях.
Run query	Выполнить запрос
Run Query	Выполнить запрос
Running a Slide Show	Запуск демонстрации
Running a slide show from a file	Запуск демонстрации из файла
S-асахьа змоу азыц	S-образная стрелка
Salary	Зарплата
SalePrice	Цена
Salespersn	Продавец
Salesperson	Продавец
SalesTax	НалогСПродаж
SalesTax	НалогПрод
SalesTaxRate	СтавкаНалогаСПродаж
SalesTaxRt	СтавНалПр
Salutation	Приветствие
SalvageVal	ОстатСтоим
SalvageValue	ОстаточнаяСтоимость
Saves the report and the information how to create the report inside the Base file.	Сохранение отчета и информации о способах создания отчета в файле базы.
Saves the report as a Writer text document. Stores the information how to create the report inside the Base file.	Сохранение отчета как текстового документа Writer. Информация о создании отчета хранится в файле базы.
scale the x‑axis	масштабирование оси x‑
SDBC (#servicename#) адраивер менеджер ахь аимада аҟаҵара иауӡом	Невозможно соединиться с менеджером драйвера SDBC (#servicename#).
Searching for attributes is available in the Find  Replace dialog for text documents.	Поиск атрибутов для текстовых документов может осуществляться в диалоговом окне "Найти и заменить".
Secondary axes	Дополнительные оси
Section	Раздел
Section Setup	Параметры раздела
SecuriName	НазвЦенБум
SecuriSymb	СимвЦенБум
SecurityName	НазваниеЦеннойБумаги
SecuriType	ТипЦенБум
SecuritySymbol	СимволЦеннойБумаги
SecurityType	ТипЦеннойБумаги
See COUNTIF() for some more syntax examples that can be used with SUMIF().	Некоторые примеры синтаксиса, которые могут использоваться с SUMIF(), приведены в описании COUNTIF().
Select "Formulas" or "Values" in the \<emph\>Search in\</emph\> list box.	В списке \<emph\>Искать в\</emph\> выберите "Формулы" или "Значения".
Select a block of about 8x8 cells, then choose \<emph\>Format - Cells - Borders\</emph\>.	Выберите блок ячеек размером 8х8, а затем выберите \<emph\>Формат - Ячейки - Обрамление\</emph\>.
Select a field or type an expression to sort or group on.	Выберите поле или введите выражение для сортировки или группировки.
Select a number format and click \<emph\>OK\</emph\>.	Выберите формат номера и нажмите \<emph\>OK\</emph\>.
Select a scheme from the list box.	Выберите схему в поле списка.
Select a single cell in a Writer table, then choose \<emph\>Table - Table properties - Borders\</emph\>.	В таблице Writer выберите одну ячейку, а затем выберите \<emph\>Таблица - Свойства таблицы - Обрамление\</emph\>.
Select a table from the Contents list, then press Tab or click outside the input box to leave the input box.	Выберите таблицу из списка "Содержимое", нажмите клавишу Tab или щелкните за пределами поля ввода для выхода.
Select a thick line style.	Выберите стиль толстой линии.
Select Additional Components	Выбор дополнительных компонентов
Select an alignment. By default the page numbers are centered between the left and right margins. You can align the field to the left or right. You can also select Inside to print page number on odd pages on the left side and even page numbers on the right side. Select Outside for the opposite alignment.	Выберите выравнивание. По умолчанию номера страниц располагаются по центру между левым и правым полем. Поле можно выровнять по левому или правому краю. Кроме того, можно выбрать опцию "Внутри" для печати нечетных номеров страниц слева, а четных номеров − справа. Для противоположного выравнивания номеров выберите "Снаружи".
Select ascending or descending sort order. Ascending means from A to Z or 0 to 9	Выберите сортировку по возрастанию или убыванию. По возрастанию подразумевает сортировку от А до Я или от 0 до 9
Select Cubic Spline or B-Spline.	Выберите кубический сплайн или би-сплайн.
Select from several given choices to arrange the data records.	Используется для выбора из нескольких предложенных вариантов размещения записей данных.
Select one of the position options. When the chart is finished, you can specify other positions using the Format menu.	Выберите один из вариантов расположения. После завершения настройки диаграммы ее позицию можно изменить с помощью меню "Формат".
Select one of the position options. When the chart is finished, you can specify other positions using the Format menu.	Выберите один из вариантов расположения. После завершения настройки диаграммы ее позицию можно изменить с помощью меню Формат.
Select one of the variants	Выберите один из вариантов
Select Open Values, Close Values, High Values, and Low Values in any order. Specify only the ranges for those roles which you need for the chosen variant of the stock chart. The ranges need not be next to each other in the table.	Выберите значения открытия, закрытия, минимума и максимума в любом порядке. Укажите диапазоны только для тех ролей, которые требуются для выбранного варианта биржевой диаграммы. Диапазоны не должны располагаться в таблице друг рядом с другом.
Select root directory	Выберите корневой каталог
Select the adjacent cells.	Выделите смежные ячейки.
Select the data range.	Выберите диапазон данных.
Select the data range. Do one of the following:	Выберите диапазон данных. Выполните одно из следующих действий:
Select the data to be copied to Base. 	Выберите данные для копирования в базу. 
Select the format for the page numbers, either "Page N" or "Page N of M", where N stands for the current page number, and M for the total number of pages in the report.	Выберите формат для номеров страниц "Страница N" или "Страница N из М", где N − текущий номер страницы, а М − общее число страниц в отчете.
Select the Perspective check box to view the chart in central perspective as through a camera lens instead of using a parallel projection. 	Установите флажок "Перспектива" для просмотра диаграммы в центральной перспективе через объектив камеры вместо использования параллельной проекции. 
Select the style to search for, then click \<emph\>Find\</emph\> or \<emph\>Find All\</emph\>.	Выберите стиль для выполнения поиска, после чего нажмите \<emph\>Найти\</emph\> или \<emph\>Найти все\</emph\>.
Select the table for that you want to create the report.	Выберите таблицу, для которой требуется создать отчет.
Select the value or range of values that starts a new group.	Выберите значение или интервал значений для начала новой группы.
Select to beginning of paragraph	Выделение до начала абзаца. При следующем нажатии клавиши выделяется текст до начала предыдущего абзаца.
Select to end of paragraph	Выделение до конца абзаца. При следующем нажатии клавиши выделяется текст до конца следующего абзаца.
Select to show the page numbers in the Page Header area or in the Page Footer area.	Выберите необходимость отображения номеров страниц в области "Верхний колонтитул страницы" или "Нижний колонтитул страницы".
Selected	Выбрано
Selection of a major angle	Выбор основного угла.
SendCard	ПослатьОткрытку
SendCard	ПослОткр
SerialNo	СерийныйНом
Serialnumber	СерийныйНомер
