Ша сов къинхетаме  а‚ къинхетаме а волчу Делан  цIарца	بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ
Хьан хаийтина хьуна‚ хIун ю и сакъар?	وَمَا أَدْرَاكَ مَا سَقَرُ
Буха а ца вуьту цо‚ дIа а ца тосу,	لَا تُبْقِي وَلَا تَذَرُ
Гучуйолу и адамна /геннара цуьнан юьхь Iаржаеш/	لَوَّاحَةٌ لِّلْبَشَرِ
Цунна тIехIоьттина ткъеяссина /малик/ ду	عَلَيْهَا تِسْعَةَ عَشَرَ
Жоьжахатина тIехIоьттина берш Оха маликаш бен ца хилийтина. Церан дагардар ца хилийтина Оха деккъа цатешачарна питнина бен а‚ жайнан охIлана и бакъ дуйла хаийтархьама а‚ /Делах/ тешаш берш ийманца совбахархьама а‚ шеко ца яйтархьама жайнан охIлане а‚ муъмин нахе а; шайн дегнашкахь цамгар йолчаьрга а‚ цатешачаьрга а алийтархьама: 'ХIун лиъна-техьа Далла хIокхунца‚ масал а далийна?' Иштта тилавала вуьту Дала Шена луург‚ нисво Шена луург. Хьо Кхиош-кхобучун эскар хуур дац Цунна Шена бен. Иза беккъа хьехам бу-кх адамашна	وَمَا جَعَلْنَا أَصْحَابَ النَّارِ إِلَّا مَلَائِكَةً وَمَا جَعَلْنَا عِدَّتَهُمْ إِلَّا فِتْنَةً لِّلَّذِينَ كَفَرُوا لِيَسْتَيْقِنَ الَّذِينَ أُوتُوا الْكِتَابَ وَيَزْدَادَ الَّذِينَ آمَنُوا إِيمَانًا وَلَا يَرْتَابَ الَّذِينَ أُوتُوا الْكِتَابَ وَالْمُؤْمِنُونَ وَلِيَقُولَ الَّذِينَ فِي قُلُوبِهِم مَّرَضٌ وَالْكَافِرُونَ مَاذَا أَرَادَ اللَّهُ بِهَذَا مَثَلًا كَذَلِكَ يُضِلُّ اللَّهُ مَن يَشَاء وَيَهْدِي مَن يَشَاء وَمَا يَعْلَمُ جُنُودَ رَبِّكَ إِلَّا هُوَ وَمَا هِيَ إِلَّا ذِكْرَى لِلْبَشَرِ
ХIан-хIа! Баттаца дуй боу Ас!	كَلَّا وَالْقَمَرِ
Буьйсанца дуй боу и тIаьхьаяханчу хенахь	وَاللَّيْلِ إِذْ أَدْبَرَ
Сатасарца дуй боу и гучудаьллачу хенахь	وَالصُّبْحِ إِذَا أَسْفَرَ
Баккъалла а, иза (сакъар олу жоьжахати) уггар яккхичарах цхьаъ ю!	إِنَّهَا لَإِحْدَى الْكُبَرِ
Кхерамча адамашна /ю иза/	نَذِيرًا لِّلْبَشَرِ
Шух шен луучунна /диканна/ хьалхавала а‚ /вочунна/ тIаьхьависа а	لِمَن شَاء مِنكُمْ أَن يَتَقَدَّمَ أَوْ يَتَأَخَّرَ
Массо а са ша карадинчуьнца закъалт ду	كُلُّ نَفْسٍ بِمَا كَسَبَتْ رَهِينَةٌ
Аьтту куьйган дай боцурш	إِلَّا أَصْحَابَ الْيَمِينِ
Уьш /бошмашкахь/ вовшашка хоьттуш хир бу	فِي جَنَّاتٍ يَتَسَاءلُونَ
Къинош диначарах:	عَنِ الْمُجْرِمِينَ
Хьан дигина шу сакъара чу?'	مَا سَلَكَكُمْ فِي سَقَرَ
Цара элира: 'Тхо ца хилира ламазаш дечарах,	قَالُوا لَمْ نَكُ مِنَ الْمُصَلِّينَ
Тхо ца хилира мискачарна хIума даош	وَلَمْ نَكُ نُطْعِمُ الْمِسْكِينَ
Даьсса хабарш дуьйцучаьрца /даьсса/ хабар дуьйцуш хилира тхо‚	وَكُنَّا نَخُوضُ مَعَ الْخَائِضِينَ
Бекхаман де харцдеш хилира тхо	وَكُنَّا نُكَذِّبُ بِيَوْمِ الدِّينِ
Тхайга бакъдерг далц'	حَتَّى أَتَانَا الْيَقِينُ
Пайда бийр бац царна шапаIат дечеран   шапаIато	فَمَا تَنفَعُهُمْ شَفَاعَةُ الشَّافِعِينَ
ХIун ду царна уьш хьехамах дIаберза?	فَمَا لَهُمْ عَنِ التَّذْكِرَةِ مُعْرِضِينَ
Шаьш акхаяьлла вираш санна‚	كَأَنَّهُمْ حُمُرٌ مُّسْتَنفِرَةٌ
/Кхераелла/ йовдуш ломах?	فَرَّتْ مِن قَسْوَرَةٍ
ХIаъ, царах массо а ву лууш шега лойла схьадиллина жайнаш	بَلْ يُرِيدُ كُلُّ امْرِئٍ مِّنْهُمْ أَن يُؤْتَى صُحُفًا مُّنَشَّرَةً
ХIан-хIа‚ уьш ца кхоьру эхартах	كَلَّا بَل لَا يَخَافُونَ الْآخِرَةَ
ХIан-хIа! Баккъалла а, иза /Къуръан/ хьехам бу,	كَلَّا إِنَّهُ تَذْكِرَةٌ
Шена /нисвала/ луучо тлоцур бу и	فَمَن شَاء ذَكَرَهُ
Далла лаахь бен цара тлоцур-м бац. Иза ву /Шех/ кхеран охIла‚ Иза ву /Ша/ гечдаран охIла	وَمَا يَذْكُرُونَ إِلَّا أَن يَشَاء اللَّهُ هُوَ أَهْلُ التَّقْوَى وَأَهْلُ الْمَغْفِرَةِ
ХIан-хIа! Дуй боу Ас къематденца	لَا أُقْسِمُ بِيَوْمِ الْقِيَامَةِ
ХIан-хIа! Дуй боу Ас дукха бехкаш бохучу сица	وَلَا أُقْسِمُ بِالنَّفْسِ اللَّوَّامَةِ
Адамна моьтту-те Оха янне гулйийр яц шен даьIахкаш?	أَيَحْسَبُ الْإِنسَانُ أَلَّن نَجْمَعَ عِظَامَهُ
ХIаъ! Ницкъ болуш ду /Тхо/ цуьнан пIелгаш /гулдина‚ вовшахтоьхна/ дIанисдан	بَلَى قَادِرِينَ عَلَى أَن نُّسَوِّيَ بَنَانَهُ
ХIаъ‚ луу адамна къинош дан /и къематде харцдарца/ шен хьалха /йисинчу заманчохь/	بَلْ يُرِيدُ الْإِنسَانُ لِيَفْجُرَ أَمَامَهُ
Хотту цо /къинош динчу керста адамо, ца вешаш/: 'Маца хир ду и къематде?'	يَسْأَلُ أَيَّانَ يَوْمُ الْقِيَامَةِ
БIаьрса /хьере хилла/ дIатохаделча	فَإِذَا بَرِقَ الْبَصَرُ
Бутт лаьцича /шен нур дIадихьна‚ бода хилча/	وَخَسَفَ الْقَمَرُ
Малх а‚ бутт а вовшахтоьхча	وَجُمِعَ الشَّمْسُ وَالْقَمَرُ
Эр ду адамо оцу /къемат/дийнахь: 'Мичахь ю дIавадан меттиг?'	يَقُولُ الْإِنسَانُ يَوْمَئِذٍ أَيْنَ الْمَفَرُّ
ХIан-хIа! ДIавадан меттиг ма яц!	كَلَّا لَا وَزَرَ
Хьуо Кхиош-кхобучунна тIе ю оцу дийнахь дIанисвалан меттиг	إِلَى رَبِّكَ يَوْمَئِذٍ الْمُسْتَقَرُّ
ДIадуьйцур ду оцу дийнахь адаме цо хьалхадаьккхинарг а‚ цо тIаьхьатаьттинарг а	يُنَبَّأُ الْإِنسَانُ يَوْمَئِذٍ بِمَا قَدَّمَ وَأَخَّرَ
ХIаъ‚ тIаккха адам ша шена тIехь теш хир ду-кх (массо а межено тешалла дийр ду ша диначунна тIехь)	بَلِ الْإِنسَانُ عَلَى نَفْسِهِ بَصِيرَةٌ
Шен бехказлонаш цо мел ялича а /къобалйийр яц уьш/	وَلَوْ أَلْقَى مَعَاذِيرَهُ
Хьан мотт ма хьавзабе /Джабраил малико хьайга Къуръанан аяташ доьшучу хенахь/ цуьнца сих валархьама /хьайна дагахь цадисаран кхоьруш, хIай Мухьаммад/	لَا تُحَرِّكْ بِهِ لِسَانَكَ لِتَعْجَلَ بِهِ
Баккъалла а, Тхуна тIехь ду иза гулдар а /хьан дагчохь/‚ иза дешийтар а /хьан маттаца/	إِنَّ عَلَيْنَا جَمْعَهُ وَقُرْآنَهُ
Оха иза доьшуш, тIаьхьахIотта цуьнан дешарна	فَإِذَا قَرَأْنَاهُ فَاتَّبِعْ قُرْآنَهُ
ТIаккха Тхуна тIехь ду иза билгалдаккхар а	ثُمَّ إِنَّ عَلَيْنَا بَيَانَهُ
ХIаъ! Шу ма дезаш ду сиханиг	كَلَّا بَلْ تُحِبُّونَ الْعَاجِلَةَ
Аш /дтесна/ дуьтуш ма ду тIаьхьарниг (эхарт)	وَتَذَرُونَ الْآخِرَةَ
Цхьа яххьаш хир ю оцу дийнахь екхаелла‚	وُجُوهٌ يَوْمَئِذٍ نَّاضِرَةٌ
Шаьш Кхиош-кхобучуьнга хьоьжуш	إِلَى رَبِّهَا نَاظِرَةٌ
Цхьа /кхин/ яххьаш хир ю оцу дийнахь мархаелла	وَوُجُوهٌ يَوْمَئِذٍ بَاسِرَةٌ
Шайна тIехь боккха ницкъ бина хьуна хеталуш	تَظُنُّ أَن يُفْعَلَ بِهَا فَاقِرَةٌ
ХIан-хIа! /Са озина доккхуш/ и логе кхаьчча, /цо сауьйзуш/,	كَلَّا إِذَا بَلَغَتْ التَّرَاقِيَ
Эр ду /цуьнан гергарчара/: 'Хьан тавийр вара /хра/?'	وَقِيلَ مَنْ رَاقٍ
Хуур ду /адамна/ хIара /дуьненах/ дIакъастар дуйла	وَظَنَّ أَنَّهُ الْفِرَاقُ
/Сауьйзуш ветталуш/ ност ностарх кхетар ю	وَالْتَفَّتِ السَّاقُ بِالسَّاقِ
Хьуо Кхиош-кхобучуьнга хир ду оцу дийнахь /нах/ дIалахкар /шаьш йинчу Iамалах бекхам эцан/	إِلَى رَبِّكَ يَوْمَئِذٍ الْمَسَاقُ
Бакъ ца дора / керста адамо хIара дин/‚ ламаз а ца дора	فَلَا صَدَّقَ وَلَا صَلَّى
Амма харцдора /Къуръан/‚ юхавелира /ийманах/	وَلَكِن كَذَّبَ وَتَوَلَّى
ТIаккха шен доьзална тIе воьдура кураволуш	ثُمَّ ذَهَبَ إِلَى أَهْلِهِ يَتَمَطَّى
Ма бāла бу хьуна‚ ма бāла бу!	أَوْلَى لَكَ فَأَوْلَى
ТIаккха ма бāла бу хьуна‚ ма бāла бу!	ثُمَّ أَوْلَى لَكَ فَأَوْلَى
Моьттуш ду-те адамна ша эрна дуьтур ду /дендина барт ца хоттуш /?	أَيَحْسَبُ الْإِنسَانُ أَن يُتْرَكَ سُدًى
Иза (адам) дацара ткъа /хилла/ тIадамах (зудчунна чу кхоьссинчу стеган хих)?	أَلَمْ يَكُ نُطْفَةً مِّن مَّنِيٍّ يُمْنَى
ТIаккха дукъаделла ц хилира цунах. ТIаккха Цо кхоьллира /цунах адам/‚ нисвира иза /шен меженашца/	ثُمَّ كَانَ عَلَقَةً فَخَلَقَ فَسَوَّى
ТIаккха цунах Цо хилийтира шиъ: боьрша стаг а‚ зуда а	فَجَعَلَ مِنْهُ الزَّوْجَيْنِ الذَّكَرَ وَالْأُنثَى
Ткъа И /Дела, Ша цу кепара тамаше хманаш кхоьллинарг/ ницкъ кхочуш вац белларш денбан? /Ву, делора!/	أَلَيْسَ ذَلِكَ بِقَادِرٍ عَلَى أَن يُحْيِيَ الْمَوْتَى
Еара май  адамна тIе заманан цхьа киртиг, и ша хьехон хIума а йоцуш	هَلْ أَتَى عَلَى الْإِنسَانِ حِينٌ مِّنَ الدَّهْرِ لَمْ يَكُن شَيْئًا مَّذْكُورًا
Баккъалла а, Оха кхоьллира адам ийначу тIадамах‚ Оха иза зуьйш ву /тIе декхарш дихкарца‚ бāланаш кхиссарца/. ТIаккха хилийтира иза хозуш а‚ гуш а	إِنَّا خَلَقْنَا الْإِنسَانَ مِن نُّطْفَةٍ أَمْشَاجٍ نَّبْتَلِيهِ فَجَعَلْنَاهُ سَمِيعًا بَصِيرًا
Баккъалла а, Оха иза нисвира новкъа: я цо баркалла олуш‚ я керстадеш	إِنَّا هَدَيْنَاهُ السَّبِيلَ إِمَّا شَاكِرًا وَإِمَّا كَفُورًا
Баккъалла а, Оха кечйина цатешачарна зIайнаш а‚ буржолаш а‚/жоьжахатин/ цIе а	إِنَّا أَعْتَدْنَا لِلْكَافِرِينَ سَلَاسِلَا وَأَغْلَالًا وَسَعِيرًا
Баккъалла /Дала бохург деш/ дика хиллачара мер ду када чуьра /хаза маларш/ шех кафур (хаза хьожа йогIу хIума) тоьхна долу	إِنَّ الْأَبْرَارَ يَشْرَبُونَ مِن كَأْسٍ كَانَ مِزَاجُهَا كَافُورًا
Шовданан хи муьйлур ду Делан леша‚ шаьш и схьадоккхуш /шайна луучахь/ шортта схьадаккхарций	عَيْنًا يَشْرَبُ بِهَا عِبَادُ اللَّهِ يُفَجِّرُونَهَا تَفْجِيرًا
Уьш кхочушдеш бу /Далла Iибадат дан/ делла дош‚ уьш кхоьруш бу /къемат/ дийнах‚ шен вон чIогIа даьржина хиллачу	يُوفُونَ بِالنَّذْرِ وَيَخَافُونَ يَوْمًا كَانَ شَرُّهُ مُسْتَطِيرًا
Цара дао даар, шайна деззашехь, мискачунна а‚ боберана а‚ йийсарна а,	وَيُطْعِمُونَ الطَّعَامَ عَلَى حُبِّهِ مِسْكِينًا وَيَتِيمًا وَأَسِيرًا
/Шаьш олуш/: 'Оха дао шуна Делан юьхьана (Делан дуьхьа)‚ тхуна ца оьшу шуьгара бекхам а‚ баркалла а	إِنَّمَا نُطْعِمُكُمْ لِوَجْهِ اللَّهِ لَا نُرِيدُ مِنكُمْ جَزَاء وَلَا شُكُورًا
Баккъалла а, тхо кхоьру тхан Кхиош-кхобучуьнгара яххьаш чIогIа хебар йолчу дийнах'	إِنَّا نَخَافُ مِن رَّبِّنَا يَوْمًا عَبُوسًا قَمْطَرِيرًا
Дала ларийра уьш оцу дийнан вонах‚ диллира /церан яьххьаш т/ бослепар а‚ хазахетар а	فَوَقَاهُمُ اللَّهُ شَرَّ ذَلِكَ الْيَوْمِ وَلَقَّاهُمْ نَضْرَةً وَسُرُورًا
Бекхам бира царна шаьш /Далла ечу Iамална тIехь/ собар дарна бешций‚ дариций	وَجَزَاهُم بِمَا صَبَرُوا جَنَّةً وَحَرِيرًا
Цигахь уьш Iийр бу маьнганий тIетевжина. Царна гур бац цигахь малх а‚ шело а‚	مُتَّكِئِينَ فِيهَا عَلَى الْأَرَائِكِ لَا يَرَوْنَ فِيهَا شَمْسًا وَلَا زَمْهَرِيرًا
Гергахь хир ду царна /цу бешан/ IиндагIа‚ охьакхевдина хир бу цуьнан стоьмаш охьакхавдарах (аьтто хуьлуш шаьш бāха ира хIоьттина волчунна а‚ охьа хиъна волчунна а‚ вижна волчунна а)	وَدَانِيَةً عَلَيْهِمْ ظِلَالُهَا وَذُلِّلَتْ قُطُوفُهَا تَذْلِيلًا
Царна тIехьийзор бу датон пхьегIаца‚ чохь са гучу кадаца /кегий нах/	وَيُطَافُ عَلَيْهِم بِآنِيَةٍ مِّن فِضَّةٍ وَأَكْوَابٍ كَانَتْ قَوَارِيرَا
Датон чохь са гучу кадаца (оцу тIехьийзачара хьуна мала бегIийла йолчу кепара малар) дIалуш	قَوَارِيرَ مِن فِضَّةٍ قَدَّرُوهَا تَقْدِيرًا
Цигахь малор бу чагIаран кад‚ шех занжабил тоьхна болу	وَيُسْقَوْنَ فِيهَا كَأْسًا كَانَ مِزَاجُهَا زَنجَبِيلًا
Цигахь /малор ду/ шовда‚ шех салсабиль олу	عَيْنًا فِيهَا تُسَمَّى سَلْسَبِيلًا
Царна тIехьийзар бу къан ца лун кегирхой‚ хьуна уьш гича, дIасадаржина луълуъ ду моьттуш	وَيَطُوفُ عَلَيْهِمْ وِلْدَانٌ مُّخَلَّدُونَ إِذَا رَأَيْتَهُمْ حَسِبْتَهُمْ لُؤْلُؤًا مَّنثُورًا
Хьо хьежначу хенахь‚ цигахь хьуна гур ду ниIматаш а‚ доккха /чакхе йоцуш/ мулк (ниIмат, Дала хьуна делла долу)	وَإِذَا رَأَيْتَ ثَمَّ رَأَيْتَ نَعِيمًا وَمُلْكًا كَبِيرًا
Царна тIедуьйхина хир ду дуьткъачу баьццара дарин духар а‚ стоммачу дарин духар а‚ уьш хазбина хир бу датон чIагаршца‚ уьш Кхиош-кхобучо царна малор ду цIена малар а	عَالِيَهُمْ ثِيَابُ سُندُسٍ خُضْرٌ وَإِسْتَبْرَقٌ وَحُلُّوا أَسَاوِرَ مِن فِضَّةٍ وَسَقَاهُمْ رَبُّهُمْ شَرَابًا طَهُورًا
Баккъалла а, хIара хили шуна бекхамна /аш йина дика Iамалш бахьанехь/‚ шун /дуьненахь/ къахьегар хили /хнца/ баркалле'	إِنَّ هَذَا كَانَ لَكُمْ جَزَاء وَكَانَ سَعْيُكُم مَّشْكُورًا
Баккъалла а, Оха доссора хьоьга Къуръан /кIез-кIеззиг/ доссорца	إِنَّا نَحْنُ نَزَّلْنَا عَلَيْكَ الْقُرْآنَ تَنزِيلًا
Хьо собаре хила хьуо Кхиош-кхобучун хьукамна‚ хьо муьтIахь ма хила царах къинош дечунна а‚ /дин/ керста дечунна	فَاصْبِرْ لِحُكْمِ رَبِّكَ وَلَا تُطِعْ مِنْهُمْ آثِمًا أَوْ كَفُورًا
Ахь хьехае хьуо Кхиош-кхобучун цIе Iуьйранна а‚ суьйрана а.(Ламазаш де, Iибадат де Далла)	وَاذْكُرِ اسْمَ رَبِّكَ بُكْرَةً وَأَصِيلًا
Буьйсанах а /цхьана декъехь/ сужуд де Цунна‚ тасбахь а де Цунна еххачу буьйсана. (Буьйса денъе Далла Iибадат дарца)	وَمِنَ اللَّيْلِ فَاسْجُدْ لَهُ وَسَبِّحْهُ لَيْلًا طَوِيلًا
Баккъалла а, хIорш дукхадезаш бу сиха чекхдаьр дерг (дуьне)‚ дуьту шайна тIехьахь деза (хала) де  /къематде/	إِنَّ هَؤُلَاء يُحِبُّونَ الْعَاجِلَةَ وَيَذَرُونَ وَرَاءهُمْ يَوْمًا ثَقِيلًا
Оха кхоьллина уьш‚ чIагIйина церан меженаш. Тхуна лиъча, Оха /уьш/ хийцор бара царах терачаьрца хийцорца	نَحْنُ خَلَقْنَاهُمْ وَشَدَدْنَا أَسْرَهُمْ وَإِذَا شِئْنَا بَدَّلْنَا أَمْثَالَهُمْ تَبْدِيلًا
Баккъалла а, хIара хьехам бу‚ шена луучо тлаьцна /иза/ ша Кхиош-кхобучуьнга некъ бина	إِنَّ هَذِهِ تَذْكِرَةٌ فَمَن شَاء اتَّخَذَ إِلَى رَبِّهِ سَبِيلًا
Шуна луур дац Далла лаахь бен. Баккъалла а, Дела хили хууш верг а‚ хьукам /нийса/ деш верг а	وَمَا تَشَاؤُونَ إِلَّا أَن يَشَاء اللَّهُ إِنَّ اللَّهَ كَانَ عَلِيمًا حَكِيمًا
Цо вохуьйту Шена луург Шен къинхетамна чу. Ткъа зуламхой  царна Цо кечдина лазош долу Iазап	يُدْخِلُ مَن يَشَاء فِي رَحْمَتِهِ وَالظَّالِمِينَ أَعَدَّ لَهُمْ عَذَابًا أَلِيمًا
ТIеттIа дохуьйтучу мехашца /дуй боу Ас/‚	وَالْمُرْسَلَاتِ عُرْفًا
Нуьцкъала хьоькхучу мехашца /дуй боу Ас/‚	فَالْعَاصِفَاتِ عَصْفًا
/ДогIа/ даржочу мехашца /дуй боу Ас/‚ /я догIа даийта мархаш лохкучу маликех/,	وَالنَّاشِرَاتِ نَشْرًا
/Бакъдерг харцдолчух‚ хьаналдерг хьарамдолчух/ къасточу /маликашца/ дуй боу Ас‚	فَالْفَارِقَاتِ فَرْقًا
Хьехам /пайхамаршка/ дIалуш долчу /маликашца/ /дуй боу Ас/‚	فَالْمُلْقِيَاتِ ذِكْرًا
/Далла наха/ бехк ца биллитарна /шайга элчанаш ца баийтира‚ аьлла/‚ /Делера/ кхерам тасарца а /доуьйту и вехьеш/:	عُذْرًا أَوْ نُذْرًا
Баккъалла а, шуна ваIда йинарг хилаза ца долу /и къематде догр ду:/	إِنَّمَا تُوعَدُونَ لَوَاقِعٌ
Седарчий дIадайинчу хенахь‚	فَإِذَا النُّجُومُ طُمِسَتْ
Стигал единчу хенахь‚	وَإِذَا السَّمَاء فُرِجَتْ
Лаьмнаш нисдина дIасадаьржинчу хенахь‚	وَإِذَا الْجِبَالُ نُسِفَتْ
Элчанаш /гулбан тешалла дан/ хан тоьхначу хенахь	وَإِذَا الرُّسُلُ أُقِّتَتْ
Муьлхачу денна тIаьхьатаьттина /элчанийн тешалла/?	لِأَيِّ يَوْمٍ أُجِّلَتْ
Къастаман денна!	لِيَوْمِ الْفَصْلِ
Стено хаийтина хьоьга /хIай Мухьаммад/‚ хIун ду и къастаман де?	وَمَا أَدْرَاكَ مَا يَوْمُ الْفَصْلِ
Боккха бāла бу оцу дийнахь /дин/ харцдечарна	وَيْلٌ يَوْمَئِذٍ لِّلْمُكَذِّبِينَ
Оха хIаллак ца бина хьалха хилларш?	أَلَمْ نُهْلِكِ الْأَوَّلِينَ
ТIаккха царна тIаьхьабохуьйтур бу Оха тIаьхьахилларш	ثُمَّ نُتْبِعُهُمُ الْآخِرِينَ
Иштта /таар/ до Оха къинош леточарна	كَذَلِكَ نَفْعَلُ بِالْمُجْرِمِينَ
Боккха бāла бу оцу дийнахь /дин/ харцдечарна	وَيْلٌ يَوْمَئِذٍ لِّلْمُكَذِّبِينَ
Оха ца кхоьллина шу хIумма йоцчу хих?	أَلَمْ نَخْلُقكُّم مِّن مَّاء مَّهِينٍ
Тккха Оха дIа ма нисдира иза чIогIачу меттигехь	فَجَعَلْنَاهُ فِي قَرَارٍ مَّكِينٍ
Цхьа билгала хан тIекхаччалц	إِلَى قَدَرٍ مَّعْلُومٍ
Оха дIанисдира‚ дика дIанисдийраш а ду /Тхо/	فَقَدَرْنَا فَنِعْمَ الْقَادِرُونَ
Боккха бāла бу оцу дийнахь /дин/ харцдечарна	وَيْلٌ يَوْمَئِذٍ لِّلْمُكَذِّبِينَ
Оха ца хилийтира латта /шуна/ дIатардала меттиг хила,	أَلَمْ نَجْعَلِ الْأَرْضَ كِفَاتًا
Дийна болчарна а‚ беллачарна а?	أَحْيَاء وَأَمْوَاتًا
Оха хилийтира цунна (латтана) тIехь лекха лаьмнаш‚ шуна малора теза хи (хаза чам болу, дегна томе долу хи)	وَجَعَلْنَا فِيهَا رَوَاسِيَ شَامِخَاتٍ وَأَسْقَيْنَاكُم مَّاء فُرَاتًا
Боккха бāла бу оцу дийнахь /дин/ харцдечарна	وَيْلٌ يوْمَئِذٍ لِّلْمُكَذِّبِينَ
/Эр ду маликаша/: 'ДIагIо /хIинца/ шаьш ша харцдеш хиллачунна (жоьжахатин Iазапна) тIе!	انطَلِقُوا إِلَى مَا كُنتُم بِهِ تُكَذِّبُونَ
ДIагIо шен кхо дāкъа долчу IиндагIе!'	انطَلِقُوا إِلَى ظِلٍّ ذِي ثَلَاثِ شُعَبٍ
IиндагIа а хир дац /цунах/‚ цIерах а ларор дац цо	لَا ظَلِيلٍ وَلَا يُغْنِي مِنَ اللَّهَبِ
Баккъалла а, цо суйнаш кхуьссур ду, гIаланаш санна (даккхий)‚	إِنَّهَا تَرْمِي بِشَرَرٍ كَالْقَصْرِ
Шаьш можа эмкалш санна	كَأَنَّهُ جِمَالَتٌ صُفْرٌ
Боккха бāла бу оцу дийнахь /дин/ харцдечарна!	وَيْلٌ يَوْمَئِذٍ لِّلْمُكَذِّبِينَ
Иза де ду  уьш бист хир бац	هَذَا يَوْمُ لَا يَنطِقُونَ
Царна пурба лур дац тIаккха цара бехказлонаш ян	وَلَا يُؤْذَنُ لَهُمْ فَيَعْتَذِرُونَ
Боккха бāла бу оцу дийнахь /дин/ харцдечарна!	وَيْلٌ يَوْمَئِذٍ لِّلْمُكَذِّبِينَ
Иза къастаман де ду. Оха гулдийр ду шу а‚ хьалхарнаш а	هَذَا يَوْمُ الْفَصْلِ جَمَعْنَاكُمْ وَالْأَوَّلِينَ
Шайна цхьа мекарло хиллехь‚ йе Суна /шайн/ мекарло!	فَإِن كَانَ لَكُمْ كَيْدٌ فَكِيدُونِ
Боккха бāла бу оцу дийнахь /дин/ харцдечарна!	وَيْلٌ يَوْمَئِذٍ لِّلْمُكَذِّبِينَ
Баккъалла а, /Делах/ кхоьруш берш  уьш хир бу IиндагIехь а‚ шовданашкахь а‚	إِنَّ الْمُتَّقِينَ فِي ظِلَالٍ وَعُيُونٍ
Шайна безначу стоьмашкахь а	وَفَوَاكِهَ مِمَّا يَشْتَهُونَ
ГIоза даа‚ гIоза мала шаьш Iамал йина ма хилла!	كُلُوا وَاشْرَبُوا هَنِيئًا بِمَا كُنتُمْ تَعْمَلُونَ
Оха иштта бекхам бо дикачарна!	إِنَّا كَذَلِكَ نَجْزِي الْمُحْسِنينَ
Боккха бāла бу оцу дийнахь /дин/ харцдечарна!	وَيْلٌ يَوْمَئِذٍ لِّلْمُكَذِّبِينَ
Даа‚ кIеззиг пайда эца /дуьненахь/: баккъалла а, шу къинош динарш ду-кх!	كُلُوا وَتَمَتَّعُوا قَلِيلًا إِنَّكُم مُّجْرِمُونَ
Боккха бāла бу оцу дийнахь /дин/ харцдечарна!	وَيْلٌ يَوْمَئِذٍ لِّلْمُكَذِّبِينَ
Цаьрга элча: 'Гора гIо /ламаз де/!'  уьш гора ца гIора	وَإِذَا قِيلَ لَهُمُ ارْكَعُوا لَا يَرْكَعُونَ
Боккха бāла бу оцу дийнахь /дин/ харцдечарна!	وَيْلٌ يَوْمَئِذٍ لِّلْمُكَذِّبِينَ
Муьлхачу дийцарах цул тIаьхьа уьш тешар бу?	فَبِأَيِّ حَدِيثٍ بَعْدَهُ يُؤْمِنُونَ   ( الجزء الثلاثون )
Стенах /лаьцна/ вовшашка хоьтту цара?	عَمَّ يَتَسَاءلُونَ
Сийлахь-доккхачу хабарх!	عَنِ النَّبَإِ الْعَظِيمِ
Шаьш цу чохь хилпало йолуш долчу	الَّذِي هُمْ فِيهِ مُخْتَلِفُونَ
ХIан-хIа! ТIаьхьа хуур ду царна!	كَلَّا سَيَعْلَمُونَ
ТIаккха а  хIан-хIа! ТIаьхьа хуур ду царна!	ثُمَّ كَلَّا سَيَعْلَمُونَ
Оха ца дина латта мотт хилла ?	أَلَمْ نَجْعَلِ الْأَرْضَ مِهَادًا
Лаьмнаш хьостамий хилла?	وَالْجِبَالَ أَوْتَادًا
Оха кхоьллина шу шиш (боьрша а‚ сте а)	وَخَلَقْنَاكُمْ أَزْوَاجًا
Оха хилийтина шун наб садаIар хилла	وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Оха хилийтина буьйса духар хилла	وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Оха хилийтина де дахар хилла /шайн хьашташ кхочушдан/	وَجَعَلْنَا النَّهَارَ مَعَاشًا
Оха йоьга шуна тIехула ворхI чIогIа /стигал/‚	وَبَنَيْنَا فَوْقَكُمْ سَبْعًا شِدَادًا
Оха бина тх лепаш чиркх (малх)	وَجَعَلْنَا سِرَاجًا وَهَّاجًا
Оха даийтина Iовдаш йолчу мархийн юккъера дуттуш долу хи (догIа)	وَأَنزَلْنَا مِنَ الْمُعْصِرَاتِ مَاء ثَجَّاجًا
Цуьнца Оха схьабаккхархьама буьртиг а‚ орамат а‚	لِنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا
Луьста бошмаш а	وَجَنَّاتٍ أَلْفَافًا
Баккъалла а, къастаман де хилла хан тоьхна	إِنَّ يَوْمَ الْفَصْلِ كَانَ مِيقَاتًا
Оцу дийнахь сур локхур ю  шу догIур ду тобанашца	يَوْمَ يُنفَخُ فِي الصُّورِ فَتَأْتُونَ أَفْوَاجًا
ДIаеллира стигал  цунах хилира неIарш	وَفُتِحَتِ السَّمَاء فَكَانَتْ أَبْوَابًا
ДIадихьира лаьмнаш  /царах/ дисира шаьш хилла сурт	وَسُيِّرَتِ الْجِبَالُ فَكَانَتْ سَرَابًا
