Моя история	Сара сҭоурых
И он его вызвал.	Нас иара диԥхьеит.
Зная его страсть к потерянной возлюбленной	Ишидыруаз иара агәазыҳәараӷәӷәа шимоу ицәыӡыз ибзиабаҩ лахь
Они решили захватить его,	Дара ирыӡбеит д-дырбаандаҩыртәыр,
Осквернили могилы его отца и брата,	Ихьымӡӷыркит иаби иашьеи рнышәынҭрақәа,
И оставили засаду на могиле возлюбленной.	Нас иахаҩеит ибзиабаҩ лнышәынҭра.
Но он вырвался из ловушки	Аха иара дампыҵҵит ацәҟьа.
И отнес ее тело в тайное место.	Нас иеигоит аԥсыбаҩ уаҩы иахизымдыруа аҭыԥахь.
Вот это любовь, правда?	Абри ауп абзиабара,ииашами?
Любовь?	Абзиабара?
Я не знаю.	Сара исыздыруам.
Знаешь, в конце концов	Иаарласны ашьапҩзы аҩадатәи ир, иҟалоит абра.
Длинноногий пошлет свою северную армию против нас.	Иаарласны ашьапҩзы аҩадатәи ир, иҟалоит абра.
Что ни одна армия не может выстоять против тяжелого всадника.	Акавалериа хьынҭа ҳзаиааиуам ҳәа.
Или сделать копья.	Ҳара иҟаҳҵоит хыци-хымпали.
- такие длинные?	- убри аҟара иаунуу?
- да.	- ааи.
Так люди же разного роста.	Ауаа зегьы рышәага еиԥшым, аӡә даууп, даҽаӡәы дкьаҿуп.
Что, твоя мама снова рассказывала истории про меня?	Уара уан дырҩагьых сара дсылацәажәозма?
Добровольцы пришли.	Хатәгәаԥхаралауаа ааит .
Уильям уоллес, мы пришли сражаться и умереть за вас.	Уилиам уалас, ҳара ҳааит ҳарҿагыларц насгьы ҳаԥсы ҭаҳхырц уара узы.
Меня зовут фодрон.	Сара исыхьӡуп форџьен.
Мой меч принадлежит вам.	Сара саҳәа уара уаҳәоуп.
Я привез вам это.	Сара иаазгеит …
Я красивее его.	Сара иара иацкьыс сыгәкуп.
Если я буду рисковать своей шеей из-за тебя,	Сара исоуеит аҭагылазаашьа имарианы англызцәа рышьра,
Получу ли я шанс убить англичан?	Изгәаӷьыр схы уара узыҳәан?
Твой отец призрак или ты беседовал с всевышним?	Уаб анаур деиԥшума ма анцәаду уиацәажәо?
Чтобы найти себе равного ирландцу приходится разговаривать с богом.	Иуаԥхнагалоу дуԥшаарц азын аирландуаҩ мчымхарыла диацәажәароуп анцәа.
Да, отец.	Ааи, саб.
Всевышний говорит:	Анцәа иҳәеит:
"не меняйте тему, просто отвечайте на чертовы вопросы"!	"иҳәа аҭак аҩсҭаа изҵаатәқәа, нас иумԥсахкәа аҵакы"!
- следи за языком.	- ашьшьыҳәа.
- безумный ирландец!	- аирланд бзамыҟәа!
Но достаточно умен, чтобы пронести кинжал мимо твоих стражников.	Аҟаруал ирывганы аҟама аиагара сылшазар, ишԥа саб.
Это мой друг, ирландец.	Ари са дасҩызоуп, аирланд.
Превосходно.	Даара ибзиоуп.
Меня зовут стивен.	Сара исыхьӡуп сҭивен.
На моем острове меня повсюду разыскивают.	Зегьы рецкис изышьҭоу сара соуп.
Конечно, сейчас я не на своем острове.	Аиаша сара уажә сыдгьыл бжьаха аҽакәӡам сахьыҟоу.
- и очень жаль.	- ари рыцҳашьароуп.
- твой остров?	- адгьыл бжьаха уара утәоума?
Ты безумец.	Ухы уақәиҭӡым.
Тогда я попал в нужное место.	Сааит иахьахәҭаз.
Конечно, не всевышний послал меня следить за тобой.	Анцәа ду сааишьҭит усыхьчарц уара.
Он мне все равно не нравился.	Иара ахаангьы дысгәаԥхомызт.
У него с головой было не в порядке.	Иара ихы дақәиҭӡымызт.
Англичане выдвинули войска на стерлинг.	Уилиам … англызцәа рыруаа азааигәахоит стерлинг ахь.
Дворяне собрались?	Аамсҭцәа рҽеизырган.
Роберт брюс и прочие не будут сражаться.	Роберт брус аиҳараҩык аамсҭцәа рҽазыршәом ақәылара.
И они собираются сотнями и тысячами.	Шәҩыла, зқьҩыла.
Стерлинг	Стерлинг
Какие новости?	Ажәабжьс иҟои?
У них перевес сил минимум трое к одному.	Дара рацәаҩуп, еиҳарак хынтә.
- сколько лошадей?	- заҟа ҽы ыҟоузеи?
- 300, может больше.	- хышә еиҳазаргьы ҟалап.
- 300 тяжелых лошадей!	- хышә ҽы?
- мы должны попробовать поговорить.	- ҳаиасып аицәажәарахь.
Кто командует?	Дарбану еиҳабу?хышә ҽы!
У него был алый шеврон?	Дара ирымоума ашеврон ҟаԥшь?
- да, был.	- дара ирымазар ҟалап ашәаҳәа?
- тогда это челтем.	- аии, сара исыԥхьаӡоит аицәажәарахь ҳаиасып ҳәа.
Но мы еще можем договориться.	Иаҭахуп аицәажәара.
О чем они говорят?	Излацәажәои дара?
Я не слышу, но мне это не нравится.	Исаӡом, аха иубартә иҟоуп аус шбашоу.
Знать будет договариваться.	Дара аицәажәарахь инеиуеит.
Они договорятся, и мы пойдем домой.	Еинаалар, аҩныҟа ҳцап.
Если нет, мы атакуем.	Мап анакәха, ҳрыжәлоит.
Так много.	Дара убасҟак ирацәоуп.
Я пришел сюда сражаться не за то, чтобы они получили больше земель.	Сара исҭахӡам сҭахар аамҭцәа ироурц адгьылқәа ирацәаны.
Тогда придется работать на них.	Иашоуп.
Не хочу.	Аӡәы ииҭахуп,
Ладно, ребята, я не буду умирать за этих ублюдков.	Дҭахарц абарҭ ахәымгақәа рзы.
Пошли домой.	Ҳгьежьып.
Стойте, люди!	Шәаангыл,
Всевышний говорит, что это почетная битва.	Анцәа ду ииҳәоит ари даара ибзиаӡоу қәылароуп.
Она собрала лучших людей.	Иара еднакылт иреиӷьӡоу ауаа.
Где твое приветствие?	Иабаҟоу аԥсшәа еибыҳәара?
Благодарю тебя, что прибыл на поле боя.	Сара иҭабуп ҳәа шәасҳәоит, шәара абраҟа шәахцәырҵыӡ аибашьра адәаҟны.
Это наша армия.	Ари ҳара ҳар ауп.
Принеси присягу, чтобы вступить в нее.	Уара ҳаидыумҵаӡеит,
Я принес присягу шотландии.	Сара еидысҵеит шоҭландиа.
И если это твоя армия,	Ари шәара шәыр акәзар,
Почему она бежит?	Изцози иара шьҭахҟа?
Мы пришли не для того, чтобы сражаться за них.	Аӡәгьы иҭахӡам дҭахар аамсҭцәа рзы.
Сыновья шотландии!	Шоҭландиа аԥацәа!
Я - уильям уоллес.	Сара уилиам уалас соуп.
- уильям уоллес ростом два метра.	- уилиам уалас 2-метрак деиҳауп.
- да, я слышал.	- ааи исаҳаит.
Он сотнями убивает людей.	Иршоит шәаҩыла аӷацәа.
Если бы он был здесь, он бы истребил англичан одним взглядом	Иара абра дыҟазар, иқәихон англызцәа лаԥшыла,
И громом от своего зада.	Нас идәықәиҵон амацәыс еиԥш иашьҭахь ала.
Я и есть уильям уоллес!	Сара уилиам уалас соуп.
И я вижу целую армию моих соотечественников,	Сара избоит ар дуӡӡа, дара зегьы сыуаажәлар роуп,
Борцов с тиранией.	Изыӡбыз аиуара атераниахь.
Вы пришли сражаться, как свободные люди.	Шәара шәааит ақәԥара зхы иақәиҭу ауаа реиԥш,
Вы и есть свободные.	Шәарҭ ус шәагьыҟоуп.
Что вы будете делать без свободы?	Ахақәиҭрада ҳара ҳбашоуп.
Будете сражаться?	Шәара шәаҽагылома?
Да.	Уқԥа.
Сражайтесь и можете погибнуть.	Уара иҟалоит уԥсыр.
Бегите и выживете.	Убнал, уԥсы ҭазаауеит.
Какое-то время.	Аамҭанык.
Но умирая в своих кроватях, много лет спустя,	Акыр аамҭа анҵлак шәанԥсуа шәиарҭаҟны,
Захотите ли вы обменять	Шәара ишәҭаххоит арханҳәра,
Все дни после сегодняшнего	Арҭ ашықәсқәа зегьы,
На один шанс, всего один шанс,	Шанск азы, еидкыланы шанск азоуп.
Чтобы вернуться сюда и сказать врагам,	Шәара шәгежьны ирашәҳәа ҳаӷацәа,
Что они могут забрать наши жизни,	Ахаангьы ҳаԥсҭазаара ҳамырхыргьы
Но, тем не менее, нам стоит доставить условие короля.	Шәхаҵкы, аха зны ираҳәатәуп акрал игәазыҳәарақәа.
Они никогда не согласятся на них.	Сара агәра згоит дара ирыдыркылаӡом иара игәазыҳәарақәа.
Хорошо.	Ибзиоуп.
Прекрасная речь.	Даара ибзиоуп ицәажәара,
Что нам теперь делать?	Нас уажәжьҭа иҟаҳҵои?
Просто быть самими собой.	Ҳаанхап ҳа ҳшыҟоу.
- куда ты?	- уабацои уара?
- собираюсь принять бой.	- исҭахуп аидыслара сыдыскылар.
Морней, лохлан, крейг.	Морне, локлан, крег.
Вот условия короля.	Ари акрал игәазыҳәароуп,
Уведите свою армию с поля,	Иқәжәга шәыр аибашьра адәы аҟнытә.
И каждому из вас он пожалует поместье в иоркшире,	Нас шәыззагьы ишәоуеит адгьылқәа иокшер аҿы.
С которого вы будете платить королю...	Шәара есышықәса аҟәрышь ишәҭалоит акрал.
- я сказал, у меня есть предложение.	- сара исымоуп, сҳәеит ажәалагала.
- ты не уважаешь знамя переговоров.	Пату ақәуҵаӡом уара аиналара абираҟ.
От его короля?	Абри икрал иҟнытә?
Совершенно верно.	Зынӡа.
Вот условие шотландцев.	Абар шоҭландиа агәазыҳәарақәа.
Но у каждого дома, мимо которого будете проезжать,	Ҩныцыԥхьаӡа шәнеины аҭамзаара шьҭашәҵа,
Просите прощения за 100 лет разбоя, насилия и убийств.	Шәышықәсатәи шәқәыларақәеи, аҳәса рцәаԥҽреи, ауаҩшьрақәеи рзы.
Выполните это, и ваши люди выживут.	Убас иҟашәҵар шәыр рыԥсы ҭазаауеит,
Не выполните, и каждый из вас сегодня погибнет.	Иҟашәымҵар зегьы абра шәыԥсоит.
Вас же слишком мало.	Шәара даара шәмаҷуп.
И у вас нет тяжелой кавалерии.	Шәара ишәымаӡам ихьанҭу ковалериа.
За два столетия ни одна армия не побеждала...	Ҩышә шықәса рыла зныкгьы шәзымаиааиӡит.
Я не закончил!	Сара саламгаӡацт,
Перед тем, как мы отпустим вас,	Шәара шәоуҳашьҭаанӡа,
Ваш командующий должен перейти это поле, предстать перед этой армией,	Шәеиҳабы абри адәы дахысны ҳар рҽаԥхьа
Засунуть голову себе между ног и поцеловать себя в зад.	Даагыланы ихы кылеиҳәоит итәаӷәбжьара, нас иаҳә дагәӡоит.
Думаю, он привык к более сердечному обращению.	Иара дашьццылаӡам ари аҩыза ихьшәашәадкылара.
Будьте готовы делать то, что я скажу, по моему сигналу.	Шәгәашәҽаныз абас аҟаҵара … сара сдырраҭарала,
Объезжайте нашу позицию и заходите с фланга.	Шәара англызцәа шәрывсны шәнеиоит дара ахьыҟоу.
- мы не должны разделять войска.	- ҳәара ҳамчқәа еиҟәшәар ҟалаӡом.
- сделайте это.	- иҟашәҵа.
И пусть англичане это заметят.	Нас англызцәа убри рбааит.
Они подумают, что мы бежим?	Ҳаҩны ҳца џьыршьоит.
Хорошо.	Ибзиоуп.
Поехали.	Ҳдәықәшәҵа.
Кичливый ублюдок!	Цәгьаԥхамшьа.
Я хочу голову этого уоллеса на блюде.	Исзажәга абра уалас игәы ҭыхны.
Лучники.	Ахыци ахымпалы ахысыҩцәа, ахыци ахымпалы...
Ублюдки!	Ахысыҩцәа!
Господь подсказывает мне, что он выведет меня из этой стычки,	Ҳазшаз иҳәеит салахоит абри аханҭа-ҩынҭара.
Но еще он уверен, что ты псих.	Уара уашәа нагӡоуп.
Скачите.	Шәыҩ.
Готовьтесь!	Шәыҽшәырмазеи!
Держись!	Ҳаԥшуп!
Держись!	Ҳаԥшуп!
Держись!	Ҳаԥшуп!
Держись!	Ҳаԥшуп!
Взяли!	Шәалааа!
- посылайте пехоту.	- ашьаҟауаа шьҭы.
- мой господин...	- шәхаҵкы...
Ты поведешь их.	Уара ԥхьаҟа иугоит.
Ублюдок!	Алахша!
Вперед!	Ԥхьаҟа!
Отлично.	Даара ибзиоуп.
Уоллес.	Уалас.
Уоллес.	Уалас, уалас…
Посвящаю тебя в рыцари,	Еизыккоит уилиам уалас иаамсҭара,
Сэр уильям уоллес.	Аамсҭа уилиам уалас.
Мы назначаем тебя стражем и высоким защитником шотландии,	Уара иуаҭәаҳшьоит шоҭландиа еиқәырхаҩык,
А твоих военачальников адъютантами.	Иасгьы хьчаҩык еиԥш.
Вставай и прими свое звание.	Шәгыл уи ус иҟалоит.
Кто-нибудь знает его политику?	Аӡәыр идыруама иара игәаанагара?
Нет, но его влияние на простолюдинов может все расстроить.	Мап, аха иара инырра ауаа рышҟа зегьы рзы иаанагоит аиҭакапанра.
Балиоль будет целовать ему задницу, так что нам тоже придется.	Ирҭахымкәа иара икәхшалоит, иара ҳаргьы.
Так как ваши военачальники и вы происходите из района,	Уареи уара ур уааи аобласть аҟнытә
Который давно поддерживал клан балиолей,	Ажәытә-натә аахишьҭеи идгалаҩцәа клан балио,
Можем ли мы пригласить вас возобновить поддержку	Ҳара иҳалшома шәара шәыцхыраара насгьы наҟ-наҟ
И поддержать наши законные притязания?	Ҳара ҳаԥҟарақәа аанхарц азы.
Черт побери клан балиолей!	Аҩсҭаацәа дырфааит балиоли.
Они все люди длинноногого.	Дара ашьапҩзы ицааит.
Джентльмены.	Шәхацкы!
- джентльмены.	- иааит аамсҭа.
- пришло время провозгласить короля.	- ихьӡ ҳәара акрал.
- вы не поддержали законного короля.	- шәара енагь азакәан аԥҟарақәа шәырҽагылан.
- это ложь, которую ты сам состряпал.	- уа иану уи имцӡами?
Нет.	О мап.
Пожалуйста, джентльмены.	Сшәыҳәоит иҟалозар шәхацкы.
Мы победили англичан.	Ҳара иаҳҟәыбеит англызцәа,
- что вы сделаете?	- шәара ишәҭахи?
- я вторгнусь в англию	- сара англиаҟа сцаны,
И уничтожу англичан на их земле.	Нас дара убра инсырҵәоит.
Вы так озабочены ссорами за объедки со стола длинноногого,	Шәарҭ шәахӡыӡаауеит, шәазықәԥоит ахәаша аишәа аҟнытә ииршәо ашьапҩзы,
Что вы променяли ваше богом данное право на что-то получше?	Ишәхашҭит азин анцәа ду ишәиҭаз.
Между нами есть разница.	Убри ауп ҳара ҳазмырҩашьуа.
Вы считаете, что народ шотландии существует,	Шәара шәтәала ажәлар
Чтобы поддерживать вас в вашем положении.	Шәҭагылазаашьа еибырҭоит,
А я считаю, что ваше положение существует,	Аха сара уисыԥхьаӡоит шәҭагылазаашьа иҟоу
Чтобы поддерживать свободу народа.	Ианаҭоит ажәлар ахақәиҭра.
И я позабочусь, чтобы она у него была.	Иара убри азоуп сара сызцо убрахь.
Но пойми, у этих людей есть земли и замки.	Аха ишәхашәмыршҭын дара ирымоу адгьылқәеи абаашқәеи,
Им есть чем рисковать.	Дара рзыҳәан ари агәаӷьроуп.
А простолюдин, который истекает кровью в бою,	Аибашьра адәаҟны ауаҩ агәаӷьра
Разве он меньше рискует?	Имоу маҷума?
Нет, но сверху донизу в этой стране нет чувства достоинства.	Мап … аха ахдырра ари атәылаҟны зынӡа иамаӡам.
Знать сохраняет верность англии.	Аҭауадеи англиеи аимадара рыбжьоуп,
- кланы воюют друг с другом.	- ажәлақәа еибашьоит дара-дарала.
- да.	- ааи.
Если ты создашь врагов по обе стороны границы, ты погибнешь.	Рыҩџьа рыбжьара иҟалар аӷацәа, шәара шәыԥсуп.
Все в конце концов погибнут.	Нас ҳаззагьы ҳаԥсоит.
Вопрос только как и зачем.	Азҵаара ишԥа нас иззакәи?
Но нам нужна знать.	Аха аҭауадцәа иаҳҭахуп.
- нужна?	- ииашану?
- да.	- аеи.
Твой титул дает право на трон нашей страны,	Шәара шәтитул ишәнаҭоит азин апрестол ахь анеира.
Но ведь люди не идут за титулами.	Зегь рацкьыс ихадоуп атитулқәа,
Они идут за смелостью.	Ажәлар дәыкәлоит ахаҵарахь.
Теперь наши люди знают тебя.	Ажәлар шәырдыруеит шәара.
Знать и простые люди уважают тебя.	Ауаа башақәеи аҭауадцәеи ишәхьԥшны
Если ты поведешь их к свободе,	Ицозар аиаша мҩахь насгьы аҭынчра мҩа ахь,
Они последуют за тобой.	Дара имхәыцӡакәа ишәышьҭаланы ицоит,
И я тоже.	Иара саргьы сцоит.
Что не может одолжить мне войска.	Исиҭом ар,
И каждый город в северной англии молит о помощи.	Аха аҩадатәи англиа иаарыԥхьоит ацхыраарахь.
Он наступает.	Иара джәылоит.
- на какой город?	- иарбану қалақьу?
- на этот, мой господин.	- арахь шәхацкы.
Все припасы и пищу внутрь, удвоить стражу на стенах,	Днага аҩнуҵҟа, акрал ҩбашәтә, агәашәқәа ашәыркы, шәласы.
Закрыть ворота, живо!	Агәашәқәа ашәыркы.
Я не смогу сказать дяде, что потерял самый великий город северной англии.	Сара изысцҳароуп саб иашьа изысцәыӡыз иреиҳаӡоу ақалақь аҩадатәи англиа.
Вперед!	Ԥхьаҟа!
Дорогу королю!	Амҩа ишәҭ акрал!
Это не ваша вина.	Ари уара иухараӡам.
- выйдите к нему.	- иҳәа уара угәаанагара.
- я выйду к нему.	- сара исҳәоит сгәаанагара иҵегьы иацҵаны.
Какие новости из севера?	Ажәабжьыс иҟоузеи?
Ничего нового, ваше величество.	Акагьы,
Мы послали гонцов, чтобы донести все известия.	Ҳара иаҳшьҭит аҽыҩцәа иааргарц ажәабжь ҽыцқәа.
Я слышал известие во франции,	Сара исаҳаит, франциа,
Где я сражался за расширение твоего будущего королевства.	Сахықәԥози иахьеиҳастәози уара уаԥхьатәи уԥеиԥш иумпыҵаку адгьыл.
И мне сообщили, сын мой, что вся наша северная армия уничтожена.	Сара исаҳаит сыҷқәын, аха ҳара зегьы аҩадатәи ҳар иҟәыбаса еилажьуп,
И ты ничего не сделал.	Нас уара акгьы узыҟамҵаӡеит.
Давай.	Уааи ара.
- ступай.	- ҳааныжь ҳара.
- благодарю, сир.	- ааи шәхацкы.
- уоллес взял йорк.	- уалас иицҟьеит иорк.
- что?	- изакәи?
Уоллес взял йорк.	Уалас иицҟьеит иорк.
Какой зверь мог это сделать?	Агыгшәыг иҟаиҵазеи?
Если он может взять йорк,	Иара иорк импыҵеихалазар,
Он может вторгнуться в нижнюю англию.	Днеир ҟалоит агаҽатәи англианӡа.
Мы остановим его.	Иара ҳара даанаҳкалоит.
Кто это говорит мне, будто я нуждаюсь в его совете?	Дарбан ари ауаҩ изҳәо сара исҭахәшәа иара ицхыраара алабжьараҿы?
Я назначил филиппа моим высоким советником.	Сара фелеп дахасыргылт ихадоу бжьгаҩыс.
Он сведущ в этом?	Иара имч азхо?
Я знаю искусство войны, военную тактику, сир.	Сара адырра сымоуп аибашьраҟны.
Правда?	Ииашаны?
Тогда скажи...	Нас исаҳәа …
Какой совет ты дашь в нынешней ситуации?	Иарбан абжьгарас исуҭоу, уажәы аҭагылазаашьа?
Я предложу мир	Сара иабжьазгоит аинаалара,
И куплю его.	Насгьы даасхоит.
Но кто поедет к нему?	Ицода иара иахь?
Не я.	Сара сакәӡам.
Если я паду от меча этого убийцы,	Иара иаҳәа саҽашәар,
То в ведре окажется моя голова.	Схы акалаҭ иҭаҳар ҟалап.
И не мой благородный сын.	Сара сыҷкәын ԥшқа иакәӡам.
Один вид его лишь вдохновит врага захватить всю страну.	Иԥшра заҵә инаҭоит агәахәара иаӷа икра атәыла зегьы аҟны.
Так кого мне послать?	Нас исшьҭода?
Кого мне послать?	Исшьҭода?
Это сон.	Ари ԥхыӡума?
Да, сон.	Ааи ԥхыӡуп.
Но ты должен проснуться.	Уааԥшыроуп уажәшьҭа.
Я не хочу просыпаться.	Ааԥшра сҭахӡам.
Я хочу остаться здесь, с тобой.	Исҭахуп ара сбыцзар.
А я с тобой.	Сара уара суцзар.
Но ты должен проснуться.	Аха уара уааԥшыроуп.
Вставай, уильям.	Уааԥшы уилиам.
Проснись.	Уааԥшы.
Уильям, едет королевская свита	Уилиам иааит акрал ишьҭымҭацәа.
Под знаменем переговоров	Еинзраало абираҟала,
И под штандартами самого длинноногого.	Насгьы ашьапҩзы идыргала.
Я принцесса у эльская.	Сара уелз аҳқәажә.
Я прибыла, как слуга короля и от его власти.	Сааит акрал идҵаҟаҵарала.
Зачем?	Иауазеи?
Чтобы обсудить предложение короля.	Иҳаӡбырц акрал идҵаҟаҵамҭа.
Вы будете говорить с женщиной?	Шәарҭ аԥҳәыс шәлацәажәома?
Я так понимаю, вам недавно дали звание рыцаря.	Сара иахьынӡаздыруа шәара уажәыааигәа ишәырҭеит ахьыӡ аамсҭа.
Мне ничего не давали.	Сара акгьы сыримҭаӡеит.
Бог сделал вас разорителем мирных городов?	Ари анцәа ду иоума уҟазҵаз еиларбга ҳәа аҭынч қалақьқәа?
Палачом племянника короля, кузеном моего мужа?	Акрал иаҳәшьаԥа ашьапҩзы, схаҵа иаҳәшьаԥа.
Йорк был отправной точкой для всякого вторжения в мою страну.	Иорк ирыман уасхырс зегь рзы, сара стәыла иқәнагалоз.
Этот кузен вешал шотландцев, даже женщин и детей на городских стенах.	Уи аамҭазы акрал иаҳәшьаԥа икнеиҳуан ашоҭландцәеи, насгьы зынӡа акгьы зхарамыз, ахәыҷқәеи аҳәсақәеи.
Длинноногий поступал намного хуже,	Ашьапыҩзы далалеит еиҳа еицәаны,
Когда в последний раз захватывал шотландский город.	Импыҵахалуа шоҭландиатәи ақалақьқәа.
Он беспощадный свирепый дикарь.	Иара агәмбылџьбара, алеишәа цәгьа, абнауаҩы.
И он лжет.	Насгьы иара амц иҳәоит.
Я никогда не лгу.	Сара ахаангьы мцы сҳәаӡом.
Но я и вправду дикарь.	Аха сара ииашаны сыбнауаҩуп.
Может быть вы предпочитаете по-французски?	Иҟалап шәара ишәҭахызар францыз бызшәала?
И тогда ваши глаза увидят правду.	Иара илақәа агәра шәдмаргаӡари.
Гамильтон, оставьте нас.	Ҳамельҭеи удәылҵ.
- моя госпожа?	- аҳкәажә?
- оставьте нас.	- ҳааншәыжь ҳхала, уажәыҵәҟьа.
Поговорим прямо.	Уажәшьҭа ииашацәҟьаны.
Вы вторглись в англию.	Шәара англиа шәалалеит.
Но вы не можете завершить завоевание	Аха шәара ишәзыгаӡом иара,
Так далеко от ваших припасов и убежища.	Избанзар, шәара шәыҟоуп ихараны шәтәыла аҟнытә.
Король желает мира.	Акрал иҭахуп аҭынчра.
- длинноногий желает мира?	- ашьапыҩзы аҭынчра иҭахуп!
- он так объявил, я клянусь.	- иара ирылеиҳәеит, шәара ишәымаҿуп.
Он предлагает вам прекратить наступление.	Иара ишәыдигалоит ар наҟ иқәжәгарц.
Взамен он даст вам титул, поместье и сундук золота,	Ацынхәрас иара ҳамҭас ишәиҭоит, атитул, адгьыл, насгьы ашәандыҟәра азна ахьы,
Который я привезла вам лично.	Сара хаҭала ишәсыркоит.
Звание лорда, титул и золото за то, чтобы я стал иудой?	Атитул, адгьыл нас иацҵаны ахьы, уи аамышьҭахь дҟаларц џьудес.
- так создается перемирие.	- ус енагь иҟалоит адунеиаҿы.
- так создаются рабы.	- дара атәцәа ракәхон.
В последний раз, когда длинноногий говорил о мире, я был мальчиком.	Ашьапыҩзы даналацәажәоз аҭынчра, сара усҟан сыԥшқан,
Многие шотландские дворяне, которые не желали быть рабами	Гәԥҩык ҳаҭыр зқуз ашоҭландцәа ихарҵеит иара иажәақәа,
Были завлечены в ловушку под флагом перемирия,	Насгьы иареи уи аамышьҭахь ижьаны иҭеигалт...
В амбар, где он повесил всех.	Аца рыззагь икнеиҳаит.
Я был очень молод, но я запомнил понятие длинноногого о мире.	Сара сыҷқәынан, аха сгәаҽы инхеит иара ишеилыкаауа аҭынчра.
Я понимаю, что вы пережили.	Сара издыруеит шәара шәгәырҩуан,
Я знаю о вашей женщине.	Издыруеит шәара бзиа ижәбуа.
Она была моей женой.	Бзиа ижәбуа лакәым,
Мы поженились тайно,	Аха ҳара маӡала ҳаибагеит,
Потому что я не хотел делить ее с английским лордом.	Исҭахымыз деимаҳкыр англиатәи ҭауади сареи.
Они убили ее, чтобы добраться до меня.	Дара дыршьит лара, ирҭахын сара сыргарц.
Я никогда не говорил об этом	Уаанӡа сара уи аӡбахә сҳәаӡомызт,
И не знаю почему рассказываю вам.	Исыздвруам уи сара шәара изшәасҳәа
Разве что я вижу ее силу в вас.	Иҟалап избоит лара лымч шәара шәҟаны,
Однажды вы станете королевой,	Шәара кралс шәаныҟалалак,
И вы должны открыть глаза.	Шәара шәыла аашәыртыроуп.
Скажите вашему королю,	Акрал иашәҳәа,
Что он не будет править уильямом уоллесом	Уилиам уалас тәыс дҟалаӡом.
И ни одним шотландцем, пока я жив.	Сара сыԥсы ахьынӡаҭоу дарбанзаалак шоҭландуаҩык дзыҟалом тәыс.
Верная жена моего сына возвращается невредимая от этого дикаря.	Сыҷқәын иԥҳәыс гәакьа дхынҳәит ԥыршәа лымамкәа агәымбылџьбарцәа рыҟнытә.
- так он принял нашу взятку?	- иара идикылама аҵарҭыша?
- нет, не принял.	- мап, идымкылаӡеит.
Тогда почему он остался?	Нас иара дызгылоузеи?
Мои разведчики сказали, что он не наступает.	Сара сыԥшыхәҩцәа иаарыцҳоит ақәылара шыҟарымҵа.
Он ждет вас в йорке.	Иара дшәызԥшуп, иорк аҟны.
Он говорит, что не будет больше брать города,	Уажәазы сақәлаӡом иҳәеит иара.
Если вы достаточно смелы, чтобы сразиться лицом к лицу.	Шәара ишәызхозар ахаҵара иареи шәареи шәеиԥылара.
Правда?	Ааи.
У эльских лучников не заметит.	Уелзтәи ахыци ахәмпалы аршәыҩцәа рҽыҵәахны
Они обойдут его с флангов.	Ага рҽаҭаны ицароуп.
Основная сила наших армий из франции высадится здесь,	Ҳара ҳар ихадоу амчрақәа франциатә иӡхыҵоит абра,
К северу от эдинбурга.	Ҩадахьы еденбра,
Новобранцы из ирландии подойдут с юго-запада	Аирландцәа иадгылоит адамраҭашәарантә, абрааҵәҟа.
Вот сюда.	Франциатәи ар.
У эльские лучники, французские войска, ирландские новобранцы.	Уелзтәи ахыци ахәмпалы аршәцәа аирландцәа
Даже если отправить их сегодня потребуется неделя собрать их.	Иахьаҵәҟа идәықәрҵаргьы ицоит мчыбжьык аҽазыҟаҵара.
Я отправил их до того, как послал твою жену.	Сара идәықәсҵеит дара, уаанӡа, уԥҳәыс ддәықәсҵаанӡа.
И пока этот выскочка ждет моего прибытия в йорке,	Уажәазы ари акыдԥалара дазыԥшуп сара сцәырҵра, иорк аҟны.
Мои войска прибыли в эдинбург за его спиной.	Ҳара ҳамч наӡоит еденбра аҟынӡа, егьи ҳамч аанхоит ашьҭахь.
Ты говорила с этим уоллесом наедине?	Убри уаласи бареи шәанеизынха шәхала,
Скажи...	Адәаҟны,
Что он за человек?	Дзакәтә уаҩузеи иара?
Безумный варвар.	Хымҩа змам ақәылаҩ.
Можешь вернуться к своей вышивке.	Уажәшьҭа шәгыжьыр ҟалоит шәара шәнапҟаҵамҭахь.
Повинуюсь, мой господин.	Ибзиоуп шәхаҵкы!
Деньги ты, конечно же, привезла обратно.	Ҳәарада шәара иаажәгеит уашьҭахьтәи аҟәрышьқәа.
Нет.	Мап.
Я отдала их, чтобы уменьшить страдания детей от этой войны.	Сара ирысҭеит ахәыҷқәа, аибашьра аан ааха зауз.
Вот что случается, когда посылаешь женщину.	Абри ауп иҟало аԥҳәыс данаушьҭлак.
Простите меня, сир.	Саҭамзааит шәхацкы,
Я сочла, что такая щедрость покажет ваше величие вашим подданным.	Сара изӡбит агәыҳалалра аалырԥшоит, шәара шәаҳаракыра.
Мое величие	Сара саҳаракыра,
Они увидят ясно, когда уоллес вернется в шотландию	Иаанырԥшоит уалас даныхынҳәлак иара ишатландиахь,
И найдет свою страну в пожарищах.	Ирбганы иахкажьу.
Уильям.	Уилиам,
Личный эскорт принцессы.	Аҳкәажә длыцуп лгәылхазыршҭуа.
Да.	Ааи.
Ты произвел впечатление.	Уара ириуҭеит анырра.
- да.	- ааи.
- но ты же был в шатре не так долго.	- аха уара ақьалаҿы ирацәаны уҟаӡамызт.
