AB1	1
AB2543	ӷәӷәахоит.
AB2544	411
AB2545	Аԥсҭазаара
AB2546	иацәымшәаратәы
AB2547	иҟалоит.
AB2548	412
AB2549	Аԥхьатәи
AB2550	ашықәс
AB2551	азы
AB2552	иеиқәхаз
AB2553	413
AB2554	Раԥхьаҟа
AB2555	еиҳа
AB2556	рылшоит,
AB2557	414
AB2558	Рҭаацәа
AB2559	ирхыргаз
AB2560	ааӡаб
AB2561	нас
AB2562	дара
AB2563	ирԥылоит.
AB2564	415
AB2565	Арктикатәи
AB2566	аӡынра
AB2567	иацәцаз,
AB2568	Ахьшәашәара
AB2569	бааԥс
AB2570	иаиааиз
AB2571	аҭаацәа.
AB2572	416
AB2573	Арктика
AB2574	амышәҳәарақәа
AB2575	ирызҳаит,
AB2576	Шьҭа
AB2577	рҳала
AB2578	рхы
AB2579	рбартә
AB2580	иҟоуп,
AB2581	ранацәа
AB2582	ирхьыԥшӡам.
AB2583	417
AB2584	Урҭ
AB2585	т
AB2586	аамҭа
AB2587	кьаҿк
AB2588	ауп
AB2589	ианрыцу.
AB2590	418
AB2591	Рҭыԥқәа
AB2592	анеиқәшәо
AB2593	мацара.
AB2594	419
AB2595	Ҭаацәарак
AB2596	иатәу
AB2597	амышәҳәарақәагьы
AB2598	Такәаамҭа
AB2599	иеицынхаӡом,
AB2600	420
AB2601	Рыԥсҭазаара
AB2602	аиҳарак
AB2603	рхала
AB2604	иҟоуп
AB2605	421
AB2606	ҳәаа
AB2607	змаӡам
AB2608	аокеан
AB2609	дәышкәаӷьаз
AB2610	аҿы.
AB2611	422
AB2612	Ран
AB2613	ахымҩаԥгашьа
AB2614	иаҿырԥшны
AB2615	Арктикатәи
AB2616	аԥсҭазаара
AB2617	иазыҟанаҵеит.
AB2618	423
AB2619	Есааира
AB2620	зҽеиҭазкуа,
AB2621	аси,
AB2622	аҵааршәыреи,
AB2623	аҵааи
AB2624	аҳра
AB2625	ахьыруа
AB2626	ари
AB2627	адунеи
AB2628	аҿы
AB2629	424
AB2630	ԥхьаҟатәи
AB2631	аԥсҭазаара
AB2632	иаанарԥшуеит
AB2633	абарҭ
AB2634	аԥстәы
AB2635	ссирқәа
AB2636	425
AB2637	аԥхарра
AB2638	иаанаго
AB2639	аиҭакра
AB2640	ду
AB2641	иахьынӡазхиоу,
AB2642	426
AB2643	Уи
AB2644	иҟанаҵо
AB2645	анырра
AB2646	шьҭа
AB2647	иубаратәы
AB2648	иҟалахьеит
AB2649	ҳапланета
AB2650	427
AB2651	иҵааршәыроу
AB2652	адунеиқәа
AB2653	рҿы.
AB2654	428
AB2655	Апродиусер
AB2656	ВАНЕССА
AB2657	БЕРЛОВИЦ
AB2658	429
AB2659	Аоператорцәа:
AB2660	дАГ
AB2661	АЛЛАН,И
AB2662	ДАГ
AB2663	АНДЕРСОН,
AB2664	ДЕВИД
AB2665	БЕИЛИ,
AB2666	430
AB2667	БАРРИ
AB2668	БРИТТЧ,
AB2669	РИЧАРД
AB2670	БАРТОНИ
AB2671	егьырҭи
AB2672	Акомпозитор
AB2673	ЏОРЏ
AB2674	ФЕНТОН
AB2675	432
AB2676	Асериала
AB2677	апродиусер
AB2678	АЛИСТЕР
AB2679	ФОТЕРГИЛЛ
AB2680	433
AB2681	""Би-Би-Си""
AB2682	аҭыжьымҭа
AB2683	434
AB2684	Даԥхьон
AB2685	Лиана
AB2686	Ебжьноу-ԥҳа
